@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,0.75,5.1,1.6,Iris-setosa
0.041667,0.5,4.6,1.4,Iris-setosa
0.041667,0.708333,5.3,1.5,Iris-setosa
0.041667,0.541667,5,1.4,Iris-setosa
0.541667,0.5,7,4.7,Iris-versicolor
0.583333,0.5,6.4,4.5,Iris-versicolor
0.583333,0.458333,6.9,4.9,Iris-versicolor
0.5,0.125,5.5,4,Iris-versicolor
0.583333,0.333333,6.5,4.6,Iris-versicolor
0.5,0.333333,5.7,4.5,Iris-versicolor
0.625,0.541667,6.3,4.7,Iris-versicolor
0.375,0.166667,4.9,3.3,Iris-versicolor
0.5,0.375,6.6,4.6,Iris-versicolor
0.541667,0.291667,5.2,3.9,Iris-versicolor
0.375,0,5,3.5,Iris-versicolor
0.583333,0.416667,5.9,4.2,Iris-versicolor
0.375,0.083333,6,4,Iris-versicolor
0.541667,0.375,6.1,4.7,Iris-versicolor
0.5,0.375,5.6,3.6,Iris-versicolor
0.541667,0.458333,6.7,4.4,Iris-versicolor
0.583333,0.416667,5.6,4.5,Iris-versicolor
0.375,0.291667,5.8,4.1,Iris-versicolor
0.583333,0.083333,6.2,4.5,Iris-versicolor
0.416667,0.208333,5.6,3.9,Iris-versicolor
0.708333,0.5,5.9,4.8,Iris-versicolor
0.5,0.333333,6.1,4,Iris-versicolor
0.583333,0.208333,6.3,4.9,Iris-versicolor
0.458333,0.333333,6.1,4.7,Iris-versicolor
0.5,0.375,6.4,4.3,Iris-versicolor
0.541667,0.416667,6.6,4.4,Iris-versicolor
0.541667,0.333333,6.8,4.8,Iris-versicolor
0.666667,0.416667,6.7,5,Iris-versicolor
0.583333,0.375,6,4.5,Iris-versicolor
0.375,0.25,5.7,3.5,Iris-versicolor
0.416667,0.166667,5.5,3.8,Iris-versicolor
0.375,0.166667,5.5,3.7,Iris-versicolor
0.458333,0.291667,5.8,3.9,Iris-versicolor
0.625,0.291667,6,5.1,Iris-versicolor
0.583333,0.416667,5.4,4.5,Iris-versicolor
0.625,0.583333,6,4.5,Iris-versicolor
0.583333,0.458333,6.7,4.7,Iris-versicolor
0.5,0.125,6.3,4.4,Iris-versicolor
0.5,0.416667,5.6,4.1,Iris-versicolor
0.5,0.208333,5.5,4,Iris-versicolor
0.458333,0.25,5.5,4.4,Iris-versicolor
0.541667,0.416667,6.1,4.6,Iris-versicolor
0.458333,0.25,5.8,4,Iris-versicolor
0.375,0.125,5,3.3,Iris-versicolor
0.5,0.291667,5.6,4.2,Iris-versicolor
0.458333,0.416667,5.7,4.2,Iris-versicolor
0.5,0.375,5.7,4.2,Iris-versicolor
0.5,0.375,6.2,4.3,Iris-versicolor
0.416667,0.208333,5.1,3,Iris-versicolor
0.5,0.333333,5.7,4.1,Iris-versicolor
1,0.541667,6.3,6,Iris-virginica
0.75,0.291667,5.8,5.1,Iris-virginica
0.833333,0.416667,7.1,5.9,Iris-virginica
0.708333,0.375,6.3,5.6,Iris-virginica
0.875,0.416667,6.5,5.8,Iris-virginica
0.833333,0.416667,7.6,6.6,Iris-virginica
0.666667,0.208333,4.9,4.5,Iris-virginica
0.708333,0.375,7.3,6.3,Iris-virginica
0.708333,0.208333,6.7,5.8,Iris-virginica
1,0.666667,7.2,6.1,Iris-virginica
0.791667,0.5,6.5,5.1,Iris-virginica
0.75,0.291667,6.4,5.3,Iris-virginica
0.833333,0.416667,6.8,5.5,Iris-virginica
0.791667,0.208333,5.7,5,Iris-virginica
0.958333,0.333333,5.8,5.1,Iris-virginica
0.916667,0.5,6.4,5.3,Iris-virginica
0.708333,0.416667,6.5,5.5,Iris-virginica
0.875,0.75,7.7,6.7,Iris-virginica
0.916667,0.25,7.7,6.9,Iris-virginica
0.583333,0.083333,6,5,Iris-virginica
0.916667,0.5,6.9,5.7,Iris-virginica
0.791667,0.333333,5.6,4.9,Iris-virginica
0.791667,0.333333,7.7,6.7,Iris-virginica
0.708333,0.291667,6.3,4.9,Iris-virginica
0.833333,0.541667,6.7,5.7,Iris-virginica
0.708333,0.5,7.2,6,Iris-virginica
0.708333,0.333333,6.2,4.8,Iris-virginica
0.708333,0.416667,6.1,4.9,Iris-virginica
0.833333,0.333333,6.4,5.6,Iris-virginica
0.625,0.416667,7.2,5.8,Iris-virginica
0.75,0.333333,7.4,6.1,Iris-virginica
0.791667,0.75,7.9,6.4,Iris-virginica
0.875,0.333333,6.4,5.6,Iris-virginica
0.583333,0.333333,6.3,5.1,Iris-virginica
0.541667,0.25,6.1,5.6,Iris-virginica
0.916667,0.416667,7.7,6.1,Iris-virginica
0.958333,0.583333,6.3,5.6,Iris-virginica
0.708333,0.458333,6.4,5.5,Iris-virginica
0.708333,0.416667,6,4.8,Iris-virginica
0.833333,0.458333,6.9,5.4,Iris-virginica
0.958333,0.458333,6.7,5.6,Iris-virginica
0.916667,0.458333,6.9,5.1,Iris-virginica
?,?,5.8,5.1,Iris-virginica
0.916667,0.5,6.8,5.9,Iris-virginica
1,0.541667,6.7,5.7,Iris-virginica
0.916667,0.416667,?,5.2,Iris-virginica
0.75,0.208333,?,5,Iris-virginica
0.791667,0.416667,6.5,5.2,Iris-virginica
0.916667,0.583333,?,5.4,Iris-virginica
0.708333,0.416667,5.9,5.1,Iris-virginica
