@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-petal length in cm' {'\'(-inf-1.35]\'','\'(1.35-1.45]\'','\'(1.45-1.55]\'','\'(1.55-3.4]\'','\'(3.4-4.15]\'','\'(4.15-4.55]\'','\'(4.55-4.95]\'','\'(4.95-5.35]\'','\'(5.35-5.75]\'','\'(5.75-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.458333,'\'(4.15-4.55]\'','\'(2.48-2.72]\'',5.5,Iris-versicolor
0.541667,'\'(4.55-4.95]\'','\'(2.96-3.2]\'',6.1,Iris-versicolor
0.458333,'\'(3.4-4.15]\'','\'(2.48-2.72]\'',5.8,Iris-versicolor
0.375,'\'(1.55-3.4]\'','\'(2.24-2.48]\'',5,Iris-versicolor
0.5,'\'(4.15-4.55]\'','\'(2.48-2.72]\'',5.6,Iris-versicolor
0.458333,'\'(4.15-4.55]\'','\'(2.96-3.2]\'',5.7,Iris-versicolor
0.5,'\'(4.15-4.55]\'','\'(2.72-2.96]\'',5.7,Iris-versicolor
0.5,'\'(4.15-4.55]\'','\'(2.72-2.96]\'',6.2,Iris-versicolor
0.416667,'\'(1.55-3.4]\'','\'(2.48-2.72]\'',5.1,Iris-versicolor
0.5,'\'(3.4-4.15]\'','\'(2.72-2.96]\'',5.7,Iris-versicolor
1,'\'(5.75-inf)\'','\'(3.2-3.44]\'',6.3,Iris-virginica
0.75,'\'(4.95-5.35]\'','\'(2.48-2.72]\'',5.8,Iris-virginica
0.833333,'\'(5.75-inf)\'','\'(2.96-3.2]\'',7.1,Iris-virginica
0.708333,'\'(5.35-5.75]\'','\'(2.72-2.96]\'',6.3,Iris-virginica
0.875,'\'(5.75-inf)\'','\'(2.96-3.2]\'',6.5,Iris-virginica
0.833333,'\'(5.75-inf)\'','\'(2.96-3.2]\'',7.6,Iris-virginica
0.666667,'\'(4.15-4.55]\'','\'(2.48-2.72]\'',4.9,Iris-virginica
0.708333,'\'(5.75-inf)\'','\'(2.72-2.96]\'',7.3,Iris-virginica
0.708333,'\'(5.75-inf)\'','\'(2.48-2.72]\'',6.7,Iris-virginica
1,'\'(5.75-inf)\'','\'(3.44-3.68]\'',7.2,Iris-virginica
0.791667,'\'(4.95-5.35]\'','\'(2.96-3.2]\'',6.5,Iris-virginica
0.75,'\'(4.95-5.35]\'','\'(2.48-2.72]\'',6.4,Iris-virginica
0.833333,'\'(5.35-5.75]\'','\'(2.96-3.2]\'',6.8,Iris-virginica
0.791667,'\'(4.95-5.35]\'','\'(2.48-2.72]\'',5.7,Iris-virginica
0.958333,'\'(4.95-5.35]\'','\'(2.72-2.96]\'',5.8,Iris-virginica
0.916667,'\'(4.95-5.35]\'','\'(2.96-3.2]\'',6.4,Iris-virginica
0.708333,'\'(5.35-5.75]\'','\'(2.96-3.2]\'',6.5,Iris-virginica
0.875,'\'(5.75-inf)\'','\'(3.68-3.92]\'',7.7,Iris-virginica
0.916667,'\'(5.75-inf)\'','\'(2.48-2.72]\'',7.7,Iris-virginica
0.583333,'\'(4.95-5.35]\'','\'(-inf-2.24]\'',6,Iris-virginica
0.916667,'\'(5.35-5.75]\'','\'(2.96-3.2]\'',6.9,Iris-virginica
0.791667,'\'(4.55-4.95]\'','\'(2.72-2.96]\'',5.6,Iris-virginica
0.791667,'\'(5.75-inf)\'','\'(2.72-2.96]\'',7.7,Iris-virginica
0.708333,'\'(4.55-4.95]\'','\'(2.48-2.72]\'',6.3,Iris-virginica
0.833333,'\'(5.35-5.75]\'','\'(3.2-3.44]\'',6.7,Iris-virginica
0.708333,'\'(5.75-inf)\'','\'(2.96-3.2]\'',7.2,Iris-virginica
0.708333,'\'(4.55-4.95]\'','\'(2.72-2.96]\'',6.2,Iris-virginica
0.708333,'\'(4.55-4.95]\'','\'(2.96-3.2]\'',6.1,Iris-virginica
0.833333,'\'(5.35-5.75]\'','\'(2.72-2.96]\'',6.4,Iris-virginica
0.625,'\'(5.75-inf)\'','\'(2.96-3.2]\'',7.2,Iris-virginica
0.75,'\'(5.75-inf)\'','\'(2.72-2.96]\'',7.4,Iris-virginica
0.791667,'\'(5.75-inf)\'','\'(3.68-3.92]\'',7.9,Iris-virginica
0.875,'\'(5.35-5.75]\'','\'(2.72-2.96]\'',6.4,Iris-virginica
0.583333,'\'(4.95-5.35]\'','\'(2.72-2.96]\'',6.3,Iris-virginica
0.541667,'\'(5.35-5.75]\'','\'(2.48-2.72]\'',6.1,Iris-virginica
0.916667,'\'(5.75-inf)\'','\'(2.96-3.2]\'',7.7,Iris-virginica
0.958333,'\'(5.35-5.75]\'','\'(3.2-3.44]\'',6.3,Iris-virginica
0.708333,'\'(5.35-5.75]\'','\'(2.96-3.2]\'',6.4,Iris-virginica
0.708333,'\'(4.55-4.95]\'','\'(2.96-3.2]\'',6,Iris-virginica
0.833333,'\'(5.35-5.75]\'','\'(2.96-3.2]\'',6.9,Iris-virginica
0.958333,'\'(5.35-5.75]\'','\'(2.96-3.2]\'',6.7,Iris-virginica
0.916667,'\'(4.95-5.35]\'','\'(2.96-3.2]\'',6.9,Iris-virginica
0.75,'\'(4.95-5.35]\'','\'(2.48-2.72]\'',5.8,Iris-virginica
0.916667,'\'(5.75-inf)\'','\'(2.96-3.2]\'',6.8,Iris-virginica
1,'\'(5.35-5.75]\'','\'(3.2-3.44]\'',6.7,Iris-virginica
0.916667,'\'(4.95-5.35]\'','\'(2.96-3.2]\'',6.7,Iris-virginica
0.75,'\'(4.95-5.35]\'','\'(2.48-2.72]\'',6.3,Iris-virginica
0.791667,'\'(4.95-5.35]\'','\'(2.96-3.2]\'',6.5,Iris-virginica
0.916667,'\'(5.35-5.75]\'','\'(3.2-3.44]\'',6.2,Iris-virginica
0.708333,'\'(4.95-5.35]\'','\'(2.96-3.2]\'',5.9,Iris-virginica
