@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-petal length in cm' {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.787951,'\'(0.8-0.9]\'',6.7,2.5,Iris-virginica
1.705189,'\'(0.8-0.9]\'',7.2,3.6,Iris-virginica
1.050019,'\'(0.6-0.7]\'',6.5,3.2,Iris-virginica
0.918985,'\'(0.7-0.8]\'',6.4,2.7,Iris-virginica
1.181053,'\'(0.7-0.8]\'',6.8,3,Iris-virginica
1.050019,'\'(0.6-0.7]\'',5.7,2.5,Iris-virginica
1.574155,'\'(0.6-0.7]\'',5.8,2.8,Iris-virginica
1.443121,'\'(0.7-0.8]\'',6.4,3.2,Iris-virginica
0.787951,'\'(0.7-0.8]\'',6.5,3,Iris-virginica
1.312087,'\'(0.9-inf)\'',7.7,3.8,Iris-virginica
1.443121,'\'(0.9-inf)\'',7.7,2.6,Iris-virginica
0.394849,'\'(0.6-0.7]\'',6,2.2,Iris-virginica
1.443121,'\'(0.7-0.8]\'',6.9,3.2,Iris-virginica
1.050019,'\'(0.6-0.7]\'',5.6,2.8,Iris-virginica
1.050019,'\'(0.9-inf)\'',7.7,2.8,Iris-virginica
0.787951,'\'(0.6-0.7]\'',6.3,2.7,Iris-virginica
1.181053,'\'(0.7-0.8]\'',6.7,3.3,Iris-virginica
0.787951,'\'(0.8-0.9]\'',7.2,3.2,Iris-virginica
0.787951,'\'(0.6-0.7]\'',6.2,2.8,Iris-virginica
0.787951,'\'(0.6-0.7]\'',6.1,3,Iris-virginica
1.181053,'\'(0.7-0.8]\'',6.4,2.8,Iris-virginica
0.525883,'\'(0.8-0.9]\'',7.2,3,Iris-virginica
0.918985,'\'(0.8-0.9]\'',7.4,2.8,Iris-virginica
1.050019,'\'(0.9-inf)\'',7.9,3.8,Iris-virginica
1.312087,'\'(0.7-0.8]\'',6.4,2.8,Iris-virginica
0.394849,'\'(0.6-0.7]\'',6.3,2.8,Iris-virginica
0.263815,'\'(0.7-0.8]\'',6.1,2.6,Iris-virginica
1.443121,'\'(0.8-0.9]\'',7.7,3,Iris-virginica
1.574155,'\'(0.7-0.8]\'',6.3,3.4,Iris-virginica
0.787951,'\'(0.7-0.8]\'',6.4,3.1,Iris-virginica
0.787951,'\'(0.6-0.7]\'',6,3,Iris-virginica
1.181053,'\'(0.7-0.8]\'',6.9,3.1,Iris-virginica
1.574155,'\'(0.7-0.8]\'',6.7,3.1,Iris-virginica
1.443121,'\'(0.6-0.7]\'',6.9,3.1,Iris-virginica
0.918985,'\'(0.6-0.7]\'',5.8,2.7,Iris-virginica
1.443121,'\'(0.8-0.9]\'',6.8,3.2,Iris-virginica
1.705189,'\'(0.7-0.8]\'',6.7,3.3,Iris-virginica
1.443121,'\'(0.7-0.8]\'',6.7,3,Iris-virginica
0.918985,'\'(0.6-0.7]\'',6.3,2.5,Iris-virginica
1.050019,'\'(0.7-0.8]\'',6.5,3,Iris-virginica
1.443121,'\'(0.7-0.8]\'',6.2,3.4,Iris-virginica
0.787951,'\'(0.6-0.7]\'',5.9,3,Iris-virginica
