@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1'

@attribute 'filtered-0-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.330873,5,1.2,0.2,Iris-setosa
1.021997,5.5,1.3,0.2,Iris-setosa
0.100499,4.9,1.5,0.1,Iris-setosa
-0.129876,4.4,1.3,0.2,Iris-setosa
0.791622,5.1,1.5,0.2,Iris-setosa
1.021997,5,1.3,0.3,Iris-setosa
-1.742497,4.5,1.3,0.3,Iris-setosa
0.330873,4.4,1.3,0.2,Iris-setosa
1.021997,5,1.6,0.6,Iris-setosa
1.71312,5.1,1.9,0.4,Iris-setosa
-0.129876,4.8,1.4,0.3,Iris-setosa
1.71312,5.1,1.6,0.2,Iris-setosa
0.330873,4.6,1.4,0.2,Iris-setosa
1.482746,5.3,1.5,0.2,Iris-setosa
0.561248,5,1.4,0.2,Iris-setosa
0.330873,7,4.7,1.4,Iris-versicolor
0.330873,6.4,4.5,1.5,Iris-versicolor
0.100499,6.9,4.9,1.5,Iris-versicolor
-1.742497,5.5,4,1.3,Iris-versicolor
-0.590624,6.5,4.6,1.5,Iris-versicolor
-0.590624,5.7,4.5,1.3,Iris-versicolor
0.561248,6.3,4.7,1.6,Iris-versicolor
-1.512122,4.9,3.3,1,Iris-versicolor
-0.36025,6.6,4.6,1.3,Iris-versicolor
-0.820999,5.2,3.9,1.4,Iris-versicolor
-2.43362,5,3.5,1,Iris-versicolor
-0.129876,5.9,4.2,1.5,Iris-versicolor
-1.972871,6,4,1,Iris-versicolor
-0.36025,6.1,4.7,1.4,Iris-versicolor
-0.36025,5.6,3.6,1.3,Iris-versicolor
0.100499,6.7,4.4,1.4,Iris-versicolor
-0.129876,5.6,4.5,1.5,Iris-versicolor
-0.820999,5.8,4.1,1,Iris-versicolor
-1.972871,6.2,4.5,1.5,Iris-versicolor
-1.281748,5.6,3.9,1.1,Iris-versicolor
0.330873,5.9,4.8,1.8,Iris-versicolor
-0.590624,6.1,4,1.3,Iris-versicolor
-1.281748,6.3,4.9,1.5,Iris-versicolor
-0.590624,6.1,4.7,1.2,Iris-versicolor
-0.36025,6.4,4.3,1.3,Iris-versicolor
-0.129876,6.6,4.4,1.4,Iris-versicolor
-0.590624,6.8,4.8,1.4,Iris-versicolor
-0.129876,6.7,5,1.7,Iris-versicolor
-0.36025,6,4.5,1.5,Iris-versicolor
-1.051373,5.7,3.5,1,Iris-versicolor
-1.512122,5.5,3.8,1.1,Iris-versicolor
-1.512122,5.5,3.7,1,Iris-versicolor
-0.820999,5.8,3.9,1.2,Iris-versicolor
-0.820999,6,5.1,1.6,Iris-versicolor
-0.129876,5.4,4.5,1.5,Iris-versicolor
0.791622,6,4.5,1.6,Iris-versicolor
0.100499,6.7,4.7,1.5,Iris-versicolor
-1.742497,6.3,4.4,1.3,Iris-versicolor
-0.129876,5.6,4.1,1.3,Iris-versicolor
-1.281748,5.5,4,1.3,Iris-versicolor
-1.051373,5.5,4.4,1.2,Iris-versicolor
-0.129876,6.1,4.6,1.4,Iris-versicolor
-1.051373,5.8,4,1.2,Iris-versicolor
-1.742497,5,3.3,1,Iris-versicolor
-0.820999,5.6,4.2,1.3,Iris-versicolor
-0.129876,5.7,4.2,1.2,Iris-versicolor
-0.36025,5.7,4.2,1.3,Iris-versicolor
-0.36025,6.2,4.3,1.3,Iris-versicolor
-1.281748,5.1,3,1.1,Iris-versicolor
-0.590624,5.7,4.1,1.3,Iris-versicolor
0.561248,6.3,6,2.5,Iris-virginica
-0.820999,5.8,5.1,1.9,Iris-virginica
-0.129876,7.1,5.9,2.1,Iris-virginica
-0.36025,6.3,5.6,1.8,Iris-virginica
-0.129876,6.5,5.8,2.2,Iris-virginica
-0.129876,7.6,6.6,2.1,Iris-virginica
-1.281748,4.9,4.5,1.7,Iris-virginica
-0.36025,7.3,6.3,1.8,Iris-virginica
-1.281748,6.7,5.8,1.8,Iris-virginica
1.252371,7.2,6.1,2.5,Iris-virginica
0.330873,6.5,5.1,2,Iris-virginica
-0.820999,6.4,5.3,1.9,Iris-virginica
-0.129876,6.8,5.5,2.1,Iris-virginica
-1.281748,5.7,5,2,Iris-virginica
-0.590624,5.8,5.1,2.4,Iris-virginica
0.330873,6.4,5.3,2.3,Iris-virginica
-0.129876,6.5,5.5,1.8,Iris-virginica
1.71312,7.7,6.7,2.2,Iris-virginica
-1.051373,7.7,6.9,2.3,Iris-virginica
-1.972871,6,5,1.5,Iris-virginica
0.330873,6.9,5.7,2.3,Iris-virginica
-0.590624,5.6,4.9,2,Iris-virginica
-0.590624,7.7,6.7,2,Iris-virginica
-0.820999,6.3,4.9,1.8,Iris-virginica
0.561248,6.7,5.7,2.1,Iris-virginica
0.330873,7.2,6,1.8,Iris-virginica
-0.590624,6.2,4.8,1.8,Iris-virginica
-0.129876,6.1,4.9,1.8,Iris-virginica
-0.590624,6.4,5.6,2.1,Iris-virginica
-0.129876,7.2,5.8,1.6,Iris-virginica
-0.590624,7.4,6.1,1.9,Iris-virginica
1.71312,7.9,6.4,2,Iris-virginica
-0.590624,6.4,5.6,2.2,Iris-virginica
-0.590624,6.3,5.1,1.5,Iris-virginica
-1.051373,6.1,5.6,1.4,Iris-virginica
-0.129876,7.7,6.1,2.3,Iris-virginica
0.791622,6.3,5.6,2.4,Iris-virginica
0.100499,6.4,5.5,1.8,Iris-virginica
-0.129876,6,4.8,1.8,Iris-virginica
0.100499,6.9,5.4,2.1,Iris-virginica
0.100499,6.7,5.6,2.4,Iris-virginica
0.100499,6.9,5.1,2.3,Iris-virginica
?,5.8,5.1,?,Iris-virginica
0.330873,6.8,5.9,2.3,Iris-virginica
0.561248,6.7,5.7,2.5,Iris-virginica
-0.129876,?,5.2,2.3,Iris-virginica
-1.281748,?,5,1.9,Iris-virginica
-0.129876,6.5,5.2,2,Iris-virginica
0.791622,?,5.4,2.3,Iris-virginica
-0.129876,5.9,5.1,1.8,Iris-virginica
