@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.45]\'','\'(0.45-1.15]\'','\'(1.15-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.25-0.45]\'',1.943494,5.4,1.3,Iris-setosa
'\'(0.25-0.45]\'',1.021997,5.1,1.4,Iris-setosa
'\'(0.25-0.45]\'',1.71312,5.7,1.7,Iris-setosa
'\'(0.25-0.45]\'',1.71312,5.1,1.5,Iris-setosa
'\'(0.15-0.25]\'',0.791622,5.4,1.7,Iris-setosa
'\'(0.25-0.45]\'',1.482746,5.1,1.5,Iris-setosa
'\'(0.15-0.25]\'',1.252371,4.6,1,Iris-setosa
'\'(0.45-1.15]\'',0.561248,5.1,1.7,Iris-setosa
'\'(0.15-0.25]\'',0.791622,4.8,1.9,Iris-setosa
'\'(0.15-0.25]\'',-0.129876,5,1.6,Iris-setosa
'\'(0.25-0.45]\'',0.791622,5,1.6,Iris-setosa
'\'(0.15-0.25]\'',1.021997,5.2,1.5,Iris-setosa
'\'(0.15-0.25]\'',0.791622,5.2,1.4,Iris-setosa
'\'(0.15-0.25]\'',0.330873,4.7,1.6,Iris-setosa
'\'(0.15-0.25]\'',0.100499,4.8,1.6,Iris-setosa
'\'(0.25-0.45]\'',0.791622,5.4,1.5,Iris-setosa
'\'(-inf-0.15]\'',2.404243,5.2,1.5,Iris-setosa
'\'(0.15-0.25]\'',2.634618,5.5,1.4,Iris-setosa
'\'(-inf-0.15]\'',0.100499,4.9,1.5,Iris-setosa
'\'(0.15-0.25]\'',0.330873,5,1.2,Iris-setosa
'\'(0.15-0.25]\'',1.021997,5.5,1.3,Iris-setosa
'\'(-inf-0.15]\'',0.100499,4.9,1.5,Iris-setosa
'\'(0.15-0.25]\'',-0.129876,4.4,1.3,Iris-setosa
'\'(0.15-0.25]\'',0.791622,5.1,1.5,Iris-setosa
'\'(0.25-0.45]\'',1.021997,5,1.3,Iris-setosa
'\'(0.25-0.45]\'',-1.742497,4.5,1.3,Iris-setosa
'\'(0.15-0.25]\'',0.330873,4.4,1.3,Iris-setosa
'\'(0.45-1.15]\'',1.021997,5,1.6,Iris-setosa
'\'(0.25-0.45]\'',1.71312,5.1,1.9,Iris-setosa
'\'(0.25-0.45]\'',-0.129876,4.8,1.4,Iris-setosa
'\'(0.15-0.25]\'',1.71312,5.1,1.6,Iris-setosa
'\'(0.15-0.25]\'',0.330873,4.6,1.4,Iris-setosa
'\'(0.15-0.25]\'',1.482746,5.3,1.5,Iris-setosa
'\'(0.15-0.25]\'',0.561248,5,1.4,Iris-setosa
'\'(1.35-1.55]\'',0.330873,7,4.7,Iris-versicolor
'\'(1.35-1.55]\'',0.330873,6.4,4.5,Iris-versicolor
'\'(1.35-1.55]\'',0.100499,6.9,4.9,Iris-versicolor
'\'(1.15-1.35]\'',-1.742497,5.5,4,Iris-versicolor
'\'(1.35-1.55]\'',-0.590624,6.5,4.6,Iris-versicolor
'\'(1.15-1.35]\'',-0.590624,5.7,4.5,Iris-versicolor
'\'(1.55-1.85]\'',0.561248,6.3,4.7,Iris-versicolor
'\'(0.45-1.15]\'',-1.512122,4.9,3.3,Iris-versicolor
'\'(1.15-1.35]\'',-0.36025,6.6,4.6,Iris-versicolor
'\'(1.35-1.55]\'',-0.820999,5.2,3.9,Iris-versicolor
'\'(0.45-1.15]\'',-2.43362,5,3.5,Iris-versicolor
'\'(1.35-1.55]\'',-0.129876,5.9,4.2,Iris-versicolor
'\'(0.45-1.15]\'',-1.972871,6,4,Iris-versicolor
'\'(1.35-1.55]\'',-0.36025,6.1,4.7,Iris-versicolor
'\'(1.15-1.35]\'',-0.36025,5.6,3.6,Iris-versicolor
'\'(1.35-1.55]\'',0.100499,6.7,4.4,Iris-versicolor
'\'(1.35-1.55]\'',-0.129876,5.6,4.5,Iris-versicolor
'\'(0.45-1.15]\'',-0.820999,5.8,4.1,Iris-versicolor
'\'(1.35-1.55]\'',-1.972871,6.2,4.5,Iris-versicolor
'\'(0.45-1.15]\'',-1.281748,5.6,3.9,Iris-versicolor
'\'(1.55-1.85]\'',0.330873,5.9,4.8,Iris-versicolor
'\'(1.15-1.35]\'',-0.590624,6.1,4,Iris-versicolor
'\'(1.35-1.55]\'',-1.281748,6.3,4.9,Iris-versicolor
'\'(1.15-1.35]\'',-0.590624,6.1,4.7,Iris-versicolor
'\'(1.15-1.35]\'',-0.36025,6.4,4.3,Iris-versicolor
'\'(1.35-1.55]\'',-0.129876,6.6,4.4,Iris-versicolor
'\'(1.35-1.55]\'',-0.590624,6.8,4.8,Iris-versicolor
'\'(1.55-1.85]\'',-0.129876,6.7,5,Iris-versicolor
'\'(1.35-1.55]\'',-0.36025,6,4.5,Iris-versicolor
'\'(0.45-1.15]\'',-1.051373,5.7,3.5,Iris-versicolor
'\'(0.45-1.15]\'',-1.512122,5.5,3.8,Iris-versicolor
'\'(0.45-1.15]\'',-1.512122,5.5,3.7,Iris-versicolor
'\'(1.15-1.35]\'',-0.820999,5.8,3.9,Iris-versicolor
'\'(1.55-1.85]\'',-0.820999,6,5.1,Iris-versicolor
'\'(1.35-1.55]\'',-0.129876,5.4,4.5,Iris-versicolor
'\'(1.55-1.85]\'',0.791622,6,4.5,Iris-versicolor
'\'(1.35-1.55]\'',0.100499,6.7,4.7,Iris-versicolor
'\'(1.15-1.35]\'',-1.742497,6.3,4.4,Iris-versicolor
'\'(1.15-1.35]\'',-0.129876,5.6,4.1,Iris-versicolor
'\'(1.15-1.35]\'',-1.281748,5.5,4,Iris-versicolor
'\'(1.15-1.35]\'',-1.051373,5.5,4.4,Iris-versicolor
'\'(1.35-1.55]\'',-0.129876,6.1,4.6,Iris-versicolor
'\'(1.15-1.35]\'',-1.051373,5.8,4,Iris-versicolor
'\'(0.45-1.15]\'',-1.742497,5,3.3,Iris-versicolor
'\'(1.15-1.35]\'',-0.820999,5.6,4.2,Iris-versicolor
'\'(1.15-1.35]\'',-0.129876,5.7,4.2,Iris-versicolor
'\'(1.15-1.35]\'',-0.36025,5.7,4.2,Iris-versicolor
'\'(1.15-1.35]\'',-0.36025,6.2,4.3,Iris-versicolor
'\'(0.45-1.15]\'',-1.281748,5.1,3,Iris-versicolor
'\'(1.15-1.35]\'',-0.590624,5.7,4.1,Iris-versicolor
'\'(2.25-inf)\'',0.561248,6.3,6,Iris-virginica
'\'(1.85-2.05]\'',-0.820999,5.8,5.1,Iris-virginica
'\'(2.05-2.25]\'',-0.129876,7.1,5.9,Iris-virginica
'\'(1.55-1.85]\'',-0.36025,6.3,5.6,Iris-virginica
'\'(2.05-2.25]\'',-0.129876,6.5,5.8,Iris-virginica
'\'(2.05-2.25]\'',-0.129876,7.6,6.6,Iris-virginica
'\'(1.55-1.85]\'',-1.281748,4.9,4.5,Iris-virginica
'\'(1.55-1.85]\'',-0.36025,7.3,6.3,Iris-virginica
'\'(1.55-1.85]\'',-1.281748,6.7,5.8,Iris-virginica
'\'(2.25-inf)\'',1.252371,7.2,6.1,Iris-virginica
'\'(1.85-2.05]\'',0.330873,6.5,5.1,Iris-virginica
'\'(1.85-2.05]\'',-0.820999,6.4,5.3,Iris-virginica
'\'(2.05-2.25]\'',-0.129876,6.8,5.5,Iris-virginica
'\'(1.85-2.05]\'',-1.281748,5.7,5,Iris-virginica
'\'(2.25-inf)\'',-0.590624,5.8,5.1,Iris-virginica
'\'(2.25-inf)\'',0.330873,6.4,5.3,Iris-virginica
'\'(1.55-1.85]\'',-0.129876,6.5,5.5,Iris-virginica
'\'(2.05-2.25]\'',1.71312,7.7,6.7,Iris-virginica
'\'(2.25-inf)\'',-1.051373,7.7,6.9,Iris-virginica
'\'(1.35-1.55]\'',-1.972871,6,5,Iris-virginica
'\'(2.25-inf)\'',0.330873,6.9,5.7,Iris-virginica
'\'(1.85-2.05]\'',-0.590624,5.6,4.9,Iris-virginica
'\'(1.85-2.05]\'',-0.590624,7.7,6.7,Iris-virginica
'\'(1.55-1.85]\'',-0.820999,6.3,4.9,Iris-virginica
'\'(2.05-2.25]\'',0.561248,6.7,5.7,Iris-virginica
'\'(1.55-1.85]\'',0.330873,7.2,6,Iris-virginica
'\'(1.55-1.85]\'',-0.590624,6.2,4.8,Iris-virginica
'\'(1.55-1.85]\'',-0.129876,6.1,4.9,Iris-virginica
'\'(2.05-2.25]\'',-0.590624,6.4,5.6,Iris-virginica
'\'(1.55-1.85]\'',-0.129876,7.2,5.8,Iris-virginica
'\'(1.85-2.05]\'',-0.590624,7.4,6.1,Iris-virginica
'\'(1.85-2.05]\'',1.71312,7.9,6.4,Iris-virginica
'\'(2.05-2.25]\'',-0.590624,6.4,5.6,Iris-virginica
'\'(1.35-1.55]\'',-0.590624,6.3,5.1,Iris-virginica
'\'(1.35-1.55]\'',-1.051373,6.1,5.6,Iris-virginica
'\'(2.25-inf)\'',-0.129876,7.7,6.1,Iris-virginica
'\'(2.25-inf)\'',0.791622,6.3,5.6,Iris-virginica
'\'(1.55-1.85]\'',0.100499,6.4,5.5,Iris-virginica
'\'(1.55-1.85]\'',-0.129876,6,4.8,Iris-virginica
'\'(2.05-2.25]\'',0.100499,6.9,5.4,Iris-virginica
'\'(2.25-inf)\'',0.100499,6.7,5.6,Iris-virginica
'\'(2.25-inf)\'',0.100499,6.9,5.1,Iris-virginica
?,?,5.8,5.1,Iris-virginica
'\'(2.25-inf)\'',0.330873,6.8,5.9,Iris-virginica
'\'(2.25-inf)\'',0.561248,6.7,5.7,Iris-virginica
'\'(2.25-inf)\'',-0.129876,?,5.2,Iris-virginica
'\'(1.85-2.05]\'',-1.281748,?,5,Iris-virginica
'\'(1.85-2.05]\'',-0.129876,6.5,5.2,Iris-virginica
'\'(2.25-inf)\'',0.791622,?,5.4,Iris-virginica
'\'(1.55-1.85]\'',-0.129876,5.9,5.1,Iris-virginica
