@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-sepal width in cm' {'\'(-inf-2.55]\'','\'(2.55-2.75]\'','\'(2.75-2.85]\'','\'(2.85-2.95]\'','\'(2.95-3.05]\'','\'(3.05-3.15]\'','\'(3.15-3.25]\'','\'(3.25-3.45]\'','\'(3.45-3.75]\'','\'(3.75-inf)\''}
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(3.25-3.45]\'',6,4.5,1.6,Iris-versicolor
'\'(3.05-3.15]\'',6.7,4.7,1.5,Iris-versicolor
'\'(-inf-2.55]\'',6.3,4.4,1.3,Iris-versicolor
'\'(2.95-3.05]\'',5.6,4.1,1.3,Iris-versicolor
'\'(-inf-2.55]\'',5.5,4,1.3,Iris-versicolor
'\'(2.55-2.75]\'',5.5,4.4,1.2,Iris-versicolor
'\'(2.95-3.05]\'',6.1,4.6,1.4,Iris-versicolor
'\'(2.55-2.75]\'',5.8,4,1.2,Iris-versicolor
'\'(-inf-2.55]\'',5,3.3,1,Iris-versicolor
'\'(2.55-2.75]\'',5.6,4.2,1.3,Iris-versicolor
'\'(2.95-3.05]\'',5.7,4.2,1.2,Iris-versicolor
'\'(2.85-2.95]\'',5.7,4.2,1.3,Iris-versicolor
'\'(2.85-2.95]\'',6.2,4.3,1.3,Iris-versicolor
'\'(-inf-2.55]\'',5.1,3,1.1,Iris-versicolor
'\'(2.75-2.85]\'',5.7,4.1,1.3,Iris-versicolor
'\'(3.25-3.45]\'',6.3,6,2.5,Iris-virginica
'\'(2.55-2.75]\'',5.8,5.1,1.9,Iris-virginica
'\'(2.95-3.05]\'',7.1,5.9,2.1,Iris-virginica
'\'(2.85-2.95]\'',6.3,5.6,1.8,Iris-virginica
'\'(2.95-3.05]\'',6.5,5.8,2.2,Iris-virginica
'\'(2.95-3.05]\'',7.6,6.6,2.1,Iris-virginica
'\'(-inf-2.55]\'',4.9,4.5,1.7,Iris-virginica
'\'(2.85-2.95]\'',7.3,6.3,1.8,Iris-virginica
'\'(-inf-2.55]\'',6.7,5.8,1.8,Iris-virginica
'\'(3.45-3.75]\'',7.2,6.1,2.5,Iris-virginica
'\'(3.15-3.25]\'',6.5,5.1,2,Iris-virginica
'\'(2.55-2.75]\'',6.4,5.3,1.9,Iris-virginica
'\'(2.95-3.05]\'',6.8,5.5,2.1,Iris-virginica
'\'(-inf-2.55]\'',5.7,5,2,Iris-virginica
'\'(2.75-2.85]\'',5.8,5.1,2.4,Iris-virginica
'\'(3.15-3.25]\'',6.4,5.3,2.3,Iris-virginica
'\'(2.95-3.05]\'',6.5,5.5,1.8,Iris-virginica
'\'(3.75-inf)\'',7.7,6.7,2.2,Iris-virginica
'\'(2.55-2.75]\'',7.7,6.9,2.3,Iris-virginica
'\'(-inf-2.55]\'',6,5,1.5,Iris-virginica
'\'(3.15-3.25]\'',6.9,5.7,2.3,Iris-virginica
'\'(2.75-2.85]\'',5.6,4.9,2,Iris-virginica
'\'(2.75-2.85]\'',7.7,6.7,2,Iris-virginica
'\'(2.55-2.75]\'',6.3,4.9,1.8,Iris-virginica
'\'(3.25-3.45]\'',6.7,5.7,2.1,Iris-virginica
'\'(3.15-3.25]\'',7.2,6,1.8,Iris-virginica
'\'(2.75-2.85]\'',6.2,4.8,1.8,Iris-virginica
'\'(2.95-3.05]\'',6.1,4.9,1.8,Iris-virginica
'\'(2.75-2.85]\'',6.4,5.6,2.1,Iris-virginica
'\'(2.95-3.05]\'',7.2,5.8,1.6,Iris-virginica
'\'(2.75-2.85]\'',7.4,6.1,1.9,Iris-virginica
'\'(3.75-inf)\'',7.9,6.4,2,Iris-virginica
'\'(2.75-2.85]\'',6.4,5.6,2.2,Iris-virginica
'\'(2.75-2.85]\'',6.3,5.1,1.5,Iris-virginica
'\'(2.55-2.75]\'',6.1,5.6,1.4,Iris-virginica
'\'(2.95-3.05]\'',7.7,6.1,2.3,Iris-virginica
'\'(3.25-3.45]\'',6.3,5.6,2.4,Iris-virginica
'\'(3.05-3.15]\'',6.4,5.5,1.8,Iris-virginica
'\'(2.95-3.05]\'',6,4.8,1.8,Iris-virginica
'\'(3.05-3.15]\'',6.9,5.4,2.1,Iris-virginica
'\'(3.05-3.15]\'',6.7,5.6,2.4,Iris-virginica
'\'(3.05-3.15]\'',6.9,5.1,2.3,Iris-virginica
'\'(2.55-2.75]\'',5.8,5.1,1.9,Iris-virginica
'\'(3.15-3.25]\'',6.8,5.9,2.3,Iris-virginica
'\'(3.25-3.45]\'',6.7,5.7,2.5,Iris-virginica
'\'(2.95-3.05]\'',6.7,5.2,2.3,Iris-virginica
'\'(-inf-2.55]\'',6.3,5,1.9,Iris-virginica
'\'(2.95-3.05]\'',6.5,5.2,2,Iris-virginica
'\'(3.25-3.45]\'',6.2,5.4,2.3,Iris-virginica
'\'(2.95-3.05]\'',5.9,5.1,1.8,Iris-virginica
