@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-petal width in cm' {'\'(-inf--1.125145]\'','\'(-1.125145--0.810664]\'','\'(-0.810664--0.496182]\'','\'(-0.496182--0.1817]\'','\'(-0.1817-0.132781]\'','\'(0.132781-0.447263]\'','\'(0.447263-0.761744]\'','\'(0.761744-1.076226]\'','\'(1.076226-1.390707]\'','\'(1.390707-inf)\''}
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(1.076226-1.390707]\'',6.4,2.8,5.6,Iris-virginica
'\'(0.447263-0.761744]\'',7.2,3,5.8,Iris-virginica
'\'(0.761744-1.076226]\'',7.4,2.8,6.1,Iris-virginica
'\'(0.761744-1.076226]\'',7.9,3.8,6.4,Iris-virginica
'\'(1.076226-1.390707]\'',6.4,2.8,5.6,Iris-virginica
'\'(0.132781-0.447263]\'',6.3,2.8,5.1,Iris-virginica
'\'(0.132781-0.447263]\'',6.1,2.6,5.6,Iris-virginica
'\'(1.390707-inf)\'',7.7,3,6.1,Iris-virginica
'\'(1.390707-inf)\'',6.3,3.4,5.6,Iris-virginica
'\'(0.761744-1.076226]\'',6.4,3.1,5.5,Iris-virginica
'\'(0.761744-1.076226]\'',6,3,4.8,Iris-virginica
'\'(1.076226-1.390707]\'',6.9,3.1,5.4,Iris-virginica
'\'(1.390707-inf)\'',6.7,3.1,5.6,Iris-virginica
'\'(1.390707-inf)\'',6.9,3.1,5.1,Iris-virginica
'\'(0.761744-1.076226]\'',5.8,2.7,5.1,Iris-virginica
'\'(1.390707-inf)\'',6.8,3.2,5.9,Iris-virginica
'\'(1.390707-inf)\'',6.7,3.3,5.7,Iris-virginica
'\'(1.390707-inf)\'',6.7,3,5.2,Iris-virginica
'\'(0.761744-1.076226]\'',6.3,2.5,5,Iris-virginica
'\'(0.761744-1.076226]\'',6.5,3,5.2,Iris-virginica
'\'(1.390707-inf)\'',6.2,3.4,5.4,Iris-virginica
'\'(0.761744-1.076226]\'',5.9,3,5.1,Iris-virginica
