@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-petal length in cm' {'\'(-inf-1.35]\'','\'(1.35-1.45]\'','\'(1.45-1.55]\'','\'(1.55-3.4]\'','\'(3.4-4.15]\'','\'(4.15-4.55]\'','\'(4.55-4.95]\'','\'(4.95-5.35]\'','\'(5.35-5.75]\'','\'(5.75-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf-0.229167]\'','\'(0.229167-0.3125]\'','\'(0.3125-0.354167]\'','\'(0.354167-0.395833]\'','\'(0.395833-0.4375]\'','\'(0.4375-0.479167]\'','\'(0.479167-0.520833]\'','\'(0.520833-0.604167]\'','\'(0.604167-0.729167]\'','\'(0.729167-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(1.55-3.4]\'','\'(0.4375-0.479167]\'',4.8,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(0.520833-0.604167]\'',5.4,0.4,Iris-setosa
'\'(1.45-1.55]\'','\'(0.729167-inf)\'',5.2,0.1,Iris-setosa
'\'(1.35-1.45]\'','\'(0.729167-inf)\'',5.5,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(0.4375-0.479167]\'',4.9,0.1,Iris-setosa
'\'(-inf-1.35]\'','\'(0.479167-0.520833]\'',5,0.2,Iris-setosa
'\'(-inf-1.35]\'','\'(0.604167-0.729167]\'',5.5,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(0.4375-0.479167]\'',4.9,0.1,Iris-setosa
'\'(-inf-1.35]\'','\'(0.395833-0.4375]\'',4.4,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(0.520833-0.604167]\'',5.1,0.2,Iris-setosa
'\'(-inf-1.35]\'','\'(0.604167-0.729167]\'',5,0.3,Iris-setosa
'\'(-inf-1.35]\'','\'(-inf-0.229167]\'',4.5,0.3,Iris-setosa
'\'(-inf-1.35]\'','\'(0.479167-0.520833]\'',4.4,0.2,Iris-setosa
'\'(1.55-3.4]\'','\'(0.604167-0.729167]\'',5,0.6,Iris-setosa
'\'(1.55-3.4]\'','\'(0.729167-inf)\'',5.1,0.4,Iris-setosa
'\'(1.35-1.45]\'','\'(0.395833-0.4375]\'',4.8,0.3,Iris-setosa
'\'(1.55-3.4]\'','\'(0.729167-inf)\'',5.1,0.2,Iris-setosa
'\'(1.35-1.45]\'','\'(0.479167-0.520833]\'',4.6,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(0.604167-0.729167]\'',5.3,0.2,Iris-setosa
'\'(1.35-1.45]\'','\'(0.520833-0.604167]\'',5,0.2,Iris-setosa
'\'(4.55-4.95]\'','\'(0.479167-0.520833]\'',7,1.4,Iris-versicolor
'\'(4.15-4.55]\'','\'(0.479167-0.520833]\'',6.4,1.5,Iris-versicolor
'\'(4.55-4.95]\'','\'(0.4375-0.479167]\'',6.9,1.5,Iris-versicolor
'\'(3.4-4.15]\'','\'(-inf-0.229167]\'',5.5,1.3,Iris-versicolor
'\'(4.55-4.95]\'','\'(0.3125-0.354167]\'',6.5,1.5,Iris-versicolor
'\'(4.15-4.55]\'','\'(0.3125-0.354167]\'',5.7,1.3,Iris-versicolor
'\'(4.55-4.95]\'','\'(0.520833-0.604167]\'',6.3,1.6,Iris-versicolor
'\'(1.55-3.4]\'','\'(-inf-0.229167]\'',4.9,1,Iris-versicolor
'\'(4.55-4.95]\'','\'(0.354167-0.395833]\'',6.6,1.3,Iris-versicolor
'\'(3.4-4.15]\'','\'(0.229167-0.3125]\'',5.2,1.4,Iris-versicolor
'\'(3.4-4.15]\'','\'(-inf-0.229167]\'',5,1,Iris-versicolor
'\'(4.15-4.55]\'','\'(0.395833-0.4375]\'',5.9,1.5,Iris-versicolor
'\'(3.4-4.15]\'','\'(-inf-0.229167]\'',6,1,Iris-versicolor
'\'(4.55-4.95]\'','\'(0.354167-0.395833]\'',6.1,1.4,Iris-versicolor
'\'(3.4-4.15]\'','\'(0.354167-0.395833]\'',5.6,1.3,Iris-versicolor
'\'(4.15-4.55]\'','\'(0.4375-0.479167]\'',6.7,1.4,Iris-versicolor
'\'(4.15-4.55]\'','\'(0.395833-0.4375]\'',5.6,1.5,Iris-versicolor
'\'(3.4-4.15]\'','\'(0.229167-0.3125]\'',5.8,1,Iris-versicolor
'\'(4.15-4.55]\'','\'(-inf-0.229167]\'',6.2,1.5,Iris-versicolor
'\'(3.4-4.15]\'','\'(-inf-0.229167]\'',5.6,1.1,Iris-versicolor
'\'(4.55-4.95]\'','\'(0.479167-0.520833]\'',5.9,1.8,Iris-versicolor
'\'(3.4-4.15]\'','\'(0.3125-0.354167]\'',6.1,1.3,Iris-versicolor
'\'(4.55-4.95]\'','\'(-inf-0.229167]\'',6.3,1.5,Iris-versicolor
'\'(4.55-4.95]\'','\'(0.3125-0.354167]\'',6.1,1.2,Iris-versicolor
'\'(4.15-4.55]\'','\'(0.354167-0.395833]\'',6.4,1.3,Iris-versicolor
'\'(4.15-4.55]\'','\'(0.395833-0.4375]\'',6.6,1.4,Iris-versicolor
'\'(4.55-4.95]\'','\'(0.3125-0.354167]\'',6.8,1.4,Iris-versicolor
'\'(4.95-5.35]\'','\'(0.395833-0.4375]\'',6.7,1.7,Iris-versicolor
'\'(4.15-4.55]\'','\'(0.354167-0.395833]\'',6,1.5,Iris-versicolor
'\'(3.4-4.15]\'','\'(0.229167-0.3125]\'',5.7,1,Iris-versicolor
'\'(3.4-4.15]\'','\'(-inf-0.229167]\'',5.5,1.1,Iris-versicolor
'\'(3.4-4.15]\'','\'(-inf-0.229167]\'',5.5,1,Iris-versicolor
'\'(3.4-4.15]\'','\'(0.229167-0.3125]\'',5.8,1.2,Iris-versicolor
'\'(4.95-5.35]\'','\'(0.229167-0.3125]\'',6,1.6,Iris-versicolor
'\'(4.15-4.55]\'','\'(0.395833-0.4375]\'',5.4,1.5,Iris-versicolor
'\'(4.15-4.55]\'','\'(0.520833-0.604167]\'',6,1.6,Iris-versicolor
'\'(4.55-4.95]\'','\'(0.4375-0.479167]\'',6.7,1.5,Iris-versicolor
'\'(4.15-4.55]\'','\'(-inf-0.229167]\'',6.3,1.3,Iris-versicolor
'\'(3.4-4.15]\'','\'(0.395833-0.4375]\'',5.6,1.3,Iris-versicolor
'\'(3.4-4.15]\'','\'(-inf-0.229167]\'',5.5,1.3,Iris-versicolor
'\'(4.15-4.55]\'','\'(0.229167-0.3125]\'',5.5,1.2,Iris-versicolor
'\'(4.55-4.95]\'','\'(0.395833-0.4375]\'',6.1,1.4,Iris-versicolor
'\'(3.4-4.15]\'','\'(0.229167-0.3125]\'',5.8,1.2,Iris-versicolor
'\'(1.55-3.4]\'','\'(-inf-0.229167]\'',5,1,Iris-versicolor
'\'(4.15-4.55]\'','\'(0.229167-0.3125]\'',5.6,1.3,Iris-versicolor
'\'(4.15-4.55]\'','\'(0.395833-0.4375]\'',5.7,1.2,Iris-versicolor
'\'(4.15-4.55]\'','\'(0.354167-0.395833]\'',5.7,1.3,Iris-versicolor
'\'(4.15-4.55]\'','\'(0.354167-0.395833]\'',6.2,1.3,Iris-versicolor
'\'(1.55-3.4]\'','\'(-inf-0.229167]\'',5.1,1.1,Iris-versicolor
'\'(3.4-4.15]\'','\'(0.3125-0.354167]\'',5.7,1.3,Iris-versicolor
'\'(5.75-inf)\'','\'(0.520833-0.604167]\'',6.3,2.5,Iris-virginica
'\'(4.95-5.35]\'','\'(0.229167-0.3125]\'',5.8,1.9,Iris-virginica
'\'(5.75-inf)\'','\'(0.395833-0.4375]\'',7.1,2.1,Iris-virginica
'\'(5.35-5.75]\'','\'(0.354167-0.395833]\'',6.3,1.8,Iris-virginica
'\'(5.75-inf)\'','\'(0.395833-0.4375]\'',6.5,2.2,Iris-virginica
'\'(5.75-inf)\'','\'(0.395833-0.4375]\'',7.6,2.1,Iris-virginica
'\'(4.15-4.55]\'','\'(-inf-0.229167]\'',4.9,1.7,Iris-virginica
'\'(5.75-inf)\'','\'(0.354167-0.395833]\'',7.3,1.8,Iris-virginica
'\'(5.75-inf)\'','\'(-inf-0.229167]\'',6.7,1.8,Iris-virginica
'\'(5.75-inf)\'','\'(0.604167-0.729167]\'',7.2,2.5,Iris-virginica
'\'(4.95-5.35]\'','\'(0.479167-0.520833]\'',6.5,2,Iris-virginica
'\'(4.95-5.35]\'','\'(0.229167-0.3125]\'',6.4,1.9,Iris-virginica
'\'(5.35-5.75]\'','\'(0.395833-0.4375]\'',6.8,2.1,Iris-virginica
'\'(4.95-5.35]\'','\'(-inf-0.229167]\'',5.7,2,Iris-virginica
'\'(4.95-5.35]\'','\'(0.3125-0.354167]\'',5.8,2.4,Iris-virginica
'\'(4.95-5.35]\'','\'(0.479167-0.520833]\'',6.4,2.3,Iris-virginica
'\'(5.35-5.75]\'','\'(0.395833-0.4375]\'',6.5,1.8,Iris-virginica
'\'(5.75-inf)\'','\'(0.729167-inf)\'',7.7,2.2,Iris-virginica
'\'(5.75-inf)\'','\'(0.229167-0.3125]\'',7.7,2.3,Iris-virginica
'\'(4.95-5.35]\'','\'(-inf-0.229167]\'',6,1.5,Iris-virginica
'\'(5.35-5.75]\'','\'(0.479167-0.520833]\'',6.9,2.3,Iris-virginica
'\'(4.55-4.95]\'','\'(0.3125-0.354167]\'',5.6,2,Iris-virginica
'\'(5.75-inf)\'','\'(0.3125-0.354167]\'',7.7,2,Iris-virginica
'\'(4.55-4.95]\'','\'(0.229167-0.3125]\'',6.3,1.8,Iris-virginica
'\'(5.35-5.75]\'','\'(0.520833-0.604167]\'',6.7,2.1,Iris-virginica
'\'(5.75-inf)\'','\'(0.479167-0.520833]\'',7.2,1.8,Iris-virginica
'\'(4.55-4.95]\'','\'(0.3125-0.354167]\'',6.2,1.8,Iris-virginica
'\'(4.55-4.95]\'','\'(0.395833-0.4375]\'',6.1,1.8,Iris-virginica
'\'(5.35-5.75]\'','\'(0.3125-0.354167]\'',6.4,2.1,Iris-virginica
'\'(5.75-inf)\'','\'(0.395833-0.4375]\'',7.2,1.6,Iris-virginica
'\'(5.75-inf)\'','\'(0.3125-0.354167]\'',7.4,1.9,Iris-virginica
'\'(5.75-inf)\'','\'(0.729167-inf)\'',7.9,2,Iris-virginica
'\'(5.35-5.75]\'','\'(0.3125-0.354167]\'',6.4,2.2,Iris-virginica
'\'(4.95-5.35]\'','\'(0.3125-0.354167]\'',6.3,1.5,Iris-virginica
'\'(5.35-5.75]\'','\'(0.229167-0.3125]\'',6.1,1.4,Iris-virginica
'\'(5.75-inf)\'','\'(0.395833-0.4375]\'',7.7,2.3,Iris-virginica
'\'(5.35-5.75]\'','\'(0.520833-0.604167]\'',6.3,2.4,Iris-virginica
'\'(5.35-5.75]\'','\'(0.4375-0.479167]\'',6.4,1.8,Iris-virginica
'\'(4.55-4.95]\'','\'(0.395833-0.4375]\'',6,1.8,Iris-virginica
'\'(5.35-5.75]\'','\'(0.4375-0.479167]\'',6.9,2.1,Iris-virginica
'\'(5.35-5.75]\'','\'(0.4375-0.479167]\'',6.7,2.4,Iris-virginica
'\'(4.95-5.35]\'','\'(0.4375-0.479167]\'',6.9,2.3,Iris-virginica
'\'(4.95-5.35]\'','\'(0.229167-0.3125]\'',5.8,1.9,Iris-virginica
'\'(5.75-inf)\'','\'(0.479167-0.520833]\'',6.8,2.3,Iris-virginica
'\'(5.35-5.75]\'','\'(0.520833-0.604167]\'',6.7,2.5,Iris-virginica
'\'(4.95-5.35]\'','\'(0.395833-0.4375]\'',6.7,2.3,Iris-virginica
'\'(4.95-5.35]\'','\'(-inf-0.229167]\'',6.3,1.9,Iris-virginica
'\'(4.95-5.35]\'','\'(0.395833-0.4375]\'',6.5,2,Iris-virginica
'\'(5.35-5.75]\'','\'(0.520833-0.604167]\'',6.2,2.3,Iris-virginica
'\'(4.95-5.35]\'','\'(0.395833-0.4375]\'',5.9,1.8,Iris-virginica
