@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.55]\'','\'(2.55-2.75]\'','\'(2.75-2.85]\'','\'(2.85-2.95]\'','\'(2.95-3.05]\'','\'(3.05-3.15]\'','\'(3.15-3.25]\'','\'(3.25-3.45]\'','\'(3.45-3.75]\'','\'(3.75-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.527778,0.787951,'\'(2.75-2.85]\'',4.8,Iris-virginica
0.5,0.787951,'\'(2.95-3.05]\'',4.9,Iris-virginica
0.583333,1.181053,'\'(2.75-2.85]\'',5.6,Iris-virginica
0.805556,0.525883,'\'(2.95-3.05]\'',5.8,Iris-virginica
0.861111,0.918985,'\'(2.75-2.85]\'',6.1,Iris-virginica
1,1.050019,'\'(3.75-inf)\'',6.4,Iris-virginica
0.583333,1.312087,'\'(2.75-2.85]\'',5.6,Iris-virginica
0.555556,0.394849,'\'(2.75-2.85]\'',5.1,Iris-virginica
0.5,0.263815,'\'(2.55-2.75]\'',5.6,Iris-virginica
0.944444,1.443121,'\'(2.95-3.05]\'',6.1,Iris-virginica
0.555556,1.574155,'\'(3.25-3.45]\'',5.6,Iris-virginica
0.583333,0.787951,'\'(3.05-3.15]\'',5.5,Iris-virginica
0.472222,0.787951,'\'(2.95-3.05]\'',4.8,Iris-virginica
0.722222,1.181053,'\'(3.05-3.15]\'',5.4,Iris-virginica
0.666667,1.574155,'\'(3.05-3.15]\'',5.6,Iris-virginica
0.722222,1.443121,'\'(3.05-3.15]\'',5.1,Iris-virginica
0.416667,0.918985,'\'(2.55-2.75]\'',5.1,Iris-virginica
0.694444,1.443121,'\'(3.15-3.25]\'',5.9,Iris-virginica
0.666667,1.705189,'\'(3.25-3.45]\'',5.7,Iris-virginica
0.666667,1.443121,'\'(2.95-3.05]\'',5.2,Iris-virginica
0.555556,0.918985,'\'(-inf-2.55]\'',5,Iris-virginica
0.611111,1.050019,'\'(2.95-3.05]\'',5.2,Iris-virginica
0.527778,1.443121,'\'(3.25-3.45]\'',5.4,Iris-virginica
0.444444,0.787951,'\'(2.95-3.05]\'',5.1,Iris-virginica
