@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1'

@attribute 'filtered-0-filtered-0-unfiltered-sepal length in cm' {'\'(-inf-4.85]\'','\'(4.85-5.05]\'','\'(5.05-5.35]\'','\'(5.35-5.55]\'','\'(5.55-5.75]\'','\'(5.75-6.05]\'','\'(6.05-6.35]\'','\'(6.35-6.65]\'','\'(6.65-6.95]\'','\'(6.95-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(5.55-5.75]\'',0.64686,2.8,2,Iris-virginica
'\'(6.95-inf)\'',1.667025,2.8,2,Iris-virginica
'\'(6.05-6.35]\'',0.64686,2.7,1.8,Iris-virginica
'\'(6.65-6.95]\'',1.100267,3.3,2.1,Iris-virginica
'\'(6.95-inf)\'',1.270294,3.2,1.8,Iris-virginica
'\'(6.05-6.35]\'',0.590184,2.8,1.8,Iris-virginica
'\'(6.05-6.35]\'',0.64686,3,1.8,Iris-virginica
'\'(6.35-6.65]\'',1.043591,2.8,2.1,Iris-virginica
'\'(6.95-inf)\'',1.156943,3,1.6,Iris-virginica
'\'(6.95-inf)\'',1.32697,2.8,1.9,Iris-virginica
'\'(6.95-inf)\'',1.496998,3.8,2,Iris-virginica
'\'(6.35-6.65]\'',1.043591,2.8,2.2,Iris-virginica
'\'(6.05-6.35]\'',0.760212,2.8,1.5,Iris-virginica
'\'(6.05-6.35]\'',1.043591,2.6,1.4,Iris-virginica
'\'(6.95-inf)\'',1.32697,3,2.3,Iris-virginica
'\'(6.05-6.35]\'',1.043591,3.4,2.4,Iris-virginica
'\'(6.35-6.65]\'',0.986915,3.1,1.8,Iris-virginica
'\'(5.75-6.05]\'',0.590184,3,1.8,Iris-virginica
'\'(6.65-6.95]\'',0.930239,3.1,2.1,Iris-virginica
'\'(6.65-6.95]\'',1.043591,3.1,2.4,Iris-virginica
'\'(6.65-6.95]\'',0.760212,3.1,2.3,Iris-virginica
'\'(5.75-6.05]\'',0.760212,?,?,Iris-virginica
'\'(6.65-6.95]\'',1.213619,3.2,2.3,Iris-virginica
'\'(6.65-6.95]\'',1.100267,3.3,2.5,Iris-virginica
?,0.816888,3,2.3,Iris-virginica
?,0.703536,2.5,1.9,Iris-virginica
'\'(6.35-6.65]\'',0.816888,3,2,Iris-virginica
?,0.930239,3.4,2.3,Iris-virginica
'\'(5.75-6.05]\'',0.760212,3,1.8,Iris-virginica
