@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-sepal length in cm' {'\'(-inf-0.152778]\'','\'(0.152778-0.208333]\'','\'(0.208333-0.291667]\'','\'(0.291667-0.347222]\'','\'(0.347222-0.402778]\'','\'(0.402778-0.486111]\'','\'(0.486111-0.569444]\'','\'(0.569444-0.652778]\'','\'(0.652778-0.736111]\'','\'(0.736111-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.569444-0.652778]\'',0.610169,2.9,1.3,Iris-versicolor
'\'(0.208333-0.291667]\'',0.491525,2.7,1.4,Iris-versicolor
'\'(0.152778-0.208333]\'',0.423729,2,1,Iris-versicolor
'\'(0.402778-0.486111]\'',0.542373,3,1.5,Iris-versicolor
'\'(0.402778-0.486111]\'',0.508475,2.2,1,Iris-versicolor
'\'(0.486111-0.569444]\'',0.627119,2.9,1.4,Iris-versicolor
'\'(0.347222-0.402778]\'',0.440678,2.9,1.3,Iris-versicolor
'\'(0.652778-0.736111]\'',0.576271,3.1,1.4,Iris-versicolor
'\'(0.347222-0.402778]\'',0.59322,3,1.5,Iris-versicolor
'\'(0.402778-0.486111]\'',0.525424,2.7,1,Iris-versicolor
'\'(0.486111-0.569444]\'',0.59322,2.2,1.5,Iris-versicolor
'\'(0.347222-0.402778]\'',0.491525,2.5,1.1,Iris-versicolor
'\'(0.402778-0.486111]\'',0.644068,3.2,1.8,Iris-versicolor
'\'(0.486111-0.569444]\'',0.508475,2.8,1.3,Iris-versicolor
'\'(0.486111-0.569444]\'',0.661017,2.5,1.5,Iris-versicolor
'\'(0.486111-0.569444]\'',0.627119,2.8,1.2,Iris-versicolor
'\'(0.569444-0.652778]\'',0.559322,2.9,1.3,Iris-versicolor
'\'(0.569444-0.652778]\'',0.576271,3,1.4,Iris-versicolor
'\'(0.652778-0.736111]\'',0.644068,2.8,1.4,Iris-versicolor
'\'(0.652778-0.736111]\'',0.677966,3,1.7,Iris-versicolor
'\'(0.402778-0.486111]\'',0.59322,2.9,1.5,Iris-versicolor
'\'(0.347222-0.402778]\'',0.423729,2.6,1,Iris-versicolor
'\'(0.291667-0.347222]\'',0.474576,2.4,1.1,Iris-versicolor
'\'(0.291667-0.347222]\'',0.457627,2.4,1,Iris-versicolor
'\'(0.402778-0.486111]\'',0.491525,2.7,1.2,Iris-versicolor
'\'(0.402778-0.486111]\'',0.694915,2.7,1.6,Iris-versicolor
'\'(0.291667-0.347222]\'',0.59322,3,1.5,Iris-versicolor
'\'(0.402778-0.486111]\'',0.59322,3.4,1.6,Iris-versicolor
'\'(0.652778-0.736111]\'',0.627119,3.1,1.5,Iris-versicolor
'\'(0.486111-0.569444]\'',0.576271,2.3,1.3,Iris-versicolor
'\'(0.347222-0.402778]\'',0.525424,3,1.3,Iris-versicolor
'\'(0.291667-0.347222]\'',0.508475,2.5,1.3,Iris-versicolor
'\'(0.291667-0.347222]\'',0.576271,2.6,1.2,Iris-versicolor
'\'(0.486111-0.569444]\'',0.610169,3,1.4,Iris-versicolor
'\'(0.402778-0.486111]\'',0.508475,2.6,1.2,Iris-versicolor
'\'(0.152778-0.208333]\'',0.389831,2.3,1,Iris-versicolor
'\'(0.347222-0.402778]\'',0.542373,2.7,1.3,Iris-versicolor
'\'(0.347222-0.402778]\'',0.542373,3,1.2,Iris-versicolor
'\'(0.347222-0.402778]\'',0.542373,2.9,1.3,Iris-versicolor
'\'(0.486111-0.569444]\'',0.559322,2.9,1.3,Iris-versicolor
'\'(0.208333-0.291667]\'',0.338983,2.5,1.1,Iris-versicolor
'\'(0.347222-0.402778]\'',0.525424,2.8,1.3,Iris-versicolor
'\'(0.486111-0.569444]\'',0.847458,3.3,2.5,Iris-virginica
'\'(0.402778-0.486111]\'',0.694915,2.7,1.9,Iris-virginica
'\'(0.736111-inf)\'',0.830508,3,2.1,Iris-virginica
'\'(0.486111-0.569444]\'',0.779661,2.9,1.8,Iris-virginica
'\'(0.569444-0.652778]\'',0.813559,3,2.2,Iris-virginica
'\'(0.736111-inf)\'',0.949153,3,2.1,Iris-virginica
'\'(0.152778-0.208333]\'',0.59322,2.5,1.7,Iris-virginica
'\'(0.736111-inf)\'',0.898305,2.9,1.8,Iris-virginica
'\'(0.652778-0.736111]\'',0.813559,2.5,1.8,Iris-virginica
'\'(0.736111-inf)\'',0.864407,3.6,2.5,Iris-virginica
'\'(0.569444-0.652778]\'',0.694915,3.2,2,Iris-virginica
'\'(0.569444-0.652778]\'',0.728814,2.7,1.9,Iris-virginica
'\'(0.652778-0.736111]\'',0.762712,3,2.1,Iris-virginica
'\'(0.347222-0.402778]\'',0.677966,2.5,2,Iris-virginica
'\'(0.402778-0.486111]\'',0.694915,2.8,2.4,Iris-virginica
'\'(0.569444-0.652778]\'',0.728814,3.2,2.3,Iris-virginica
'\'(0.569444-0.652778]\'',0.762712,3,1.8,Iris-virginica
'\'(0.736111-inf)\'',0.966102,3.8,2.2,Iris-virginica
'\'(0.736111-inf)\'',1,2.6,2.3,Iris-virginica
'\'(0.402778-0.486111]\'',0.677966,2.2,1.5,Iris-virginica
'\'(0.652778-0.736111]\'',0.79661,3.2,2.3,Iris-virginica
'\'(0.347222-0.402778]\'',0.661017,2.8,2,Iris-virginica
'\'(0.736111-inf)\'',0.966102,2.8,2,Iris-virginica
'\'(0.486111-0.569444]\'',0.661017,2.7,1.8,Iris-virginica
'\'(0.652778-0.736111]\'',0.79661,3.3,2.1,Iris-virginica
'\'(0.736111-inf)\'',0.847458,3.2,1.8,Iris-virginica
'\'(0.486111-0.569444]\'',0.644068,2.8,1.8,Iris-virginica
'\'(0.486111-0.569444]\'',0.661017,3,1.8,Iris-virginica
'\'(0.569444-0.652778]\'',0.779661,2.8,2.1,Iris-virginica
'\'(0.736111-inf)\'',0.813559,3,1.6,Iris-virginica
'\'(0.736111-inf)\'',0.864407,2.8,1.9,Iris-virginica
'\'(0.736111-inf)\'',0.915254,3.8,2,Iris-virginica
'\'(0.569444-0.652778]\'',0.779661,2.8,2.2,Iris-virginica
'\'(0.486111-0.569444]\'',0.694915,2.8,1.5,Iris-virginica
'\'(0.486111-0.569444]\'',0.779661,2.6,1.4,Iris-virginica
'\'(0.736111-inf)\'',0.864407,3,2.3,Iris-virginica
'\'(0.486111-0.569444]\'',0.779661,3.4,2.4,Iris-virginica
'\'(0.569444-0.652778]\'',0.762712,3.1,1.8,Iris-virginica
'\'(0.402778-0.486111]\'',0.644068,3,1.8,Iris-virginica
'\'(0.652778-0.736111]\'',0.745763,3.1,2.1,Iris-virginica
'\'(0.652778-0.736111]\'',0.779661,3.1,2.4,Iris-virginica
'\'(0.652778-0.736111]\'',0.694915,3.1,2.3,Iris-virginica
'\'(0.402778-0.486111]\'',0.694915,?,?,Iris-virginica
'\'(0.652778-0.736111]\'',0.830508,3.2,2.3,Iris-virginica
'\'(0.652778-0.736111]\'',0.79661,3.3,2.5,Iris-virginica
?,0.711864,3,2.3,Iris-virginica
?,0.677966,2.5,1.9,Iris-virginica
'\'(0.569444-0.652778]\'',0.711864,3,2,Iris-virginica
?,0.745763,3.4,2.3,Iris-virginica
'\'(0.402778-0.486111]\'',0.694915,3,1.8,Iris-virginica
