@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.254025,'\'(-inf-2.24]\'',6,4,Iris-versicolor
0.269846,'\'(2.72-2.96]\'',6.1,4.7,Iris-versicolor
0.138879,'\'(2.72-2.96]\'',5.6,3.6,Iris-versicolor
0.269846,'\'(2.96-3.2]\'',6.7,4.4,Iris-versicolor
0.400814,'\'(2.96-3.2]\'',5.6,4.5,Iris-versicolor
-0.254025,'\'(2.48-2.72]\'',5.8,4.1,Iris-versicolor
0.400814,'\'(-inf-2.24]\'',6.2,4.5,Iris-versicolor
-0.123057,'\'(2.48-2.72]\'',5.6,3.9,Iris-versicolor
0.793717,'\'(2.96-3.2]\'',5.9,4.8,Iris-versicolor
0.138879,'\'(2.72-2.96]\'',6.1,4,Iris-versicolor
0.400814,'\'(2.48-2.72]\'',6.3,4.9,Iris-versicolor
0.007911,'\'(2.72-2.96]\'',6.1,4.7,Iris-versicolor
0.138879,'\'(2.72-2.96]\'',6.4,4.3,Iris-versicolor
0.269846,'\'(2.96-3.2]\'',6.6,4.4,Iris-versicolor
0.269846,'\'(2.72-2.96]\'',6.8,4.8,Iris-versicolor
0.662749,'\'(2.96-3.2]\'',6.7,5,Iris-versicolor
0.400814,'\'(2.72-2.96]\'',6,4.5,Iris-versicolor
-0.254025,'\'(2.48-2.72]\'',5.7,3.5,Iris-versicolor
-0.123057,'\'(2.24-2.48]\'',5.5,3.8,Iris-versicolor
-0.254025,'\'(2.24-2.48]\'',5.5,3.7,Iris-versicolor
0.007911,'\'(2.48-2.72]\'',5.8,3.9,Iris-versicolor
0.531782,'\'(2.48-2.72]\'',6,5.1,Iris-versicolor
0.400814,'\'(2.96-3.2]\'',5.4,4.5,Iris-versicolor
0.531782,'\'(3.2-3.44]\'',6,4.5,Iris-versicolor
0.400814,'\'(2.96-3.2]\'',6.7,4.7,Iris-versicolor
0.138879,'\'(2.24-2.48]\'',6.3,4.4,Iris-versicolor
0.138879,'\'(2.96-3.2]\'',5.6,4.1,Iris-versicolor
0.138879,'\'(2.48-2.72]\'',5.5,4,Iris-versicolor
0.007911,'\'(2.48-2.72]\'',5.5,4.4,Iris-versicolor
0.269846,'\'(2.96-3.2]\'',6.1,4.6,Iris-versicolor
0.007911,'\'(2.48-2.72]\'',5.8,4,Iris-versicolor
-0.254025,'\'(2.24-2.48]\'',5,3.3,Iris-versicolor
0.138879,'\'(2.48-2.72]\'',5.6,4.2,Iris-versicolor
0.007911,'\'(2.96-3.2]\'',5.7,4.2,Iris-versicolor
0.138879,'\'(2.72-2.96]\'',5.7,4.2,Iris-versicolor
0.138879,'\'(2.72-2.96]\'',6.2,4.3,Iris-versicolor
-0.123057,'\'(2.48-2.72]\'',5.1,3,Iris-versicolor
0.138879,'\'(2.72-2.96]\'',5.7,4.1,Iris-versicolor
1.710491,'\'(3.2-3.44]\'',6.3,6,Iris-virginica
0.924685,'\'(2.48-2.72]\'',5.8,5.1,Iris-virginica
1.18662,'\'(2.96-3.2]\'',7.1,5.9,Iris-virginica
0.793717,'\'(2.72-2.96]\'',6.3,5.6,Iris-virginica
1.317588,'\'(2.96-3.2]\'',6.5,5.8,Iris-virginica
1.18662,'\'(2.96-3.2]\'',7.6,6.6,Iris-virginica
0.662749,'\'(2.48-2.72]\'',4.9,4.5,Iris-virginica
0.793717,'\'(2.72-2.96]\'',7.3,6.3,Iris-virginica
0.793717,'\'(2.48-2.72]\'',6.7,5.8,Iris-virginica
1.710491,'\'(3.44-3.68]\'',7.2,6.1,Iris-virginica
1.055653,'\'(2.96-3.2]\'',6.5,5.1,Iris-virginica
0.924685,'\'(2.48-2.72]\'',6.4,5.3,Iris-virginica
1.18662,'\'(2.96-3.2]\'',6.8,5.5,Iris-virginica
1.055653,'\'(2.48-2.72]\'',5.7,5,Iris-virginica
1.579524,'\'(2.72-2.96]\'',5.8,5.1,Iris-virginica
1.448556,'\'(2.96-3.2]\'',6.4,5.3,Iris-virginica
0.793717,'\'(2.96-3.2]\'',6.5,5.5,Iris-virginica
1.317588,'\'(3.68-3.92]\'',7.7,6.7,Iris-virginica
1.448556,'\'(2.48-2.72]\'',7.7,6.9,Iris-virginica
0.400814,'\'(-inf-2.24]\'',6,5,Iris-virginica
1.448556,'\'(2.96-3.2]\'',6.9,5.7,Iris-virginica
1.055653,'\'(2.72-2.96]\'',5.6,4.9,Iris-virginica
1.055653,'\'(2.72-2.96]\'',7.7,6.7,Iris-virginica
0.793717,'\'(2.48-2.72]\'',6.3,4.9,Iris-virginica
1.18662,'\'(3.2-3.44]\'',6.7,5.7,Iris-virginica
0.793717,'\'(2.96-3.2]\'',7.2,6,Iris-virginica
0.793717,'\'(2.72-2.96]\'',6.2,4.8,Iris-virginica
0.793717,'\'(2.96-3.2]\'',6.1,4.9,Iris-virginica
1.18662,'\'(2.72-2.96]\'',6.4,5.6,Iris-virginica
0.531782,'\'(2.96-3.2]\'',7.2,5.8,Iris-virginica
0.924685,'\'(2.72-2.96]\'',7.4,6.1,Iris-virginica
1.055653,'\'(3.68-3.92]\'',7.9,6.4,Iris-virginica
1.317588,'\'(2.72-2.96]\'',6.4,5.6,Iris-virginica
0.400814,'\'(2.72-2.96]\'',6.3,5.1,Iris-virginica
0.269846,'\'(2.48-2.72]\'',6.1,5.6,Iris-virginica
1.448556,'\'(2.96-3.2]\'',7.7,6.1,Iris-virginica
1.579524,'\'(3.2-3.44]\'',6.3,5.6,Iris-virginica
0.793717,'\'(2.96-3.2]\'',6.4,5.5,Iris-virginica
0.793717,'\'(2.96-3.2]\'',6,4.8,Iris-virginica
1.18662,'\'(2.96-3.2]\'',6.9,5.4,Iris-virginica
1.579524,'\'(2.96-3.2]\'',6.7,5.6,Iris-virginica
1.448556,'\'(2.96-3.2]\'',6.9,5.1,Iris-virginica
?,?,5.8,5.1,Iris-virginica
1.448556,'\'(2.96-3.2]\'',6.8,5.9,Iris-virginica
1.710491,'\'(3.2-3.44]\'',6.7,5.7,Iris-virginica
1.448556,'\'(2.96-3.2]\'',?,5.2,Iris-virginica
0.924685,'\'(2.48-2.72]\'',?,5,Iris-virginica
1.055653,'\'(2.96-3.2]\'',6.5,5.2,Iris-virginica
1.448556,'\'(3.2-3.44]\'',?,5.4,Iris-virginica
0.793717,'\'(2.96-3.2]\'',5.9,5.1,Iris-virginica
