@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-petal length in cm' {'\'(-inf-1.35]\'','\'(1.35-1.45]\'','\'(1.45-1.55]\'','\'(1.55-3.4]\'','\'(3.4-4.15]\'','\'(4.15-4.55]\'','\'(4.55-4.95]\'','\'(4.95-5.35]\'','\'(5.35-5.75]\'','\'(5.75-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(4.55-4.95]\'',0.333333,6.8,1.4,Iris-versicolor
'\'(4.95-5.35]\'',0.416667,6.7,1.7,Iris-versicolor
'\'(4.15-4.55]\'',0.375,6,1.5,Iris-versicolor
'\'(3.4-4.15]\'',0.25,5.7,1,Iris-versicolor
'\'(3.4-4.15]\'',0.166667,5.5,1.1,Iris-versicolor
'\'(3.4-4.15]\'',0.166667,5.5,1,Iris-versicolor
'\'(3.4-4.15]\'',0.291667,5.8,1.2,Iris-versicolor
'\'(4.95-5.35]\'',0.291667,6,1.6,Iris-versicolor
'\'(4.15-4.55]\'',0.416667,5.4,1.5,Iris-versicolor
'\'(4.15-4.55]\'',0.583333,6,1.6,Iris-versicolor
'\'(4.55-4.95]\'',0.458333,6.7,1.5,Iris-versicolor
'\'(4.15-4.55]\'',0.125,6.3,1.3,Iris-versicolor
'\'(3.4-4.15]\'',0.416667,5.6,1.3,Iris-versicolor
'\'(3.4-4.15]\'',0.208333,5.5,1.3,Iris-versicolor
'\'(4.15-4.55]\'',0.25,5.5,1.2,Iris-versicolor
'\'(4.55-4.95]\'',0.416667,6.1,1.4,Iris-versicolor
'\'(3.4-4.15]\'',0.25,5.8,1.2,Iris-versicolor
'\'(1.55-3.4]\'',0.125,5,1,Iris-versicolor
'\'(4.15-4.55]\'',0.291667,5.6,1.3,Iris-versicolor
'\'(4.15-4.55]\'',0.416667,5.7,1.2,Iris-versicolor
'\'(4.15-4.55]\'',0.375,5.7,1.3,Iris-versicolor
'\'(4.15-4.55]\'',0.375,6.2,1.3,Iris-versicolor
'\'(1.55-3.4]\'',0.208333,5.1,1.1,Iris-versicolor
'\'(3.4-4.15]\'',0.333333,5.7,1.3,Iris-versicolor
'\'(5.75-inf)\'',0.541667,6.3,2.5,Iris-virginica
'\'(4.95-5.35]\'',0.291667,5.8,1.9,Iris-virginica
'\'(5.75-inf)\'',0.416667,7.1,2.1,Iris-virginica
'\'(5.35-5.75]\'',0.375,6.3,1.8,Iris-virginica
'\'(5.75-inf)\'',0.416667,6.5,2.2,Iris-virginica
'\'(5.75-inf)\'',0.416667,7.6,2.1,Iris-virginica
'\'(4.15-4.55]\'',0.208333,4.9,1.7,Iris-virginica
'\'(5.75-inf)\'',0.375,7.3,1.8,Iris-virginica
'\'(5.75-inf)\'',0.208333,6.7,1.8,Iris-virginica
'\'(5.75-inf)\'',0.666667,7.2,2.5,Iris-virginica
'\'(4.95-5.35]\'',0.5,6.5,2,Iris-virginica
'\'(4.95-5.35]\'',0.291667,6.4,1.9,Iris-virginica
'\'(5.35-5.75]\'',0.416667,6.8,2.1,Iris-virginica
'\'(4.95-5.35]\'',0.208333,5.7,2,Iris-virginica
'\'(4.95-5.35]\'',0.333333,5.8,2.4,Iris-virginica
'\'(4.95-5.35]\'',0.5,6.4,2.3,Iris-virginica
'\'(5.35-5.75]\'',0.416667,6.5,1.8,Iris-virginica
'\'(5.75-inf)\'',0.75,7.7,2.2,Iris-virginica
'\'(5.75-inf)\'',0.25,7.7,2.3,Iris-virginica
'\'(4.95-5.35]\'',0.083333,6,1.5,Iris-virginica
'\'(5.35-5.75]\'',0.5,6.9,2.3,Iris-virginica
'\'(4.55-4.95]\'',0.333333,5.6,2,Iris-virginica
'\'(5.75-inf)\'',0.333333,7.7,2,Iris-virginica
'\'(4.55-4.95]\'',0.291667,6.3,1.8,Iris-virginica
'\'(5.35-5.75]\'',0.541667,6.7,2.1,Iris-virginica
'\'(5.75-inf)\'',0.5,7.2,1.8,Iris-virginica
'\'(4.55-4.95]\'',0.333333,6.2,1.8,Iris-virginica
'\'(4.55-4.95]\'',0.416667,6.1,1.8,Iris-virginica
'\'(5.35-5.75]\'',0.333333,6.4,2.1,Iris-virginica
'\'(5.75-inf)\'',0.416667,7.2,1.6,Iris-virginica
'\'(5.75-inf)\'',0.333333,7.4,1.9,Iris-virginica
'\'(5.75-inf)\'',0.75,7.9,2,Iris-virginica
'\'(5.35-5.75]\'',0.333333,6.4,2.2,Iris-virginica
'\'(4.95-5.35]\'',0.333333,6.3,1.5,Iris-virginica
'\'(5.35-5.75]\'',0.25,6.1,1.4,Iris-virginica
'\'(5.75-inf)\'',0.416667,7.7,2.3,Iris-virginica
'\'(5.35-5.75]\'',0.583333,6.3,2.4,Iris-virginica
'\'(5.35-5.75]\'',0.458333,6.4,1.8,Iris-virginica
'\'(4.55-4.95]\'',0.416667,6,1.8,Iris-virginica
'\'(5.35-5.75]\'',0.458333,6.9,2.1,Iris-virginica
'\'(5.35-5.75]\'',0.458333,6.7,2.4,Iris-virginica
'\'(4.95-5.35]\'',0.458333,6.9,2.3,Iris-virginica
'\'(4.95-5.35]\'',0.291667,5.8,1.9,Iris-virginica
'\'(5.75-inf)\'',0.5,6.8,2.3,Iris-virginica
'\'(5.35-5.75]\'',0.541667,6.7,2.5,Iris-virginica
'\'(4.95-5.35]\'',0.416667,6.7,2.3,Iris-virginica
'\'(4.95-5.35]\'',0.208333,6.3,1.9,Iris-virginica
'\'(4.95-5.35]\'',0.416667,6.5,2,Iris-virginica
'\'(5.35-5.75]\'',0.583333,6.2,2.3,Iris-virginica
'\'(4.95-5.35]\'',0.416667,5.9,1.8,Iris-virginica
