@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-filtered-0-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.82-1.06]\'',-1.018437,2.3,3.3,Iris-versicolor
'\'(1.06-1.3]\'',-0.293857,2.7,4.2,Iris-versicolor
'\'(1.06-1.3]\'',-0.173094,3,4.2,Iris-versicolor
'\'(1.06-1.3]\'',-0.173094,2.9,4.2,Iris-versicolor
'\'(1.06-1.3]\'',0.430722,2.9,4.3,Iris-versicolor
'\'(1.06-1.3]\'',-0.897674,2.5,3,Iris-versicolor
'\'(1.06-1.3]\'',-0.173094,2.8,4.1,Iris-versicolor
'\'(2.26-inf)\'',0.551486,3.3,6,Iris-virginica
'\'(1.78-2.02]\'',-0.052331,2.7,5.1,Iris-virginica
'\'(2.02-2.26]\'',1.517592,3,5.9,Iris-virginica
'\'(1.78-2.02]\'',0.551486,2.9,5.6,Iris-virginica
'\'(2.02-2.26]\'',0.793012,3,5.8,Iris-virginica
'\'(2.02-2.26]\'',2.121409,3,6.6,Iris-virginica
'\'(1.54-1.78]\'',-1.1392,2.5,4.5,Iris-virginica
'\'(1.78-2.02]\'',1.759119,2.9,6.3,Iris-virginica
'\'(1.78-2.02]\'',1.034539,2.5,5.8,Iris-virginica
'\'(2.26-inf)\'',1.638355,3.6,6.1,Iris-virginica
'\'(1.78-2.02]\'',0.793012,3.2,5.1,Iris-virginica
'\'(1.78-2.02]\'',0.672249,2.7,5.3,Iris-virginica
'\'(2.02-2.26]\'',1.155302,3,5.5,Iris-virginica
'\'(1.78-2.02]\'',-0.173094,2.5,5,Iris-virginica
'\'(2.26-inf)\'',-0.052331,2.8,5.1,Iris-virginica
'\'(2.26-inf)\'',0.672249,3.2,5.3,Iris-virginica
'\'(1.78-2.02]\'',0.793012,3,5.5,Iris-virginica
'\'(2.02-2.26]\'',2.242172,3.8,6.7,Iris-virginica
'\'(2.26-inf)\'',2.242172,2.6,6.9,Iris-virginica
'\'(1.3-1.54]\'',0.189196,2.2,5,Iris-virginica
'\'(2.26-inf)\'',1.276066,3.2,5.7,Iris-virginica
'\'(1.78-2.02]\'',-0.293857,2.8,4.9,Iris-virginica
'\'(1.78-2.02]\'',2.242172,2.8,6.7,Iris-virginica
'\'(1.78-2.02]\'',0.551486,2.7,4.9,Iris-virginica
'\'(2.02-2.26]\'',1.034539,3.3,5.7,Iris-virginica
'\'(1.78-2.02]\'',1.638355,3.2,6,Iris-virginica
'\'(1.78-2.02]\'',0.430722,2.8,4.8,Iris-virginica
'\'(1.78-2.02]\'',0.309959,3,4.9,Iris-virginica
'\'(2.02-2.26]\'',0.672249,2.8,5.6,Iris-virginica
'\'(1.54-1.78]\'',1.638355,3,5.8,Iris-virginica
'\'(1.78-2.02]\'',1.879882,2.8,6.1,Iris-virginica
'\'(1.78-2.02]\'',2.483699,3.8,6.4,Iris-virginica
'\'(2.02-2.26]\'',0.672249,2.8,5.6,Iris-virginica
'\'(1.3-1.54]\'',0.551486,2.8,5.1,Iris-virginica
'\'(1.3-1.54]\'',0.309959,2.6,5.6,Iris-virginica
'\'(2.26-inf)\'',2.242172,3,6.1,Iris-virginica
'\'(2.26-inf)\'',0.551486,3.4,5.6,Iris-virginica
'\'(1.78-2.02]\'',0.672249,3.1,5.5,Iris-virginica
'\'(1.78-2.02]\'',0.189196,3,4.8,Iris-virginica
'\'(2.02-2.26]\'',1.276066,3.1,5.4,Iris-virginica
'\'(2.26-inf)\'',1.034539,3.1,5.6,Iris-virginica
'\'(2.26-inf)\'',1.276066,3.1,5.1,Iris-virginica
'\'(1.78-2.02]\'',-0.052331,2.7,5.1,Iris-virginica
'\'(2.26-inf)\'',1.155302,3.2,5.9,Iris-virginica
'\'(2.26-inf)\'',1.034539,3.3,5.7,Iris-virginica
'\'(2.26-inf)\'',1.034539,3,5.2,Iris-virginica
'\'(1.78-2.02]\'',0.551486,2.5,5,Iris-virginica
'\'(1.78-2.02]\'',0.793012,3,5.2,Iris-virginica
'\'(2.26-inf)\'',0.430722,3.4,5.4,Iris-virginica
'\'(1.78-2.02]\'',0.068433,3,5.1,Iris-virginica
