@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1'

@attribute 'filtered-0-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(2.72-2.96]\'',5.7,4.5,1.3,Iris-versicolor
'\'(3.2-3.44]\'',6.3,4.7,1.6,Iris-versicolor
'\'(2.24-2.48]\'',4.9,3.3,1,Iris-versicolor
'\'(2.72-2.96]\'',6.6,4.6,1.3,Iris-versicolor
'\'(2.48-2.72]\'',5.2,3.9,1.4,Iris-versicolor
'\'(-inf-2.24]\'',5,3.5,1,Iris-versicolor
'\'(2.96-3.2]\'',5.9,4.2,1.5,Iris-versicolor
'\'(-inf-2.24]\'',6,4,1,Iris-versicolor
'\'(2.72-2.96]\'',6.1,4.7,1.4,Iris-versicolor
'\'(2.72-2.96]\'',5.6,3.6,1.3,Iris-versicolor
'\'(2.96-3.2]\'',6.7,4.4,1.4,Iris-versicolor
'\'(2.96-3.2]\'',5.6,4.5,1.5,Iris-versicolor
'\'(2.48-2.72]\'',5.8,4.1,1,Iris-versicolor
'\'(-inf-2.24]\'',6.2,4.5,1.5,Iris-versicolor
'\'(2.48-2.72]\'',5.6,3.9,1.1,Iris-versicolor
'\'(2.96-3.2]\'',5.9,4.8,1.8,Iris-versicolor
'\'(2.72-2.96]\'',6.1,4,1.3,Iris-versicolor
'\'(2.48-2.72]\'',6.3,4.9,1.5,Iris-versicolor
'\'(2.72-2.96]\'',6.1,4.7,1.2,Iris-versicolor
'\'(2.72-2.96]\'',6.4,4.3,1.3,Iris-versicolor
'\'(2.96-3.2]\'',6.6,4.4,1.4,Iris-versicolor
'\'(2.72-2.96]\'',6.8,4.8,1.4,Iris-versicolor
'\'(2.96-3.2]\'',6.7,5,1.7,Iris-versicolor
'\'(2.72-2.96]\'',6,4.5,1.5,Iris-versicolor
'\'(2.48-2.72]\'',5.7,3.5,1,Iris-versicolor
'\'(2.24-2.48]\'',5.5,3.8,1.1,Iris-versicolor
'\'(2.24-2.48]\'',5.5,3.7,1,Iris-versicolor
'\'(2.48-2.72]\'',5.8,3.9,1.2,Iris-versicolor
'\'(2.48-2.72]\'',6,5.1,1.6,Iris-versicolor
'\'(2.96-3.2]\'',5.4,4.5,1.5,Iris-versicolor
'\'(3.2-3.44]\'',6,4.5,1.6,Iris-versicolor
'\'(2.96-3.2]\'',6.7,4.7,1.5,Iris-versicolor
'\'(2.24-2.48]\'',6.3,4.4,1.3,Iris-versicolor
'\'(2.96-3.2]\'',5.6,4.1,1.3,Iris-versicolor
'\'(2.48-2.72]\'',5.5,4,1.3,Iris-versicolor
'\'(2.48-2.72]\'',5.5,4.4,1.2,Iris-versicolor
'\'(2.96-3.2]\'',6.1,4.6,1.4,Iris-versicolor
'\'(2.48-2.72]\'',5.8,4,1.2,Iris-versicolor
'\'(2.24-2.48]\'',5,3.3,1,Iris-versicolor
'\'(2.48-2.72]\'',5.6,4.2,1.3,Iris-versicolor
'\'(2.96-3.2]\'',5.7,4.2,1.2,Iris-versicolor
'\'(2.72-2.96]\'',5.7,4.2,1.3,Iris-versicolor
'\'(2.72-2.96]\'',6.2,4.3,1.3,Iris-versicolor
'\'(2.48-2.72]\'',5.1,3,1.1,Iris-versicolor
'\'(2.72-2.96]\'',5.7,4.1,1.3,Iris-versicolor
'\'(3.2-3.44]\'',6.3,6,2.5,Iris-virginica
'\'(2.48-2.72]\'',5.8,5.1,1.9,Iris-virginica
'\'(2.96-3.2]\'',7.1,5.9,2.1,Iris-virginica
'\'(2.72-2.96]\'',6.3,5.6,1.8,Iris-virginica
'\'(2.96-3.2]\'',6.5,5.8,2.2,Iris-virginica
'\'(2.96-3.2]\'',7.6,6.6,2.1,Iris-virginica
'\'(2.48-2.72]\'',4.9,4.5,1.7,Iris-virginica
'\'(2.72-2.96]\'',7.3,6.3,1.8,Iris-virginica
'\'(2.48-2.72]\'',6.7,5.8,1.8,Iris-virginica
'\'(3.44-3.68]\'',7.2,6.1,2.5,Iris-virginica
'\'(2.96-3.2]\'',6.5,5.1,2,Iris-virginica
'\'(2.48-2.72]\'',6.4,5.3,1.9,Iris-virginica
'\'(2.96-3.2]\'',6.8,5.5,2.1,Iris-virginica
'\'(2.48-2.72]\'',5.7,5,2,Iris-virginica
'\'(2.72-2.96]\'',5.8,5.1,2.4,Iris-virginica
'\'(2.96-3.2]\'',6.4,5.3,2.3,Iris-virginica
'\'(2.96-3.2]\'',6.5,5.5,1.8,Iris-virginica
'\'(3.68-3.92]\'',7.7,6.7,2.2,Iris-virginica
'\'(2.48-2.72]\'',7.7,6.9,2.3,Iris-virginica
'\'(-inf-2.24]\'',6,5,1.5,Iris-virginica
'\'(2.96-3.2]\'',6.9,5.7,2.3,Iris-virginica
'\'(2.72-2.96]\'',5.6,4.9,2,Iris-virginica
'\'(2.72-2.96]\'',7.7,6.7,2,Iris-virginica
'\'(2.48-2.72]\'',6.3,4.9,1.8,Iris-virginica
'\'(3.2-3.44]\'',6.7,5.7,2.1,Iris-virginica
'\'(2.96-3.2]\'',7.2,6,1.8,Iris-virginica
'\'(2.72-2.96]\'',6.2,4.8,1.8,Iris-virginica
'\'(2.96-3.2]\'',6.1,4.9,1.8,Iris-virginica
'\'(2.72-2.96]\'',6.4,5.6,2.1,Iris-virginica
'\'(2.96-3.2]\'',7.2,5.8,1.6,Iris-virginica
'\'(2.72-2.96]\'',7.4,6.1,1.9,Iris-virginica
'\'(3.68-3.92]\'',7.9,6.4,2,Iris-virginica
'\'(2.72-2.96]\'',6.4,5.6,2.2,Iris-virginica
'\'(2.72-2.96]\'',6.3,5.1,1.5,Iris-virginica
'\'(2.48-2.72]\'',6.1,5.6,1.4,Iris-virginica
'\'(2.96-3.2]\'',7.7,6.1,2.3,Iris-virginica
'\'(3.2-3.44]\'',6.3,5.6,2.4,Iris-virginica
'\'(2.96-3.2]\'',6.4,5.5,1.8,Iris-virginica
'\'(2.96-3.2]\'',6,4.8,1.8,Iris-virginica
'\'(2.96-3.2]\'',6.9,5.4,2.1,Iris-virginica
'\'(2.96-3.2]\'',6.7,5.6,2.4,Iris-virginica
'\'(2.96-3.2]\'',6.9,5.1,2.3,Iris-virginica
'\'(2.48-2.72]\'',5.8,5.1,1.9,Iris-virginica
'\'(2.96-3.2]\'',6.8,5.9,2.3,Iris-virginica
'\'(3.2-3.44]\'',6.7,5.7,2.5,Iris-virginica
'\'(2.96-3.2]\'',6.7,5.2,2.3,Iris-virginica
'\'(2.48-2.72]\'',6.3,5,1.9,Iris-virginica
'\'(2.96-3.2]\'',6.5,5.2,2,Iris-virginica
'\'(3.2-3.44]\'',6.2,5.4,2.3,Iris-virginica
'\'(2.96-3.2]\'',5.9,5.1,1.8,Iris-virginica
