@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-filtered-0-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.55-1.25]\'','\'(3.36-3.95]\'',5,2,Iris-versicolor
'\'(1.35-1.55]\'','\'(3.95-4.54]\'',5.9,3,Iris-versicolor
'\'(0.55-1.25]\'','\'(3.95-4.54]\'',6,2.2,Iris-versicolor
'\'(1.35-1.55]\'','\'(4.54-5.13]\'',6.1,2.9,Iris-versicolor
'\'(1.25-1.35]\'','\'(3.36-3.95]\'',5.6,2.9,Iris-versicolor
'\'(1.35-1.55]\'','\'(3.95-4.54]\'',6.7,3.1,Iris-versicolor
'\'(1.35-1.55]\'','\'(3.95-4.54]\'',5.6,3,Iris-versicolor
'\'(0.55-1.25]\'','\'(3.95-4.54]\'',5.8,2.7,Iris-versicolor
'\'(1.35-1.55]\'','\'(3.95-4.54]\'',6.2,2.2,Iris-versicolor
'\'(0.55-1.25]\'','\'(3.36-3.95]\'',5.6,2.5,Iris-versicolor
'\'(1.55-1.85]\'','\'(4.54-5.13]\'',5.9,3.2,Iris-versicolor
'\'(1.25-1.35]\'','\'(3.95-4.54]\'',6.1,2.8,Iris-versicolor
'\'(1.35-1.55]\'','\'(4.54-5.13]\'',6.3,2.5,Iris-versicolor
'\'(0.55-1.25]\'','\'(4.54-5.13]\'',6.1,2.8,Iris-versicolor
'\'(1.25-1.35]\'','\'(3.95-4.54]\'',6.4,2.9,Iris-versicolor
'\'(1.35-1.55]\'','\'(3.95-4.54]\'',6.6,3,Iris-versicolor
'\'(1.35-1.55]\'','\'(4.54-5.13]\'',6.8,2.8,Iris-versicolor
'\'(1.55-1.85]\'','\'(4.54-5.13]\'',6.7,3,Iris-versicolor
'\'(1.35-1.55]\'','\'(3.95-4.54]\'',6,2.9,Iris-versicolor
'\'(0.55-1.25]\'','\'(3.36-3.95]\'',5.7,2.6,Iris-versicolor
'\'(0.55-1.25]\'','\'(3.36-3.95]\'',5.5,2.4,Iris-versicolor
'\'(0.55-1.25]\'','\'(3.36-3.95]\'',5.5,2.4,Iris-versicolor
'\'(0.55-1.25]\'','\'(3.36-3.95]\'',5.8,2.7,Iris-versicolor
'\'(1.55-1.85]\'','\'(4.54-5.13]\'',6,2.7,Iris-versicolor
'\'(1.35-1.55]\'','\'(3.95-4.54]\'',5.4,3,Iris-versicolor
'\'(1.55-1.85]\'','\'(3.95-4.54]\'',6,3.4,Iris-versicolor
'\'(1.35-1.55]\'','\'(4.54-5.13]\'',6.7,3.1,Iris-versicolor
'\'(1.25-1.35]\'','\'(3.95-4.54]\'',6.3,2.3,Iris-versicolor
'\'(1.25-1.35]\'','\'(3.95-4.54]\'',5.6,3,Iris-versicolor
'\'(1.25-1.35]\'','\'(3.95-4.54]\'',5.5,2.5,Iris-versicolor
'\'(0.55-1.25]\'','\'(3.95-4.54]\'',5.5,2.6,Iris-versicolor
'\'(1.35-1.55]\'','\'(4.54-5.13]\'',6.1,3,Iris-versicolor
'\'(0.55-1.25]\'','\'(3.95-4.54]\'',5.8,2.6,Iris-versicolor
'\'(0.55-1.25]\'','\'(2.77-3.36]\'',5,2.3,Iris-versicolor
'\'(1.25-1.35]\'','\'(3.95-4.54]\'',5.6,2.7,Iris-versicolor
'\'(0.55-1.25]\'','\'(3.95-4.54]\'',5.7,3,Iris-versicolor
'\'(1.25-1.35]\'','\'(3.95-4.54]\'',5.7,2.9,Iris-versicolor
'\'(1.25-1.35]\'','\'(3.95-4.54]\'',6.2,2.9,Iris-versicolor
'\'(0.55-1.25]\'','\'(2.77-3.36]\'',5.1,2.5,Iris-versicolor
'\'(1.25-1.35]\'','\'(3.95-4.54]\'',5.7,2.8,Iris-versicolor
'\'(2.25-inf)\'','\'(5.72-6.31]\'',6.3,3.3,Iris-virginica
'\'(1.85-2.05]\'','\'(4.54-5.13]\'',5.8,2.7,Iris-virginica
'\'(2.05-2.25]\'','\'(5.72-6.31]\'',7.1,3,Iris-virginica
'\'(1.55-1.85]\'','\'(5.13-5.72]\'',6.3,2.9,Iris-virginica
'\'(2.05-2.25]\'','\'(5.72-6.31]\'',6.5,3,Iris-virginica
'\'(2.05-2.25]\'','\'(6.31-inf)\'',7.6,3,Iris-virginica
'\'(1.55-1.85]\'','\'(3.95-4.54]\'',4.9,2.5,Iris-virginica
'\'(1.55-1.85]\'','\'(5.72-6.31]\'',7.3,2.9,Iris-virginica
'\'(1.55-1.85]\'','\'(5.72-6.31]\'',6.7,2.5,Iris-virginica
'\'(2.25-inf)\'','\'(5.72-6.31]\'',7.2,3.6,Iris-virginica
'\'(1.85-2.05]\'','\'(4.54-5.13]\'',6.5,3.2,Iris-virginica
'\'(1.85-2.05]\'','\'(5.13-5.72]\'',6.4,2.7,Iris-virginica
'\'(2.05-2.25]\'','\'(5.13-5.72]\'',6.8,3,Iris-virginica
'\'(1.85-2.05]\'','\'(4.54-5.13]\'',5.7,2.5,Iris-virginica
'\'(2.25-inf)\'','\'(4.54-5.13]\'',5.8,2.8,Iris-virginica
'\'(2.25-inf)\'','\'(5.13-5.72]\'',6.4,3.2,Iris-virginica
'\'(1.55-1.85]\'','\'(5.13-5.72]\'',6.5,3,Iris-virginica
'\'(2.05-2.25]\'','\'(6.31-inf)\'',7.7,3.8,Iris-virginica
'\'(2.25-inf)\'','\'(6.31-inf)\'',7.7,2.6,Iris-virginica
'\'(1.35-1.55]\'','\'(4.54-5.13]\'',6,2.2,Iris-virginica
'\'(2.25-inf)\'','\'(5.13-5.72]\'',6.9,3.2,Iris-virginica
'\'(1.85-2.05]\'','\'(4.54-5.13]\'',5.6,2.8,Iris-virginica
'\'(1.85-2.05]\'','\'(6.31-inf)\'',7.7,2.8,Iris-virginica
'\'(1.55-1.85]\'','\'(4.54-5.13]\'',6.3,2.7,Iris-virginica
'\'(2.05-2.25]\'','\'(5.13-5.72]\'',6.7,3.3,Iris-virginica
'\'(1.55-1.85]\'','\'(5.72-6.31]\'',7.2,3.2,Iris-virginica
'\'(1.55-1.85]\'','\'(4.54-5.13]\'',6.2,2.8,Iris-virginica
'\'(1.55-1.85]\'','\'(4.54-5.13]\'',6.1,3,Iris-virginica
'\'(2.05-2.25]\'','\'(5.13-5.72]\'',6.4,2.8,Iris-virginica
'\'(1.55-1.85]\'','\'(5.72-6.31]\'',7.2,3,Iris-virginica
'\'(1.85-2.05]\'','\'(5.72-6.31]\'',7.4,2.8,Iris-virginica
'\'(1.85-2.05]\'','\'(6.31-inf)\'',7.9,3.8,Iris-virginica
'\'(2.05-2.25]\'','\'(5.13-5.72]\'',6.4,2.8,Iris-virginica
'\'(1.35-1.55]\'','\'(4.54-5.13]\'',6.3,2.8,Iris-virginica
'\'(1.35-1.55]\'','\'(5.13-5.72]\'',6.1,2.6,Iris-virginica
'\'(2.25-inf)\'','\'(5.72-6.31]\'',7.7,3,Iris-virginica
'\'(2.25-inf)\'','\'(5.13-5.72]\'',6.3,3.4,Iris-virginica
'\'(1.55-1.85]\'','\'(5.13-5.72]\'',6.4,3.1,Iris-virginica
'\'(1.55-1.85]\'','\'(4.54-5.13]\'',6,3,Iris-virginica
'\'(2.05-2.25]\'','\'(5.13-5.72]\'',6.9,3.1,Iris-virginica
'\'(2.25-inf)\'','\'(5.13-5.72]\'',6.7,3.1,Iris-virginica
'\'(2.25-inf)\'','\'(4.54-5.13]\'',6.9,3.1,Iris-virginica
'\'(1.85-2.05]\'','\'(4.54-5.13]\'',5.8,2.7,Iris-virginica
'\'(2.25-inf)\'','\'(5.72-6.31]\'',6.8,3.2,Iris-virginica
'\'(2.25-inf)\'','\'(5.13-5.72]\'',6.7,3.3,Iris-virginica
'\'(2.25-inf)\'','\'(5.13-5.72]\'',6.7,3,Iris-virginica
'\'(1.85-2.05]\'','\'(4.54-5.13]\'',6.3,2.5,Iris-virginica
'\'(1.85-2.05]\'','\'(5.13-5.72]\'',6.5,3,Iris-virginica
'\'(2.25-inf)\'','\'(5.13-5.72]\'',6.2,3.4,Iris-virginica
'\'(1.55-1.85]\'','\'(4.54-5.13]\'',5.9,3,Iris-virginica
