@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(2.02-2.26]\'',-0.129876,7.6,6.6,Iris-virginica
'\'(1.54-1.78]\'',-1.281748,4.9,4.5,Iris-virginica
'\'(1.78-2.02]\'',-0.36025,7.3,6.3,Iris-virginica
'\'(1.78-2.02]\'',-1.281748,6.7,5.8,Iris-virginica
'\'(2.26-inf)\'',1.252371,7.2,6.1,Iris-virginica
'\'(1.78-2.02]\'',0.330873,6.5,5.1,Iris-virginica
'\'(1.78-2.02]\'',-0.820999,6.4,5.3,Iris-virginica
'\'(2.02-2.26]\'',-0.129876,6.8,5.5,Iris-virginica
'\'(1.78-2.02]\'',-1.281748,5.7,5,Iris-virginica
'\'(2.26-inf)\'',-0.590624,5.8,5.1,Iris-virginica
'\'(2.26-inf)\'',0.330873,6.4,5.3,Iris-virginica
'\'(1.78-2.02]\'',-0.129876,6.5,5.5,Iris-virginica
'\'(2.02-2.26]\'',1.71312,7.7,6.7,Iris-virginica
'\'(2.26-inf)\'',-1.051373,7.7,6.9,Iris-virginica
'\'(1.3-1.54]\'',-1.972871,6,5,Iris-virginica
'\'(2.26-inf)\'',0.330873,6.9,5.7,Iris-virginica
'\'(1.78-2.02]\'',-0.590624,5.6,4.9,Iris-virginica
'\'(1.78-2.02]\'',-0.590624,7.7,6.7,Iris-virginica
'\'(1.78-2.02]\'',-0.820999,6.3,4.9,Iris-virginica
'\'(2.02-2.26]\'',0.561248,6.7,5.7,Iris-virginica
'\'(1.78-2.02]\'',0.330873,7.2,6,Iris-virginica
'\'(1.78-2.02]\'',-0.590624,6.2,4.8,Iris-virginica
'\'(1.78-2.02]\'',-0.129876,6.1,4.9,Iris-virginica
'\'(2.02-2.26]\'',-0.590624,6.4,5.6,Iris-virginica
'\'(1.54-1.78]\'',-0.129876,7.2,5.8,Iris-virginica
'\'(1.78-2.02]\'',-0.590624,7.4,6.1,Iris-virginica
'\'(1.78-2.02]\'',1.71312,7.9,6.4,Iris-virginica
'\'(2.02-2.26]\'',-0.590624,6.4,5.6,Iris-virginica
'\'(1.3-1.54]\'',-0.590624,6.3,5.1,Iris-virginica
'\'(1.3-1.54]\'',-1.051373,6.1,5.6,Iris-virginica
'\'(2.26-inf)\'',-0.129876,7.7,6.1,Iris-virginica
'\'(2.26-inf)\'',0.791622,6.3,5.6,Iris-virginica
'\'(1.78-2.02]\'',0.100499,6.4,5.5,Iris-virginica
'\'(1.78-2.02]\'',-0.129876,6,4.8,Iris-virginica
'\'(2.02-2.26]\'',0.100499,6.9,5.4,Iris-virginica
'\'(2.26-inf)\'',0.100499,6.7,5.6,Iris-virginica
'\'(2.26-inf)\'',0.100499,6.9,5.1,Iris-virginica
?,?,5.8,5.1,Iris-virginica
'\'(2.26-inf)\'',0.330873,6.8,5.9,Iris-virginica
'\'(2.26-inf)\'',0.561248,6.7,5.7,Iris-virginica
'\'(2.26-inf)\'',-0.129876,?,5.2,Iris-virginica
'\'(1.78-2.02]\'',-1.281748,?,5,Iris-virginica
'\'(1.78-2.02]\'',-0.129876,6.5,5.2,Iris-virginica
'\'(2.26-inf)\'',0.791622,?,5.4,Iris-virginica
'\'(1.78-2.02]\'',-0.129876,5.9,5.1,Iris-virginica
