@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,'\'(3.44-3.68]\'',5.2,1.5,Iris-setosa
0.041667,'\'(3.2-3.44]\'',5.2,1.4,Iris-setosa
0.041667,'\'(2.96-3.2]\'',4.7,1.6,Iris-setosa
0.041667,'\'(2.96-3.2]\'',4.8,1.6,Iris-setosa
0.125,'\'(3.2-3.44]\'',5.4,1.5,Iris-setosa
0,'\'(3.92-4.16]\'',5.2,1.5,Iris-setosa
0.041667,'\'(4.16-inf)\'',5.5,1.4,Iris-setosa
0,'\'(2.96-3.2]\'',4.9,1.5,Iris-setosa
0.041667,'\'(2.96-3.2]\'',5,1.2,Iris-setosa
0.041667,'\'(3.44-3.68]\'',5.5,1.3,Iris-setosa
0,'\'(2.96-3.2]\'',4.9,1.5,Iris-setosa
0.041667,'\'(2.96-3.2]\'',4.4,1.3,Iris-setosa
0.041667,'\'(3.2-3.44]\'',5.1,1.5,Iris-setosa
0.083333,'\'(3.44-3.68]\'',5,1.3,Iris-setosa
0.083333,'\'(2.24-2.48]\'',4.5,1.3,Iris-setosa
0.041667,'\'(2.96-3.2]\'',4.4,1.3,Iris-setosa
0.208333,'\'(3.44-3.68]\'',5,1.6,Iris-setosa
0.125,'\'(3.68-3.92]\'',5.1,1.9,Iris-setosa
0.083333,'\'(2.96-3.2]\'',4.8,1.4,Iris-setosa
0.041667,'\'(3.68-3.92]\'',5.1,1.6,Iris-setosa
0.041667,'\'(2.96-3.2]\'',4.6,1.4,Iris-setosa
0.041667,'\'(3.68-3.92]\'',5.3,1.5,Iris-setosa
0.041667,'\'(3.2-3.44]\'',5,1.4,Iris-setosa
0.541667,'\'(2.96-3.2]\'',7,4.7,Iris-versicolor
0.583333,'\'(2.96-3.2]\'',6.4,4.5,Iris-versicolor
0.583333,'\'(2.96-3.2]\'',6.9,4.9,Iris-versicolor
0.5,'\'(2.24-2.48]\'',5.5,4,Iris-versicolor
0.583333,'\'(2.72-2.96]\'',6.5,4.6,Iris-versicolor
0.5,'\'(2.72-2.96]\'',5.7,4.5,Iris-versicolor
0.625,'\'(3.2-3.44]\'',6.3,4.7,Iris-versicolor
0.375,'\'(2.24-2.48]\'',4.9,3.3,Iris-versicolor
0.5,'\'(2.72-2.96]\'',6.6,4.6,Iris-versicolor
0.541667,'\'(2.48-2.72]\'',5.2,3.9,Iris-versicolor
0.375,'\'(-inf-2.24]\'',5,3.5,Iris-versicolor
0.583333,'\'(2.96-3.2]\'',5.9,4.2,Iris-versicolor
0.375,'\'(-inf-2.24]\'',6,4,Iris-versicolor
0.541667,'\'(2.72-2.96]\'',6.1,4.7,Iris-versicolor
0.5,'\'(2.72-2.96]\'',5.6,3.6,Iris-versicolor
0.541667,'\'(2.96-3.2]\'',6.7,4.4,Iris-versicolor
0.583333,'\'(2.96-3.2]\'',5.6,4.5,Iris-versicolor
0.375,'\'(2.48-2.72]\'',5.8,4.1,Iris-versicolor
0.583333,'\'(-inf-2.24]\'',6.2,4.5,Iris-versicolor
0.416667,'\'(2.48-2.72]\'',5.6,3.9,Iris-versicolor
0.708333,'\'(2.96-3.2]\'',5.9,4.8,Iris-versicolor
0.5,'\'(2.72-2.96]\'',6.1,4,Iris-versicolor
0.583333,'\'(2.48-2.72]\'',6.3,4.9,Iris-versicolor
0.458333,'\'(2.72-2.96]\'',6.1,4.7,Iris-versicolor
0.5,'\'(2.72-2.96]\'',6.4,4.3,Iris-versicolor
0.541667,'\'(2.96-3.2]\'',6.6,4.4,Iris-versicolor
0.541667,'\'(2.72-2.96]\'',6.8,4.8,Iris-versicolor
0.666667,'\'(2.96-3.2]\'',6.7,5,Iris-versicolor
0.583333,'\'(2.72-2.96]\'',6,4.5,Iris-versicolor
0.375,'\'(2.48-2.72]\'',5.7,3.5,Iris-versicolor
0.416667,'\'(2.24-2.48]\'',5.5,3.8,Iris-versicolor
0.375,'\'(2.24-2.48]\'',5.5,3.7,Iris-versicolor
0.458333,'\'(2.48-2.72]\'',5.8,3.9,Iris-versicolor
0.625,'\'(2.48-2.72]\'',6,5.1,Iris-versicolor
0.583333,'\'(2.96-3.2]\'',5.4,4.5,Iris-versicolor
0.625,'\'(3.2-3.44]\'',6,4.5,Iris-versicolor
0.583333,'\'(2.96-3.2]\'',6.7,4.7,Iris-versicolor
0.5,'\'(2.24-2.48]\'',6.3,4.4,Iris-versicolor
0.5,'\'(2.96-3.2]\'',5.6,4.1,Iris-versicolor
0.5,'\'(2.48-2.72]\'',5.5,4,Iris-versicolor
0.458333,'\'(2.48-2.72]\'',5.5,4.4,Iris-versicolor
0.541667,'\'(2.96-3.2]\'',6.1,4.6,Iris-versicolor
0.458333,'\'(2.48-2.72]\'',5.8,4,Iris-versicolor
0.375,'\'(2.24-2.48]\'',5,3.3,Iris-versicolor
0.5,'\'(2.48-2.72]\'',5.6,4.2,Iris-versicolor
0.458333,'\'(2.96-3.2]\'',5.7,4.2,Iris-versicolor
0.5,'\'(2.72-2.96]\'',5.7,4.2,Iris-versicolor
0.5,'\'(2.72-2.96]\'',6.2,4.3,Iris-versicolor
0.416667,'\'(2.48-2.72]\'',5.1,3,Iris-versicolor
0.5,'\'(2.72-2.96]\'',5.7,4.1,Iris-versicolor
1,'\'(3.2-3.44]\'',6.3,6,Iris-virginica
0.75,'\'(2.48-2.72]\'',5.8,5.1,Iris-virginica
0.833333,'\'(2.96-3.2]\'',7.1,5.9,Iris-virginica
0.708333,'\'(2.72-2.96]\'',6.3,5.6,Iris-virginica
0.875,'\'(2.96-3.2]\'',6.5,5.8,Iris-virginica
0.833333,'\'(2.96-3.2]\'',7.6,6.6,Iris-virginica
0.666667,'\'(2.48-2.72]\'',4.9,4.5,Iris-virginica
0.708333,'\'(2.72-2.96]\'',7.3,6.3,Iris-virginica
0.708333,'\'(2.48-2.72]\'',6.7,5.8,Iris-virginica
1,'\'(3.44-3.68]\'',7.2,6.1,Iris-virginica
0.791667,'\'(2.96-3.2]\'',6.5,5.1,Iris-virginica
0.75,'\'(2.48-2.72]\'',6.4,5.3,Iris-virginica
0.833333,'\'(2.96-3.2]\'',6.8,5.5,Iris-virginica
0.791667,'\'(2.48-2.72]\'',5.7,5,Iris-virginica
0.958333,'\'(2.72-2.96]\'',5.8,5.1,Iris-virginica
0.916667,'\'(2.96-3.2]\'',6.4,5.3,Iris-virginica
0.708333,'\'(2.96-3.2]\'',6.5,5.5,Iris-virginica
0.875,'\'(3.68-3.92]\'',7.7,6.7,Iris-virginica
0.916667,'\'(2.48-2.72]\'',7.7,6.9,Iris-virginica
0.583333,'\'(-inf-2.24]\'',6,5,Iris-virginica
0.916667,'\'(2.96-3.2]\'',6.9,5.7,Iris-virginica
0.791667,'\'(2.72-2.96]\'',5.6,4.9,Iris-virginica
0.791667,'\'(2.72-2.96]\'',7.7,6.7,Iris-virginica
0.708333,'\'(2.48-2.72]\'',6.3,4.9,Iris-virginica
0.833333,'\'(3.2-3.44]\'',6.7,5.7,Iris-virginica
0.708333,'\'(2.96-3.2]\'',7.2,6,Iris-virginica
0.708333,'\'(2.72-2.96]\'',6.2,4.8,Iris-virginica
0.708333,'\'(2.96-3.2]\'',6.1,4.9,Iris-virginica
0.833333,'\'(2.72-2.96]\'',6.4,5.6,Iris-virginica
0.625,'\'(2.96-3.2]\'',7.2,5.8,Iris-virginica
0.75,'\'(2.72-2.96]\'',7.4,6.1,Iris-virginica
0.791667,'\'(3.68-3.92]\'',7.9,6.4,Iris-virginica
0.875,'\'(2.72-2.96]\'',6.4,5.6,Iris-virginica
0.583333,'\'(2.72-2.96]\'',6.3,5.1,Iris-virginica
0.541667,'\'(2.48-2.72]\'',6.1,5.6,Iris-virginica
0.916667,'\'(2.96-3.2]\'',7.7,6.1,Iris-virginica
0.958333,'\'(3.2-3.44]\'',6.3,5.6,Iris-virginica
0.708333,'\'(2.96-3.2]\'',6.4,5.5,Iris-virginica
0.708333,'\'(2.96-3.2]\'',6,4.8,Iris-virginica
0.833333,'\'(2.96-3.2]\'',6.9,5.4,Iris-virginica
0.958333,'\'(2.96-3.2]\'',6.7,5.6,Iris-virginica
0.916667,'\'(2.96-3.2]\'',6.9,5.1,Iris-virginica
0.75,'\'(2.48-2.72]\'',5.8,5.1,Iris-virginica
0.916667,'\'(2.96-3.2]\'',6.8,5.9,Iris-virginica
1,'\'(3.2-3.44]\'',6.7,5.7,Iris-virginica
0.916667,'\'(2.96-3.2]\'',6.7,5.2,Iris-virginica
0.75,'\'(2.48-2.72]\'',6.3,5,Iris-virginica
0.791667,'\'(2.96-3.2]\'',6.5,5.2,Iris-virginica
0.916667,'\'(3.2-3.44]\'',6.2,5.4,Iris-virginica
0.708333,'\'(2.96-3.2]\'',5.9,5.1,Iris-virginica
