@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.82-1.06]\'','\'(3.36-3.95]\'',5.7,2.6,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.36-3.95]\'',5.5,2.4,Iris-versicolor
'\'(0.82-1.06]\'','\'(3.36-3.95]\'',5.5,2.4,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.36-3.95]\'',5.8,2.7,Iris-versicolor
'\'(1.54-1.78]\'','\'(4.54-5.13]\'',6,2.7,Iris-versicolor
'\'(1.3-1.54]\'','\'(3.95-4.54]\'',5.4,3,Iris-versicolor
'\'(1.54-1.78]\'','\'(3.95-4.54]\'',6,3.4,Iris-versicolor
'\'(1.3-1.54]\'','\'(4.54-5.13]\'',6.7,3.1,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.95-4.54]\'',6.3,2.3,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.95-4.54]\'',5.6,3,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.95-4.54]\'',5.5,2.5,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.95-4.54]\'',5.5,2.6,Iris-versicolor
'\'(1.3-1.54]\'','\'(4.54-5.13]\'',6.1,3,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.95-4.54]\'',5.8,2.6,Iris-versicolor
'\'(0.82-1.06]\'','\'(2.77-3.36]\'',5,2.3,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.95-4.54]\'',5.6,2.7,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.95-4.54]\'',5.7,3,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.95-4.54]\'',5.7,2.9,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.95-4.54]\'',6.2,2.9,Iris-versicolor
'\'(1.06-1.3]\'','\'(2.77-3.36]\'',5.1,2.5,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.95-4.54]\'',5.7,2.8,Iris-versicolor
'\'(2.26-inf)\'','\'(5.72-6.31]\'',6.3,3.3,Iris-virginica
'\'(1.78-2.02]\'','\'(4.54-5.13]\'',5.8,2.7,Iris-virginica
'\'(2.02-2.26]\'','\'(5.72-6.31]\'',7.1,3,Iris-virginica
'\'(1.78-2.02]\'','\'(5.13-5.72]\'',6.3,2.9,Iris-virginica
'\'(2.02-2.26]\'','\'(5.72-6.31]\'',6.5,3,Iris-virginica
'\'(2.02-2.26]\'','\'(6.31-inf)\'',7.6,3,Iris-virginica
'\'(1.54-1.78]\'','\'(3.95-4.54]\'',4.9,2.5,Iris-virginica
'\'(1.78-2.02]\'','\'(5.72-6.31]\'',7.3,2.9,Iris-virginica
'\'(1.78-2.02]\'','\'(5.72-6.31]\'',6.7,2.5,Iris-virginica
'\'(2.26-inf)\'','\'(5.72-6.31]\'',7.2,3.6,Iris-virginica
'\'(1.78-2.02]\'','\'(4.54-5.13]\'',6.5,3.2,Iris-virginica
'\'(1.78-2.02]\'','\'(5.13-5.72]\'',6.4,2.7,Iris-virginica
'\'(2.02-2.26]\'','\'(5.13-5.72]\'',6.8,3,Iris-virginica
'\'(1.78-2.02]\'','\'(4.54-5.13]\'',5.7,2.5,Iris-virginica
'\'(2.26-inf)\'','\'(4.54-5.13]\'',5.8,2.8,Iris-virginica
'\'(2.26-inf)\'','\'(5.13-5.72]\'',6.4,3.2,Iris-virginica
'\'(1.78-2.02]\'','\'(5.13-5.72]\'',6.5,3,Iris-virginica
'\'(2.02-2.26]\'','\'(6.31-inf)\'',7.7,3.8,Iris-virginica
'\'(2.26-inf)\'','\'(6.31-inf)\'',7.7,2.6,Iris-virginica
'\'(1.3-1.54]\'','\'(4.54-5.13]\'',6,2.2,Iris-virginica
'\'(2.26-inf)\'','\'(5.13-5.72]\'',6.9,3.2,Iris-virginica
'\'(1.78-2.02]\'','\'(4.54-5.13]\'',5.6,2.8,Iris-virginica
'\'(1.78-2.02]\'','\'(6.31-inf)\'',7.7,2.8,Iris-virginica
'\'(1.78-2.02]\'','\'(4.54-5.13]\'',6.3,2.7,Iris-virginica
'\'(2.02-2.26]\'','\'(5.13-5.72]\'',6.7,3.3,Iris-virginica
'\'(1.78-2.02]\'','\'(5.72-6.31]\'',7.2,3.2,Iris-virginica
'\'(1.78-2.02]\'','\'(4.54-5.13]\'',6.2,2.8,Iris-virginica
'\'(1.78-2.02]\'','\'(4.54-5.13]\'',6.1,3,Iris-virginica
'\'(2.02-2.26]\'','\'(5.13-5.72]\'',6.4,2.8,Iris-virginica
'\'(1.54-1.78]\'','\'(5.72-6.31]\'',7.2,3,Iris-virginica
'\'(1.78-2.02]\'','\'(5.72-6.31]\'',7.4,2.8,Iris-virginica
'\'(1.78-2.02]\'','\'(6.31-inf)\'',7.9,3.8,Iris-virginica
'\'(2.02-2.26]\'','\'(5.13-5.72]\'',6.4,2.8,Iris-virginica
'\'(1.3-1.54]\'','\'(4.54-5.13]\'',6.3,2.8,Iris-virginica
'\'(1.3-1.54]\'','\'(5.13-5.72]\'',6.1,2.6,Iris-virginica
'\'(2.26-inf)\'','\'(5.72-6.31]\'',7.7,3,Iris-virginica
'\'(2.26-inf)\'','\'(5.13-5.72]\'',6.3,3.4,Iris-virginica
'\'(1.78-2.02]\'','\'(5.13-5.72]\'',6.4,3.1,Iris-virginica
'\'(1.78-2.02]\'','\'(4.54-5.13]\'',6,3,Iris-virginica
'\'(2.02-2.26]\'','\'(5.13-5.72]\'',6.9,3.1,Iris-virginica
'\'(2.26-inf)\'','\'(5.13-5.72]\'',6.7,3.1,Iris-virginica
'\'(2.26-inf)\'','\'(4.54-5.13]\'',6.9,3.1,Iris-virginica
'\'(1.78-2.02]\'','\'(4.54-5.13]\'',5.8,2.7,Iris-virginica
'\'(2.26-inf)\'','\'(5.72-6.31]\'',6.8,3.2,Iris-virginica
'\'(2.26-inf)\'','\'(5.13-5.72]\'',6.7,3.3,Iris-virginica
'\'(2.26-inf)\'','\'(5.13-5.72]\'',6.7,3,Iris-virginica
'\'(1.78-2.02]\'','\'(4.54-5.13]\'',6.3,2.5,Iris-virginica
'\'(1.78-2.02]\'','\'(5.13-5.72]\'',6.5,3,Iris-virginica
'\'(2.26-inf)\'','\'(5.13-5.72]\'',6.2,3.4,Iris-virginica
'\'(1.78-2.02]\'','\'(4.54-5.13]\'',5.9,3,Iris-virginica
