@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf-2.55]\'','\'(2.55-2.75]\'','\'(2.75-2.85]\'','\'(2.85-2.95]\'','\'(2.95-3.05]\'','\'(3.05-3.15]\'','\'(3.15-3.25]\'','\'(3.25-3.45]\'','\'(3.45-3.75]\'','\'(3.75-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.132781,'\'(2.95-3.05]\'',5.6,4.1,Iris-versicolor
0.132781,'\'(-inf-2.55]\'',5.5,4,Iris-versicolor
0.001747,'\'(2.55-2.75]\'',5.5,4.4,Iris-versicolor
0.263815,'\'(2.95-3.05]\'',6.1,4.6,Iris-versicolor
0.001747,'\'(2.55-2.75]\'',5.8,4,Iris-versicolor
-0.260321,'\'(-inf-2.55]\'',5,3.3,Iris-versicolor
0.132781,'\'(2.55-2.75]\'',5.6,4.2,Iris-versicolor
0.001747,'\'(2.95-3.05]\'',5.7,4.2,Iris-versicolor
0.132781,'\'(2.85-2.95]\'',5.7,4.2,Iris-versicolor
0.132781,'\'(2.85-2.95]\'',6.2,4.3,Iris-versicolor
-0.129287,'\'(-inf-2.55]\'',5.1,3,Iris-versicolor
0.132781,'\'(2.75-2.85]\'',5.7,4.1,Iris-versicolor
1.705189,'\'(3.25-3.45]\'',6.3,6,Iris-virginica
0.918985,'\'(2.55-2.75]\'',5.8,5.1,Iris-virginica
1.181053,'\'(2.95-3.05]\'',7.1,5.9,Iris-virginica
0.787951,'\'(2.85-2.95]\'',6.3,5.6,Iris-virginica
1.312087,'\'(2.95-3.05]\'',6.5,5.8,Iris-virginica
1.181053,'\'(2.95-3.05]\'',7.6,6.6,Iris-virginica
0.656917,'\'(-inf-2.55]\'',4.9,4.5,Iris-virginica
0.787951,'\'(2.85-2.95]\'',7.3,6.3,Iris-virginica
0.787951,'\'(-inf-2.55]\'',6.7,5.8,Iris-virginica
1.705189,'\'(3.45-3.75]\'',7.2,6.1,Iris-virginica
1.050019,'\'(3.15-3.25]\'',6.5,5.1,Iris-virginica
0.918985,'\'(2.55-2.75]\'',6.4,5.3,Iris-virginica
1.181053,'\'(2.95-3.05]\'',6.8,5.5,Iris-virginica
1.050019,'\'(-inf-2.55]\'',5.7,5,Iris-virginica
1.574155,'\'(2.75-2.85]\'',5.8,5.1,Iris-virginica
1.443121,'\'(3.15-3.25]\'',6.4,5.3,Iris-virginica
0.787951,'\'(2.95-3.05]\'',6.5,5.5,Iris-virginica
1.312087,'\'(3.75-inf)\'',7.7,6.7,Iris-virginica
1.443121,'\'(2.55-2.75]\'',7.7,6.9,Iris-virginica
0.394849,'\'(-inf-2.55]\'',6,5,Iris-virginica
1.443121,'\'(3.15-3.25]\'',6.9,5.7,Iris-virginica
1.050019,'\'(2.75-2.85]\'',5.6,4.9,Iris-virginica
1.050019,'\'(2.75-2.85]\'',7.7,6.7,Iris-virginica
0.787951,'\'(2.55-2.75]\'',6.3,4.9,Iris-virginica
1.181053,'\'(3.25-3.45]\'',6.7,5.7,Iris-virginica
0.787951,'\'(3.15-3.25]\'',7.2,6,Iris-virginica
0.787951,'\'(2.75-2.85]\'',6.2,4.8,Iris-virginica
0.787951,'\'(2.95-3.05]\'',6.1,4.9,Iris-virginica
1.181053,'\'(2.75-2.85]\'',6.4,5.6,Iris-virginica
0.525883,'\'(2.95-3.05]\'',7.2,5.8,Iris-virginica
0.918985,'\'(2.75-2.85]\'',7.4,6.1,Iris-virginica
1.050019,'\'(3.75-inf)\'',7.9,6.4,Iris-virginica
1.312087,'\'(2.75-2.85]\'',6.4,5.6,Iris-virginica
0.394849,'\'(2.75-2.85]\'',6.3,5.1,Iris-virginica
0.263815,'\'(2.55-2.75]\'',6.1,5.6,Iris-virginica
1.443121,'\'(2.95-3.05]\'',7.7,6.1,Iris-virginica
1.574155,'\'(3.25-3.45]\'',6.3,5.6,Iris-virginica
0.787951,'\'(3.05-3.15]\'',6.4,5.5,Iris-virginica
0.787951,'\'(2.95-3.05]\'',6,4.8,Iris-virginica
1.181053,'\'(3.05-3.15]\'',6.9,5.4,Iris-virginica
1.574155,'\'(3.05-3.15]\'',6.7,5.6,Iris-virginica
1.443121,'\'(3.05-3.15]\'',6.9,5.1,Iris-virginica
0.918985,'\'(2.55-2.75]\'',5.8,5.1,Iris-virginica
1.443121,'\'(3.15-3.25]\'',6.8,5.9,Iris-virginica
1.705189,'\'(3.25-3.45]\'',6.7,5.7,Iris-virginica
1.443121,'\'(2.95-3.05]\'',6.7,5.2,Iris-virginica
0.918985,'\'(-inf-2.55]\'',6.3,5,Iris-virginica
1.050019,'\'(2.95-3.05]\'',6.5,5.2,Iris-virginica
1.443121,'\'(3.25-3.45]\'',6.2,5.4,Iris-virginica
0.787951,'\'(2.95-3.05]\'',5.9,5.1,Iris-virginica
