@relation iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1

@attribute 'filtered-0-filtered-0-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
1.181053,6.7,3.3,5.7,Iris-virginica
0.787951,7.2,3.2,6,Iris-virginica
0.787951,6.2,2.8,4.8,Iris-virginica
0.787951,6.1,3,4.9,Iris-virginica
1.181053,6.4,2.8,5.6,Iris-virginica
0.525883,7.2,3,5.8,Iris-virginica
0.918985,7.4,2.8,6.1,Iris-virginica
1.050019,7.9,3.8,6.4,Iris-virginica
1.312087,6.4,2.8,5.6,Iris-virginica
0.394849,6.3,2.8,5.1,Iris-virginica
0.263815,6.1,2.6,5.6,Iris-virginica
1.443121,7.7,3,6.1,Iris-virginica
1.574155,6.3,3.4,5.6,Iris-virginica
0.787951,6.4,3.1,5.5,Iris-virginica
0.787951,6,3,4.8,Iris-virginica
1.181053,6.9,3.1,5.4,Iris-virginica
1.574155,6.7,3.1,5.6,Iris-virginica
1.443121,6.9,3.1,5.1,Iris-virginica
0.918985,5.8,2.7,5.1,Iris-virginica
1.443121,6.8,3.2,5.9,Iris-virginica
1.705189,6.7,3.3,5.7,Iris-virginica
1.443121,6.7,3,5.2,Iris-virginica
0.918985,6.3,2.5,5,Iris-virginica
1.050019,6.5,3,5.2,Iris-virginica
1.443121,6.2,3.4,5.4,Iris-virginica
0.787951,5.9,3,5.1,Iris-virginica
