@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-filtered-0-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.084746,'\'(5.02-5.38]\'',3.5,0.2,Iris-setosa
0.067797,'\'(5.02-5.38]\'',3.4,0.2,Iris-setosa
0.101695,'\'(4.66-5.02]\'',3.2,0.2,Iris-setosa
0.101695,'\'(4.66-5.02]\'',3.1,0.2,Iris-setosa
0.084746,'\'(5.38-5.74]\'',3.4,0.4,Iris-setosa
0.084746,'\'(5.02-5.38]\'',4.1,0.1,Iris-setosa
0.067797,'\'(5.38-5.74]\'',4.2,0.2,Iris-setosa
0.084746,'\'(4.66-5.02]\'',3.1,0.1,Iris-setosa
0.033898,'\'(4.66-5.02]\'',3.2,0.2,Iris-setosa
0.050847,'\'(5.38-5.74]\'',3.5,0.2,Iris-setosa
0.084746,'\'(4.66-5.02]\'',3.1,0.1,Iris-setosa
0.050847,'\'(-inf-4.66]\'',3,0.2,Iris-setosa
0.084746,'\'(5.02-5.38]\'',3.4,0.2,Iris-setosa
0.050847,'\'(4.66-5.02]\'',3.5,0.3,Iris-setosa
0.050847,'\'(-inf-4.66]\'',2.3,0.3,Iris-setosa
0.050847,'\'(-inf-4.66]\'',3.2,0.2,Iris-setosa
0.101695,'\'(4.66-5.02]\'',3.5,0.6,Iris-setosa
0.152542,'\'(5.02-5.38]\'',3.8,0.4,Iris-setosa
0.067797,'\'(4.66-5.02]\'',3,0.3,Iris-setosa
0.101695,'\'(5.02-5.38]\'',3.8,0.2,Iris-setosa
0.067797,'\'(-inf-4.66]\'',3.2,0.2,Iris-setosa
0.084746,'\'(5.02-5.38]\'',3.7,0.2,Iris-setosa
0.067797,'\'(4.66-5.02]\'',3.3,0.2,Iris-setosa
0.627119,'\'(6.82-7.18]\'',3.2,1.4,Iris-versicolor
0.59322,'\'(6.1-6.46]\'',3.2,1.5,Iris-versicolor
0.661017,'\'(6.82-7.18]\'',3.1,1.5,Iris-versicolor
0.508475,'\'(5.38-5.74]\'',2.3,1.3,Iris-versicolor
0.610169,'\'(6.46-6.82]\'',2.8,1.5,Iris-versicolor
0.59322,'\'(5.38-5.74]\'',2.8,1.3,Iris-versicolor
0.627119,'\'(6.1-6.46]\'',3.3,1.6,Iris-versicolor
0.389831,'\'(4.66-5.02]\'',2.4,1,Iris-versicolor
0.610169,'\'(6.46-6.82]\'',2.9,1.3,Iris-versicolor
0.491525,'\'(5.02-5.38]\'',2.7,1.4,Iris-versicolor
0.423729,'\'(4.66-5.02]\'',2,1,Iris-versicolor
0.542373,'\'(5.74-6.1]\'',3,1.5,Iris-versicolor
0.508475,'\'(5.74-6.1]\'',2.2,1,Iris-versicolor
0.627119,'\'(5.74-6.1]\'',2.9,1.4,Iris-versicolor
0.440678,'\'(5.38-5.74]\'',2.9,1.3,Iris-versicolor
0.576271,'\'(6.46-6.82]\'',3.1,1.4,Iris-versicolor
0.59322,'\'(5.38-5.74]\'',3,1.5,Iris-versicolor
0.525424,'\'(5.74-6.1]\'',2.7,1,Iris-versicolor
0.59322,'\'(6.1-6.46]\'',2.2,1.5,Iris-versicolor
0.491525,'\'(5.38-5.74]\'',2.5,1.1,Iris-versicolor
0.644068,'\'(5.74-6.1]\'',3.2,1.8,Iris-versicolor
0.508475,'\'(5.74-6.1]\'',2.8,1.3,Iris-versicolor
0.661017,'\'(6.1-6.46]\'',2.5,1.5,Iris-versicolor
0.627119,'\'(5.74-6.1]\'',2.8,1.2,Iris-versicolor
0.559322,'\'(6.1-6.46]\'',2.9,1.3,Iris-versicolor
0.576271,'\'(6.46-6.82]\'',3,1.4,Iris-versicolor
0.644068,'\'(6.46-6.82]\'',2.8,1.4,Iris-versicolor
0.677966,'\'(6.46-6.82]\'',3,1.7,Iris-versicolor
0.59322,'\'(5.74-6.1]\'',2.9,1.5,Iris-versicolor
0.423729,'\'(5.38-5.74]\'',2.6,1,Iris-versicolor
0.474576,'\'(5.38-5.74]\'',2.4,1.1,Iris-versicolor
0.457627,'\'(5.38-5.74]\'',2.4,1,Iris-versicolor
0.491525,'\'(5.74-6.1]\'',2.7,1.2,Iris-versicolor
0.694915,'\'(5.74-6.1]\'',2.7,1.6,Iris-versicolor
0.59322,'\'(5.38-5.74]\'',3,1.5,Iris-versicolor
0.59322,'\'(5.74-6.1]\'',3.4,1.6,Iris-versicolor
0.627119,'\'(6.46-6.82]\'',3.1,1.5,Iris-versicolor
0.576271,'\'(6.1-6.46]\'',2.3,1.3,Iris-versicolor
0.525424,'\'(5.38-5.74]\'',3,1.3,Iris-versicolor
0.508475,'\'(5.38-5.74]\'',2.5,1.3,Iris-versicolor
0.576271,'\'(5.38-5.74]\'',2.6,1.2,Iris-versicolor
0.610169,'\'(5.74-6.1]\'',3,1.4,Iris-versicolor
0.508475,'\'(5.74-6.1]\'',2.6,1.2,Iris-versicolor
0.389831,'\'(4.66-5.02]\'',2.3,1,Iris-versicolor
0.542373,'\'(5.38-5.74]\'',2.7,1.3,Iris-versicolor
0.542373,'\'(5.38-5.74]\'',3,1.2,Iris-versicolor
0.542373,'\'(5.38-5.74]\'',2.9,1.3,Iris-versicolor
0.559322,'\'(6.1-6.46]\'',2.9,1.3,Iris-versicolor
0.338983,'\'(5.02-5.38]\'',2.5,1.1,Iris-versicolor
0.525424,'\'(5.38-5.74]\'',2.8,1.3,Iris-versicolor
0.847458,'\'(6.1-6.46]\'',3.3,2.5,Iris-virginica
0.694915,'\'(5.74-6.1]\'',2.7,1.9,Iris-virginica
0.830508,'\'(6.82-7.18]\'',3,2.1,Iris-virginica
0.779661,'\'(6.1-6.46]\'',2.9,1.8,Iris-virginica
0.813559,'\'(6.46-6.82]\'',3,2.2,Iris-virginica
0.949153,'\'(7.54-inf)\'',3,2.1,Iris-virginica
0.59322,'\'(4.66-5.02]\'',2.5,1.7,Iris-virginica
0.898305,'\'(7.18-7.54]\'',2.9,1.8,Iris-virginica
0.813559,'\'(6.46-6.82]\'',2.5,1.8,Iris-virginica
0.864407,'\'(7.18-7.54]\'',3.6,2.5,Iris-virginica
0.694915,'\'(6.46-6.82]\'',3.2,2,Iris-virginica
0.728814,'\'(6.1-6.46]\'',2.7,1.9,Iris-virginica
0.762712,'\'(6.46-6.82]\'',3,2.1,Iris-virginica
0.677966,'\'(5.38-5.74]\'',2.5,2,Iris-virginica
0.694915,'\'(5.74-6.1]\'',2.8,2.4,Iris-virginica
0.728814,'\'(6.1-6.46]\'',3.2,2.3,Iris-virginica
0.762712,'\'(6.46-6.82]\'',3,1.8,Iris-virginica
0.966102,'\'(7.54-inf)\'',3.8,2.2,Iris-virginica
1,'\'(7.54-inf)\'',2.6,2.3,Iris-virginica
0.677966,'\'(5.74-6.1]\'',2.2,1.5,Iris-virginica
0.79661,'\'(6.82-7.18]\'',3.2,2.3,Iris-virginica
0.661017,'\'(5.38-5.74]\'',2.8,2,Iris-virginica
0.966102,'\'(7.54-inf)\'',2.8,2,Iris-virginica
0.661017,'\'(6.1-6.46]\'',2.7,1.8,Iris-virginica
0.79661,'\'(6.46-6.82]\'',3.3,2.1,Iris-virginica
0.847458,'\'(7.18-7.54]\'',3.2,1.8,Iris-virginica
0.644068,'\'(6.1-6.46]\'',2.8,1.8,Iris-virginica
0.661017,'\'(5.74-6.1]\'',3,1.8,Iris-virginica
0.779661,'\'(6.1-6.46]\'',2.8,2.1,Iris-virginica
0.813559,'\'(7.18-7.54]\'',3,1.6,Iris-virginica
0.864407,'\'(7.18-7.54]\'',2.8,1.9,Iris-virginica
0.915254,'\'(7.54-inf)\'',3.8,2,Iris-virginica
0.779661,'\'(6.1-6.46]\'',2.8,2.2,Iris-virginica
0.694915,'\'(6.1-6.46]\'',2.8,1.5,Iris-virginica
0.779661,'\'(5.74-6.1]\'',2.6,1.4,Iris-virginica
0.864407,'\'(7.54-inf)\'',3,2.3,Iris-virginica
0.779661,'\'(6.1-6.46]\'',3.4,2.4,Iris-virginica
0.762712,'\'(6.1-6.46]\'',3.1,1.8,Iris-virginica
0.644068,'\'(5.74-6.1]\'',3,1.8,Iris-virginica
0.745763,'\'(6.82-7.18]\'',3.1,2.1,Iris-virginica
0.779661,'\'(6.46-6.82]\'',3.1,2.4,Iris-virginica
0.694915,'\'(6.82-7.18]\'',3.1,2.3,Iris-virginica
0.694915,'\'(5.74-6.1]\'',2.7,1.9,Iris-virginica
0.830508,'\'(6.46-6.82]\'',3.2,2.3,Iris-virginica
0.79661,'\'(6.46-6.82]\'',3.3,2.5,Iris-virginica
0.711864,'\'(6.46-6.82]\'',3,2.3,Iris-virginica
0.677966,'\'(6.1-6.46]\'',2.5,1.9,Iris-virginica
0.711864,'\'(6.46-6.82]\'',3,2,Iris-virginica
0.745763,'\'(6.1-6.46]\'',3.4,2.3,Iris-virginica
0.694915,'\'(5.74-6.1]\'',3,1.8,Iris-virginica
