@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-petal length in cm' {'\'(-inf-0.059322]\'','\'(0.059322-0.076271]\'','\'(0.076271-0.09322]\'','\'(0.09322-0.40678]\'','\'(0.40678-0.533898]\'','\'(0.533898-0.601695]\'','\'(0.601695-0.669492]\'','\'(0.669492-0.737288]\'','\'(0.737288-0.805085]\'','\'(0.805085-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.55]\'','\'(2.55-2.75]\'','\'(2.75-2.85]\'','\'(2.85-2.95]\'','\'(2.95-3.05]\'','\'(3.05-3.15]\'','\'(3.15-3.25]\'','\'(3.25-3.45]\'','\'(3.45-3.75]\'','\'(3.75-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.669492-0.737288]\'','\'(2.95-3.05]\'',6.7,1.7,Iris-versicolor
'\'(0.533898-0.601695]\'','\'(2.85-2.95]\'',6,1.5,Iris-versicolor
'\'(0.40678-0.533898]\'','\'(2.55-2.75]\'',5.7,1,Iris-versicolor
'\'(0.40678-0.533898]\'','\'(-inf-2.55]\'',5.5,1.1,Iris-versicolor
'\'(0.40678-0.533898]\'','\'(-inf-2.55]\'',5.5,1,Iris-versicolor
'\'(0.40678-0.533898]\'','\'(2.55-2.75]\'',5.8,1.2,Iris-versicolor
'\'(0.669492-0.737288]\'','\'(2.55-2.75]\'',6,1.6,Iris-versicolor
'\'(0.533898-0.601695]\'','\'(2.95-3.05]\'',5.4,1.5,Iris-versicolor
'\'(0.533898-0.601695]\'','\'(3.25-3.45]\'',6,1.6,Iris-versicolor
'\'(0.601695-0.669492]\'','\'(3.05-3.15]\'',6.7,1.5,Iris-versicolor
'\'(0.533898-0.601695]\'','\'(-inf-2.55]\'',6.3,1.3,Iris-versicolor
'\'(0.40678-0.533898]\'','\'(2.95-3.05]\'',5.6,1.3,Iris-versicolor
'\'(0.40678-0.533898]\'','\'(-inf-2.55]\'',5.5,1.3,Iris-versicolor
'\'(0.533898-0.601695]\'','\'(2.55-2.75]\'',5.5,1.2,Iris-versicolor
'\'(0.601695-0.669492]\'','\'(2.95-3.05]\'',6.1,1.4,Iris-versicolor
'\'(0.40678-0.533898]\'','\'(2.55-2.75]\'',5.8,1.2,Iris-versicolor
'\'(0.09322-0.40678]\'','\'(-inf-2.55]\'',5,1,Iris-versicolor
'\'(0.533898-0.601695]\'','\'(2.55-2.75]\'',5.6,1.3,Iris-versicolor
'\'(0.533898-0.601695]\'','\'(2.95-3.05]\'',5.7,1.2,Iris-versicolor
'\'(0.533898-0.601695]\'','\'(2.85-2.95]\'',5.7,1.3,Iris-versicolor
'\'(0.533898-0.601695]\'','\'(2.85-2.95]\'',6.2,1.3,Iris-versicolor
'\'(0.09322-0.40678]\'','\'(-inf-2.55]\'',5.1,1.1,Iris-versicolor
'\'(0.40678-0.533898]\'','\'(2.75-2.85]\'',5.7,1.3,Iris-versicolor
'\'(0.805085-inf)\'','\'(3.25-3.45]\'',6.3,2.5,Iris-virginica
'\'(0.669492-0.737288]\'','\'(2.55-2.75]\'',5.8,1.9,Iris-virginica
'\'(0.805085-inf)\'','\'(2.95-3.05]\'',7.1,2.1,Iris-virginica
'\'(0.737288-0.805085]\'','\'(2.85-2.95]\'',6.3,1.8,Iris-virginica
'\'(0.805085-inf)\'','\'(2.95-3.05]\'',6.5,2.2,Iris-virginica
'\'(0.805085-inf)\'','\'(2.95-3.05]\'',7.6,2.1,Iris-virginica
'\'(0.533898-0.601695]\'','\'(-inf-2.55]\'',4.9,1.7,Iris-virginica
'\'(0.805085-inf)\'','\'(2.85-2.95]\'',7.3,1.8,Iris-virginica
'\'(0.805085-inf)\'','\'(-inf-2.55]\'',6.7,1.8,Iris-virginica
'\'(0.805085-inf)\'','\'(3.45-3.75]\'',7.2,2.5,Iris-virginica
'\'(0.669492-0.737288]\'','\'(3.15-3.25]\'',6.5,2,Iris-virginica
'\'(0.669492-0.737288]\'','\'(2.55-2.75]\'',6.4,1.9,Iris-virginica
'\'(0.737288-0.805085]\'','\'(2.95-3.05]\'',6.8,2.1,Iris-virginica
'\'(0.669492-0.737288]\'','\'(-inf-2.55]\'',5.7,2,Iris-virginica
'\'(0.669492-0.737288]\'','\'(2.75-2.85]\'',5.8,2.4,Iris-virginica
'\'(0.669492-0.737288]\'','\'(3.15-3.25]\'',6.4,2.3,Iris-virginica
'\'(0.737288-0.805085]\'','\'(2.95-3.05]\'',6.5,1.8,Iris-virginica
'\'(0.805085-inf)\'','\'(3.75-inf)\'',7.7,2.2,Iris-virginica
'\'(0.805085-inf)\'','\'(2.55-2.75]\'',7.7,2.3,Iris-virginica
'\'(0.669492-0.737288]\'','\'(-inf-2.55]\'',6,1.5,Iris-virginica
'\'(0.737288-0.805085]\'','\'(3.15-3.25]\'',6.9,2.3,Iris-virginica
'\'(0.601695-0.669492]\'','\'(2.75-2.85]\'',5.6,2,Iris-virginica
'\'(0.805085-inf)\'','\'(2.75-2.85]\'',7.7,2,Iris-virginica
'\'(0.601695-0.669492]\'','\'(2.55-2.75]\'',6.3,1.8,Iris-virginica
'\'(0.737288-0.805085]\'','\'(3.25-3.45]\'',6.7,2.1,Iris-virginica
'\'(0.805085-inf)\'','\'(3.15-3.25]\'',7.2,1.8,Iris-virginica
'\'(0.601695-0.669492]\'','\'(2.75-2.85]\'',6.2,1.8,Iris-virginica
'\'(0.601695-0.669492]\'','\'(2.95-3.05]\'',6.1,1.8,Iris-virginica
'\'(0.737288-0.805085]\'','\'(2.75-2.85]\'',6.4,2.1,Iris-virginica
'\'(0.805085-inf)\'','\'(2.95-3.05]\'',7.2,1.6,Iris-virginica
'\'(0.805085-inf)\'','\'(2.75-2.85]\'',7.4,1.9,Iris-virginica
'\'(0.805085-inf)\'','\'(3.75-inf)\'',7.9,2,Iris-virginica
'\'(0.737288-0.805085]\'','\'(2.75-2.85]\'',6.4,2.2,Iris-virginica
'\'(0.669492-0.737288]\'','\'(2.75-2.85]\'',6.3,1.5,Iris-virginica
'\'(0.737288-0.805085]\'','\'(2.55-2.75]\'',6.1,1.4,Iris-virginica
'\'(0.805085-inf)\'','\'(2.95-3.05]\'',7.7,2.3,Iris-virginica
'\'(0.737288-0.805085]\'','\'(3.25-3.45]\'',6.3,2.4,Iris-virginica
'\'(0.737288-0.805085]\'','\'(3.05-3.15]\'',6.4,1.8,Iris-virginica
'\'(0.601695-0.669492]\'','\'(2.95-3.05]\'',6,1.8,Iris-virginica
'\'(0.737288-0.805085]\'','\'(3.05-3.15]\'',6.9,2.1,Iris-virginica
'\'(0.737288-0.805085]\'','\'(3.05-3.15]\'',6.7,2.4,Iris-virginica
'\'(0.669492-0.737288]\'','\'(3.05-3.15]\'',6.9,2.3,Iris-virginica
'\'(0.669492-0.737288]\'','\'(2.55-2.75]\'',5.8,1.9,Iris-virginica
'\'(0.805085-inf)\'','\'(3.15-3.25]\'',6.8,2.3,Iris-virginica
'\'(0.737288-0.805085]\'','\'(3.25-3.45]\'',6.7,2.5,Iris-virginica
'\'(0.669492-0.737288]\'','\'(2.95-3.05]\'',6.7,2.3,Iris-virginica
'\'(0.669492-0.737288]\'','\'(-inf-2.55]\'',6.3,1.9,Iris-virginica
'\'(0.669492-0.737288]\'','\'(2.95-3.05]\'',6.5,2,Iris-virginica
'\'(0.737288-0.805085]\'','\'(3.25-3.45]\'',6.2,2.3,Iris-virginica
'\'(0.669492-0.737288]\'','\'(2.95-3.05]\'',5.9,1.8,Iris-virginica
