@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-petal length in cm' {'\'(-inf-1.35]\'','\'(1.35-1.45]\'','\'(1.45-1.55]\'','\'(1.55-3.4]\'','\'(3.4-4.15]\'','\'(4.15-4.55]\'','\'(4.55-4.95]\'','\'(4.95-5.35]\'','\'(5.35-5.75]\'','\'(5.75-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf--1.877331]\'','\'(-1.877331--1.323818]\'','\'(-1.323818--0.770305]\'','\'(-0.770305--0.216793]\'','\'(-0.216793-0.33672]\'','\'(0.33672-0.890233]\'','\'(0.890233-1.443746]\'','\'(1.443746-1.997259]\'','\'(1.997259-2.550771]\'','\'(2.550771-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(5.75-inf)\'','\'(-0.216793-0.33672]\'',7.2,1.8,Iris-virginica
'\'(4.55-4.95]\'','\'(-0.770305--0.216793]\'',6.2,1.8,Iris-virginica
'\'(4.55-4.95]\'','\'(-0.216793-0.33672]\'',6.1,1.8,Iris-virginica
'\'(5.35-5.75]\'','\'(-0.770305--0.216793]\'',6.4,2.1,Iris-virginica
'\'(5.75-inf)\'','\'(-0.216793-0.33672]\'',7.2,1.6,Iris-virginica
'\'(5.75-inf)\'','\'(-0.770305--0.216793]\'',7.4,1.9,Iris-virginica
'\'(5.75-inf)\'','\'(1.443746-1.997259]\'',7.9,2,Iris-virginica
'\'(5.35-5.75]\'','\'(-0.770305--0.216793]\'',6.4,2.2,Iris-virginica
'\'(4.95-5.35]\'','\'(-0.770305--0.216793]\'',6.3,1.5,Iris-virginica
'\'(5.35-5.75]\'','\'(-1.323818--0.770305]\'',6.1,1.4,Iris-virginica
'\'(5.75-inf)\'','\'(-0.216793-0.33672]\'',7.7,2.3,Iris-virginica
'\'(5.35-5.75]\'','\'(0.33672-0.890233]\'',6.3,2.4,Iris-virginica
'\'(5.35-5.75]\'','\'(-0.216793-0.33672]\'',6.4,1.8,Iris-virginica
'\'(4.55-4.95]\'','\'(-0.216793-0.33672]\'',6,1.8,Iris-virginica
'\'(5.35-5.75]\'','\'(-0.216793-0.33672]\'',6.9,2.1,Iris-virginica
'\'(5.35-5.75]\'','\'(-0.216793-0.33672]\'',6.7,2.4,Iris-virginica
'\'(4.95-5.35]\'','\'(-0.216793-0.33672]\'',6.9,2.3,Iris-virginica
'\'(4.95-5.35]\'','\'(-1.323818--0.770305]\'',5.8,1.9,Iris-virginica
'\'(5.75-inf)\'','\'(-0.216793-0.33672]\'',6.8,2.3,Iris-virginica
'\'(5.35-5.75]\'','\'(0.33672-0.890233]\'',6.7,2.5,Iris-virginica
'\'(4.95-5.35]\'','\'(-0.216793-0.33672]\'',6.7,2.3,Iris-virginica
'\'(4.95-5.35]\'','\'(-1.323818--0.770305]\'',6.3,1.9,Iris-virginica
'\'(4.95-5.35]\'','\'(-0.216793-0.33672]\'',6.5,2,Iris-virginica
'\'(5.35-5.75]\'','\'(0.33672-0.890233]\'',6.2,2.3,Iris-virginica
'\'(4.95-5.35]\'','\'(-0.216793-0.33672]\'',5.9,1.8,Iris-virginica
