@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1'

@attribute 'filtered-0-filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.046525,'\'(3.2-3.44]\'',5.4,1.5,Iris-setosa
-1.439627,'\'(3.92-4.16]\'',5.2,1.5,Iris-setosa
-1.308593,'\'(4.16-inf)\'',5.5,1.4,Iris-setosa
-1.439627,'\'(2.96-3.2]\'',4.9,1.5,Iris-setosa
-1.308593,'\'(2.96-3.2]\'',5,1.2,Iris-setosa
-1.308593,'\'(3.44-3.68]\'',5.5,1.3,Iris-setosa
-1.439627,'\'(2.96-3.2]\'',4.9,1.5,Iris-setosa
-1.308593,'\'(2.96-3.2]\'',4.4,1.3,Iris-setosa
-1.308593,'\'(3.2-3.44]\'',5.1,1.5,Iris-setosa
-1.177559,'\'(3.44-3.68]\'',5,1.3,Iris-setosa
-1.177559,'\'(2.24-2.48]\'',4.5,1.3,Iris-setosa
-1.308593,'\'(2.96-3.2]\'',4.4,1.3,Iris-setosa
-0.784457,'\'(3.44-3.68]\'',5,1.6,Iris-setosa
-1.046525,'\'(3.68-3.92]\'',5.1,1.9,Iris-setosa
-1.177559,'\'(2.96-3.2]\'',4.8,1.4,Iris-setosa
-1.308593,'\'(3.68-3.92]\'',5.1,1.6,Iris-setosa
-1.308593,'\'(2.96-3.2]\'',4.6,1.4,Iris-setosa
-1.308593,'\'(3.68-3.92]\'',5.3,1.5,Iris-setosa
-1.308593,'\'(3.2-3.44]\'',5,1.4,Iris-setosa
0.263815,'\'(2.96-3.2]\'',7,4.7,Iris-versicolor
0.394849,'\'(2.96-3.2]\'',6.4,4.5,Iris-versicolor
0.394849,'\'(2.96-3.2]\'',6.9,4.9,Iris-versicolor
0.132781,'\'(2.24-2.48]\'',5.5,4,Iris-versicolor
0.394849,'\'(2.72-2.96]\'',6.5,4.6,Iris-versicolor
0.132781,'\'(2.72-2.96]\'',5.7,4.5,Iris-versicolor
0.525883,'\'(3.2-3.44]\'',6.3,4.7,Iris-versicolor
-0.260321,'\'(2.24-2.48]\'',4.9,3.3,Iris-versicolor
0.132781,'\'(2.72-2.96]\'',6.6,4.6,Iris-versicolor
0.263815,'\'(2.48-2.72]\'',5.2,3.9,Iris-versicolor
-0.260321,'\'(-inf-2.24]\'',5,3.5,Iris-versicolor
0.394849,'\'(2.96-3.2]\'',5.9,4.2,Iris-versicolor
-0.260321,'\'(-inf-2.24]\'',6,4,Iris-versicolor
0.263815,'\'(2.72-2.96]\'',6.1,4.7,Iris-versicolor
0.132781,'\'(2.72-2.96]\'',5.6,3.6,Iris-versicolor
0.263815,'\'(2.96-3.2]\'',6.7,4.4,Iris-versicolor
0.394849,'\'(2.96-3.2]\'',5.6,4.5,Iris-versicolor
-0.260321,'\'(2.48-2.72]\'',5.8,4.1,Iris-versicolor
0.394849,'\'(-inf-2.24]\'',6.2,4.5,Iris-versicolor
-0.129287,'\'(2.48-2.72]\'',5.6,3.9,Iris-versicolor
0.787951,'\'(2.96-3.2]\'',5.9,4.8,Iris-versicolor
0.132781,'\'(2.72-2.96]\'',6.1,4,Iris-versicolor
0.394849,'\'(2.48-2.72]\'',6.3,4.9,Iris-versicolor
0.001747,'\'(2.72-2.96]\'',6.1,4.7,Iris-versicolor
0.132781,'\'(2.72-2.96]\'',6.4,4.3,Iris-versicolor
0.263815,'\'(2.96-3.2]\'',6.6,4.4,Iris-versicolor
0.263815,'\'(2.72-2.96]\'',6.8,4.8,Iris-versicolor
0.656917,'\'(2.96-3.2]\'',6.7,5,Iris-versicolor
0.394849,'\'(2.72-2.96]\'',6,4.5,Iris-versicolor
-0.260321,'\'(2.48-2.72]\'',5.7,3.5,Iris-versicolor
-0.129287,'\'(2.24-2.48]\'',5.5,3.8,Iris-versicolor
-0.260321,'\'(2.24-2.48]\'',5.5,3.7,Iris-versicolor
0.001747,'\'(2.48-2.72]\'',5.8,3.9,Iris-versicolor
0.525883,'\'(2.48-2.72]\'',6,5.1,Iris-versicolor
0.394849,'\'(2.96-3.2]\'',5.4,4.5,Iris-versicolor
0.525883,'\'(3.2-3.44]\'',6,4.5,Iris-versicolor
0.394849,'\'(2.96-3.2]\'',6.7,4.7,Iris-versicolor
0.132781,'\'(2.24-2.48]\'',6.3,4.4,Iris-versicolor
0.132781,'\'(2.96-3.2]\'',5.6,4.1,Iris-versicolor
0.132781,'\'(2.48-2.72]\'',5.5,4,Iris-versicolor
0.001747,'\'(2.48-2.72]\'',5.5,4.4,Iris-versicolor
0.263815,'\'(2.96-3.2]\'',6.1,4.6,Iris-versicolor
0.001747,'\'(2.48-2.72]\'',5.8,4,Iris-versicolor
-0.260321,'\'(2.24-2.48]\'',5,3.3,Iris-versicolor
0.132781,'\'(2.48-2.72]\'',5.6,4.2,Iris-versicolor
0.001747,'\'(2.96-3.2]\'',5.7,4.2,Iris-versicolor
0.132781,'\'(2.72-2.96]\'',5.7,4.2,Iris-versicolor
0.132781,'\'(2.72-2.96]\'',6.2,4.3,Iris-versicolor
-0.129287,'\'(2.48-2.72]\'',5.1,3,Iris-versicolor
0.132781,'\'(2.72-2.96]\'',5.7,4.1,Iris-versicolor
1.705189,'\'(3.2-3.44]\'',6.3,6,Iris-virginica
0.918985,'\'(2.48-2.72]\'',5.8,5.1,Iris-virginica
1.181053,'\'(2.96-3.2]\'',7.1,5.9,Iris-virginica
0.787951,'\'(2.72-2.96]\'',6.3,5.6,Iris-virginica
1.312087,'\'(2.96-3.2]\'',6.5,5.8,Iris-virginica
1.181053,'\'(2.96-3.2]\'',7.6,6.6,Iris-virginica
0.656917,'\'(2.48-2.72]\'',4.9,4.5,Iris-virginica
0.787951,'\'(2.72-2.96]\'',7.3,6.3,Iris-virginica
0.787951,'\'(2.48-2.72]\'',6.7,5.8,Iris-virginica
1.705189,'\'(3.44-3.68]\'',7.2,6.1,Iris-virginica
1.050019,'\'(2.96-3.2]\'',6.5,5.1,Iris-virginica
0.918985,'\'(2.48-2.72]\'',6.4,5.3,Iris-virginica
1.181053,'\'(2.96-3.2]\'',6.8,5.5,Iris-virginica
1.050019,'\'(2.48-2.72]\'',5.7,5,Iris-virginica
1.574155,'\'(2.72-2.96]\'',5.8,5.1,Iris-virginica
1.443121,'\'(2.96-3.2]\'',6.4,5.3,Iris-virginica
0.787951,'\'(2.96-3.2]\'',6.5,5.5,Iris-virginica
1.312087,'\'(3.68-3.92]\'',7.7,6.7,Iris-virginica
1.443121,'\'(2.48-2.72]\'',7.7,6.9,Iris-virginica
0.394849,'\'(-inf-2.24]\'',6,5,Iris-virginica
1.443121,'\'(2.96-3.2]\'',6.9,5.7,Iris-virginica
1.050019,'\'(2.72-2.96]\'',5.6,4.9,Iris-virginica
1.050019,'\'(2.72-2.96]\'',7.7,6.7,Iris-virginica
0.787951,'\'(2.48-2.72]\'',6.3,4.9,Iris-virginica
1.181053,'\'(3.2-3.44]\'',6.7,5.7,Iris-virginica
0.787951,'\'(2.96-3.2]\'',7.2,6,Iris-virginica
0.787951,'\'(2.72-2.96]\'',6.2,4.8,Iris-virginica
0.787951,'\'(2.96-3.2]\'',6.1,4.9,Iris-virginica
1.181053,'\'(2.72-2.96]\'',6.4,5.6,Iris-virginica
0.525883,'\'(2.96-3.2]\'',7.2,5.8,Iris-virginica
0.918985,'\'(2.72-2.96]\'',7.4,6.1,Iris-virginica
1.050019,'\'(3.68-3.92]\'',7.9,6.4,Iris-virginica
1.312087,'\'(2.72-2.96]\'',6.4,5.6,Iris-virginica
0.394849,'\'(2.72-2.96]\'',6.3,5.1,Iris-virginica
0.263815,'\'(2.48-2.72]\'',6.1,5.6,Iris-virginica
1.443121,'\'(2.96-3.2]\'',7.7,6.1,Iris-virginica
1.574155,'\'(3.2-3.44]\'',6.3,5.6,Iris-virginica
0.787951,'\'(2.96-3.2]\'',6.4,5.5,Iris-virginica
0.787951,'\'(2.96-3.2]\'',6,4.8,Iris-virginica
1.181053,'\'(2.96-3.2]\'',6.9,5.4,Iris-virginica
1.574155,'\'(2.96-3.2]\'',6.7,5.6,Iris-virginica
1.443121,'\'(2.96-3.2]\'',6.9,5.1,Iris-virginica
0.918985,'\'(2.48-2.72]\'',5.8,5.1,Iris-virginica
1.443121,'\'(2.96-3.2]\'',6.8,5.9,Iris-virginica
1.705189,'\'(3.2-3.44]\'',6.7,5.7,Iris-virginica
1.443121,'\'(2.96-3.2]\'',6.7,5.2,Iris-virginica
0.918985,'\'(2.48-2.72]\'',6.3,5,Iris-virginica
1.050019,'\'(2.96-3.2]\'',6.5,5.2,Iris-virginica
1.443121,'\'(3.2-3.44]\'',6.2,5.4,Iris-virginica
0.787951,'\'(2.96-3.2]\'',5.9,5.1,Iris-virginica
