@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3'

@attribute 'filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.55]\'','\'(2.55-2.75]\'','\'(2.75-2.85]\'','\'(2.85-2.95]\'','\'(2.95-3.05]\'','\'(3.05-3.15]\'','\'(3.15-3.25]\'','\'(3.25-3.45]\'','\'(3.45-3.75]\'','\'(3.75-inf)\''}
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.533509,'\'(3.05-3.15]\'',6.7,1.5,Iris-versicolor
0.363481,'\'(-inf-2.55]\'',6.3,1.3,Iris-versicolor
0.193454,'\'(2.95-3.05]\'',5.6,1.3,Iris-versicolor
0.136778,'\'(-inf-2.55]\'',5.5,1.3,Iris-versicolor
0.363481,'\'(2.55-2.75]\'',5.5,1.2,Iris-versicolor
0.476833,'\'(2.95-3.05]\'',6.1,1.4,Iris-versicolor
0.136778,'\'(2.55-2.75]\'',5.8,1.2,Iris-versicolor
-0.259953,'\'(-inf-2.55]\'',5,1,Iris-versicolor
0.250129,'\'(2.55-2.75]\'',5.6,1.3,Iris-versicolor
0.250129,'\'(2.95-3.05]\'',5.7,1.2,Iris-versicolor
0.250129,'\'(2.85-2.95]\'',5.7,1.3,Iris-versicolor
0.306805,'\'(2.85-2.95]\'',6.2,1.3,Iris-versicolor
-0.429981,'\'(-inf-2.55]\'',5.1,1.1,Iris-versicolor
0.193454,'\'(2.75-2.85]\'',5.7,1.3,Iris-versicolor
1.270294,'\'(3.25-3.45]\'',6.3,2.5,Iris-virginica
0.760212,'\'(2.55-2.75]\'',5.8,1.9,Iris-virginica
1.213619,'\'(2.95-3.05]\'',7.1,2.1,Iris-virginica
1.043591,'\'(2.85-2.95]\'',6.3,1.8,Iris-virginica
1.156943,'\'(2.95-3.05]\'',6.5,2.2,Iris-virginica
1.610349,'\'(2.95-3.05]\'',7.6,2.1,Iris-virginica
0.420157,'\'(-inf-2.55]\'',4.9,1.7,Iris-virginica
1.440322,'\'(2.85-2.95]\'',7.3,1.8,Iris-virginica
1.156943,'\'(-inf-2.55]\'',6.7,1.8,Iris-virginica
1.32697,'\'(3.45-3.75]\'',7.2,2.5,Iris-virginica
0.760212,'\'(3.15-3.25]\'',6.5,2,Iris-virginica
0.873564,'\'(2.55-2.75]\'',6.4,1.9,Iris-virginica
0.986915,'\'(2.95-3.05]\'',6.8,2.1,Iris-virginica
0.703536,'\'(-inf-2.55]\'',5.7,2,Iris-virginica
0.760212,'\'(2.75-2.85]\'',5.8,2.4,Iris-virginica
0.873564,'\'(3.15-3.25]\'',6.4,2.3,Iris-virginica
0.986915,'\'(2.95-3.05]\'',6.5,1.8,Iris-virginica
1.667025,'\'(3.75-inf)\'',7.7,2.2,Iris-virginica
1.780377,'\'(2.55-2.75]\'',7.7,2.3,Iris-virginica
0.703536,'\'(-inf-2.55]\'',6,1.5,Iris-virginica
1.100267,'\'(3.15-3.25]\'',6.9,2.3,Iris-virginica
0.64686,'\'(2.75-2.85]\'',5.6,2,Iris-virginica
1.667025,'\'(2.75-2.85]\'',7.7,2,Iris-virginica
0.64686,'\'(2.55-2.75]\'',6.3,1.8,Iris-virginica
1.100267,'\'(3.25-3.45]\'',6.7,2.1,Iris-virginica
1.270294,'\'(3.15-3.25]\'',7.2,1.8,Iris-virginica
0.590184,'\'(2.75-2.85]\'',6.2,1.8,Iris-virginica
0.64686,'\'(2.95-3.05]\'',6.1,1.8,Iris-virginica
1.043591,'\'(2.75-2.85]\'',6.4,2.1,Iris-virginica
1.156943,'\'(2.95-3.05]\'',7.2,1.6,Iris-virginica
1.32697,'\'(2.75-2.85]\'',7.4,1.9,Iris-virginica
1.496998,'\'(3.75-inf)\'',7.9,2,Iris-virginica
1.043591,'\'(2.75-2.85]\'',6.4,2.2,Iris-virginica
0.760212,'\'(2.75-2.85]\'',6.3,1.5,Iris-virginica
1.043591,'\'(2.55-2.75]\'',6.1,1.4,Iris-virginica
1.32697,'\'(2.95-3.05]\'',7.7,2.3,Iris-virginica
1.043591,'\'(3.25-3.45]\'',6.3,2.4,Iris-virginica
0.986915,'\'(3.05-3.15]\'',6.4,1.8,Iris-virginica
0.590184,'\'(2.95-3.05]\'',6,1.8,Iris-virginica
0.930239,'\'(3.05-3.15]\'',6.9,2.1,Iris-virginica
1.043591,'\'(3.05-3.15]\'',6.7,2.4,Iris-virginica
0.760212,'\'(3.05-3.15]\'',6.9,2.3,Iris-virginica
0.760212,'\'(2.55-2.75]\'',5.8,1.9,Iris-virginica
1.213619,'\'(3.15-3.25]\'',6.8,2.3,Iris-virginica
1.100267,'\'(3.25-3.45]\'',6.7,2.5,Iris-virginica
0.816888,'\'(2.95-3.05]\'',6.7,2.3,Iris-virginica
0.703536,'\'(-inf-2.55]\'',6.3,1.9,Iris-virginica
0.816888,'\'(2.95-3.05]\'',6.5,2,Iris-virginica
0.930239,'\'(3.25-3.45]\'',6.2,2.3,Iris-virginica
0.760212,'\'(2.95-3.05]\'',5.9,1.8,Iris-virginica
