@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-petal length in cm' {'\'(-inf-1.35]\'','\'(1.35-1.45]\'','\'(1.45-1.55]\'','\'(1.55-3.4]\'','\'(3.4-4.15]\'','\'(4.15-4.55]\'','\'(4.55-4.95]\'','\'(4.95-5.35]\'','\'(5.35-5.75]\'','\'(5.75-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf--1.162377]\'','\'(-1.162377--0.701116]\'','\'(-0.701116--0.470486]\'','\'(-0.470486--0.239856]\'','\'(-0.239856--0.009225]\'','\'(-0.009225-0.221405]\'','\'(0.221405-0.452035]\'','\'(0.452035-0.913296]\'','\'(0.913296-1.605187]\'','\'(1.605187-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(4.15-4.55]\'','\'(-0.239856--0.009225]\'',5.6,1.5,Iris-versicolor
'\'(3.4-4.15]\'','\'(-1.162377--0.701116]\'',5.8,1,Iris-versicolor
'\'(4.15-4.55]\'','\'(-inf--1.162377]\'',6.2,1.5,Iris-versicolor
'\'(3.4-4.15]\'','\'(-inf--1.162377]\'',5.6,1.1,Iris-versicolor
'\'(4.55-4.95]\'','\'(0.221405-0.452035]\'',5.9,1.8,Iris-versicolor
'\'(3.4-4.15]\'','\'(-0.701116--0.470486]\'',6.1,1.3,Iris-versicolor
'\'(4.55-4.95]\'','\'(-inf--1.162377]\'',6.3,1.5,Iris-versicolor
'\'(4.55-4.95]\'','\'(-0.701116--0.470486]\'',6.1,1.2,Iris-versicolor
'\'(4.15-4.55]\'','\'(-0.470486--0.239856]\'',6.4,1.3,Iris-versicolor
'\'(4.15-4.55]\'','\'(-0.239856--0.009225]\'',6.6,1.4,Iris-versicolor
'\'(4.55-4.95]\'','\'(-0.701116--0.470486]\'',6.8,1.4,Iris-versicolor
'\'(4.95-5.35]\'','\'(-0.239856--0.009225]\'',6.7,1.7,Iris-versicolor
'\'(4.15-4.55]\'','\'(-0.470486--0.239856]\'',6,1.5,Iris-versicolor
'\'(3.4-4.15]\'','\'(-1.162377--0.701116]\'',5.7,1,Iris-versicolor
'\'(3.4-4.15]\'','\'(-inf--1.162377]\'',5.5,1.1,Iris-versicolor
'\'(3.4-4.15]\'','\'(-inf--1.162377]\'',5.5,1,Iris-versicolor
'\'(3.4-4.15]\'','\'(-1.162377--0.701116]\'',5.8,1.2,Iris-versicolor
'\'(4.95-5.35]\'','\'(-1.162377--0.701116]\'',6,1.6,Iris-versicolor
'\'(4.15-4.55]\'','\'(-0.239856--0.009225]\'',5.4,1.5,Iris-versicolor
'\'(4.15-4.55]\'','\'(0.452035-0.913296]\'',6,1.6,Iris-versicolor
'\'(4.55-4.95]\'','\'(-0.009225-0.221405]\'',6.7,1.5,Iris-versicolor
'\'(4.15-4.55]\'','\'(-inf--1.162377]\'',6.3,1.3,Iris-versicolor
'\'(3.4-4.15]\'','\'(-0.239856--0.009225]\'',5.6,1.3,Iris-versicolor
'\'(3.4-4.15]\'','\'(-inf--1.162377]\'',5.5,1.3,Iris-versicolor
'\'(4.15-4.55]\'','\'(-1.162377--0.701116]\'',5.5,1.2,Iris-versicolor
'\'(4.55-4.95]\'','\'(-0.239856--0.009225]\'',6.1,1.4,Iris-versicolor
'\'(3.4-4.15]\'','\'(-1.162377--0.701116]\'',5.8,1.2,Iris-versicolor
'\'(1.55-3.4]\'','\'(-inf--1.162377]\'',5,1,Iris-versicolor
'\'(4.15-4.55]\'','\'(-1.162377--0.701116]\'',5.6,1.3,Iris-versicolor
'\'(4.15-4.55]\'','\'(-0.239856--0.009225]\'',5.7,1.2,Iris-versicolor
'\'(4.15-4.55]\'','\'(-0.470486--0.239856]\'',5.7,1.3,Iris-versicolor
'\'(4.15-4.55]\'','\'(-0.470486--0.239856]\'',6.2,1.3,Iris-versicolor
'\'(1.55-3.4]\'','\'(-inf--1.162377]\'',5.1,1.1,Iris-versicolor
'\'(3.4-4.15]\'','\'(-0.701116--0.470486]\'',5.7,1.3,Iris-versicolor
'\'(5.75-inf)\'','\'(0.452035-0.913296]\'',6.3,2.5,Iris-virginica
'\'(4.95-5.35]\'','\'(-1.162377--0.701116]\'',5.8,1.9,Iris-virginica
'\'(5.75-inf)\'','\'(-0.239856--0.009225]\'',7.1,2.1,Iris-virginica
'\'(5.35-5.75]\'','\'(-0.470486--0.239856]\'',6.3,1.8,Iris-virginica
'\'(5.75-inf)\'','\'(-0.239856--0.009225]\'',6.5,2.2,Iris-virginica
'\'(5.75-inf)\'','\'(-0.239856--0.009225]\'',7.6,2.1,Iris-virginica
'\'(4.15-4.55]\'','\'(-inf--1.162377]\'',4.9,1.7,Iris-virginica
'\'(5.75-inf)\'','\'(-0.470486--0.239856]\'',7.3,1.8,Iris-virginica
'\'(5.75-inf)\'','\'(-inf--1.162377]\'',6.7,1.8,Iris-virginica
'\'(5.75-inf)\'','\'(0.913296-1.605187]\'',7.2,2.5,Iris-virginica
'\'(4.95-5.35]\'','\'(0.221405-0.452035]\'',6.5,2,Iris-virginica
'\'(4.95-5.35]\'','\'(-1.162377--0.701116]\'',6.4,1.9,Iris-virginica
'\'(5.35-5.75]\'','\'(-0.239856--0.009225]\'',6.8,2.1,Iris-virginica
'\'(4.95-5.35]\'','\'(-inf--1.162377]\'',5.7,2,Iris-virginica
'\'(4.95-5.35]\'','\'(-0.701116--0.470486]\'',5.8,2.4,Iris-virginica
'\'(4.95-5.35]\'','\'(0.221405-0.452035]\'',6.4,2.3,Iris-virginica
'\'(5.35-5.75]\'','\'(-0.239856--0.009225]\'',6.5,1.8,Iris-virginica
'\'(5.75-inf)\'','\'(1.605187-inf)\'',7.7,2.2,Iris-virginica
'\'(5.75-inf)\'','\'(-1.162377--0.701116]\'',7.7,2.3,Iris-virginica
'\'(4.95-5.35]\'','\'(-inf--1.162377]\'',6,1.5,Iris-virginica
'\'(5.35-5.75]\'','\'(0.221405-0.452035]\'',6.9,2.3,Iris-virginica
'\'(4.55-4.95]\'','\'(-0.701116--0.470486]\'',5.6,2,Iris-virginica
'\'(5.75-inf)\'','\'(-0.701116--0.470486]\'',7.7,2,Iris-virginica
'\'(4.55-4.95]\'','\'(-1.162377--0.701116]\'',6.3,1.8,Iris-virginica
'\'(5.35-5.75]\'','\'(0.452035-0.913296]\'',6.7,2.1,Iris-virginica
'\'(5.75-inf)\'','\'(0.221405-0.452035]\'',7.2,1.8,Iris-virginica
'\'(4.55-4.95]\'','\'(-0.701116--0.470486]\'',6.2,1.8,Iris-virginica
'\'(4.55-4.95]\'','\'(-0.239856--0.009225]\'',6.1,1.8,Iris-virginica
'\'(5.35-5.75]\'','\'(-0.701116--0.470486]\'',6.4,2.1,Iris-virginica
'\'(5.75-inf)\'','\'(-0.239856--0.009225]\'',7.2,1.6,Iris-virginica
'\'(5.75-inf)\'','\'(-0.701116--0.470486]\'',7.4,1.9,Iris-virginica
'\'(5.75-inf)\'','\'(1.605187-inf)\'',7.9,2,Iris-virginica
'\'(5.35-5.75]\'','\'(-0.701116--0.470486]\'',6.4,2.2,Iris-virginica
'\'(4.95-5.35]\'','\'(-0.701116--0.470486]\'',6.3,1.5,Iris-virginica
'\'(5.35-5.75]\'','\'(-1.162377--0.701116]\'',6.1,1.4,Iris-virginica
'\'(5.75-inf)\'','\'(-0.239856--0.009225]\'',7.7,2.3,Iris-virginica
'\'(5.35-5.75]\'','\'(0.452035-0.913296]\'',6.3,2.4,Iris-virginica
'\'(5.35-5.75]\'','\'(-0.009225-0.221405]\'',6.4,1.8,Iris-virginica
'\'(4.55-4.95]\'','\'(-0.239856--0.009225]\'',6,1.8,Iris-virginica
'\'(5.35-5.75]\'','\'(-0.009225-0.221405]\'',6.9,2.1,Iris-virginica
'\'(5.35-5.75]\'','\'(-0.009225-0.221405]\'',6.7,2.4,Iris-virginica
'\'(4.95-5.35]\'','\'(-0.009225-0.221405]\'',6.9,2.3,Iris-virginica
'\'(4.95-5.35]\'','\'(-1.162377--0.701116]\'',5.8,1.9,Iris-virginica
'\'(5.75-inf)\'','\'(0.221405-0.452035]\'',6.8,2.3,Iris-virginica
'\'(5.35-5.75]\'','\'(0.452035-0.913296]\'',6.7,2.5,Iris-virginica
'\'(4.95-5.35]\'','\'(-0.239856--0.009225]\'',6.7,2.3,Iris-virginica
'\'(4.95-5.35]\'','\'(-inf--1.162377]\'',6.3,1.9,Iris-virginica
'\'(4.95-5.35]\'','\'(-0.239856--0.009225]\'',6.5,2,Iris-virginica
'\'(5.35-5.75]\'','\'(0.452035-0.913296]\'',6.2,2.3,Iris-virginica
'\'(4.95-5.35]\'','\'(-0.239856--0.009225]\'',5.9,1.8,Iris-virginica
