@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-petal length in cm' {'\'(-inf--1.22911]\'','\'(-1.22911--0.894723]\'','\'(-0.894723--0.560335]\'','\'(-0.560335--0.225948]\'','\'(-0.225948-0.10844]\'','\'(0.10844-0.442827]\'','\'(0.442827-0.777215]\'','\'(0.777215-1.111602]\'','\'(1.111602-1.445989]\'','\'(1.445989-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.10844-0.442827]\'',-0.816431,5.8,1,Iris-versicolor
'\'(0.10844-0.442827]\'',-1.969583,6.2,1.5,Iris-versicolor
'\'(-0.225948-0.10844]\'',-1.277692,5.6,1.1,Iris-versicolor
'\'(0.442827-0.777215]\'',0.33672,5.9,1.8,Iris-versicolor
'\'(0.10844-0.442827]\'',-0.585801,6.1,1.3,Iris-versicolor
'\'(0.442827-0.777215]\'',-1.277692,6.3,1.5,Iris-versicolor
'\'(0.442827-0.777215]\'',-0.585801,6.1,1.2,Iris-versicolor
'\'(0.10844-0.442827]\'',-0.355171,6.4,1.3,Iris-versicolor
'\'(0.10844-0.442827]\'',-0.12454,6.6,1.4,Iris-versicolor
'\'(0.442827-0.777215]\'',-0.585801,6.8,1.4,Iris-versicolor
'\'(0.442827-0.777215]\'',-0.12454,6.7,1.7,Iris-versicolor
'\'(0.10844-0.442827]\'',-0.355171,6,1.5,Iris-versicolor
'\'(-0.225948-0.10844]\'',-1.047062,5.7,1,Iris-versicolor
'\'(-0.225948-0.10844]\'',-1.508322,5.5,1.1,Iris-versicolor
'\'(-0.225948-0.10844]\'',-1.508322,5.5,1,Iris-versicolor
'\'(-0.225948-0.10844]\'',-0.816431,5.8,1.2,Iris-versicolor
'\'(0.442827-0.777215]\'',-0.816431,6,1.6,Iris-versicolor
'\'(0.10844-0.442827]\'',-0.12454,5.4,1.5,Iris-versicolor
'\'(0.10844-0.442827]\'',0.797981,6,1.6,Iris-versicolor
'\'(0.442827-0.777215]\'',0.10609,6.7,1.5,Iris-versicolor
'\'(0.10844-0.442827]\'',-1.738953,6.3,1.3,Iris-versicolor
'\'(0.10844-0.442827]\'',-0.12454,5.6,1.3,Iris-versicolor
'\'(0.10844-0.442827]\'',-1.277692,5.5,1.3,Iris-versicolor
'\'(0.10844-0.442827]\'',-1.047062,5.5,1.2,Iris-versicolor
'\'(0.442827-0.777215]\'',-0.12454,6.1,1.4,Iris-versicolor
'\'(0.10844-0.442827]\'',-1.047062,5.8,1.2,Iris-versicolor
'\'(-0.560335--0.225948]\'',-1.738953,5,1,Iris-versicolor
'\'(0.10844-0.442827]\'',-0.816431,5.6,1.3,Iris-versicolor
'\'(0.10844-0.442827]\'',-0.12454,5.7,1.2,Iris-versicolor
'\'(0.10844-0.442827]\'',-0.355171,5.7,1.3,Iris-versicolor
'\'(0.10844-0.442827]\'',-0.355171,6.2,1.3,Iris-versicolor
'\'(-0.560335--0.225948]\'',-1.277692,5.1,1.1,Iris-versicolor
'\'(0.10844-0.442827]\'',-0.585801,5.7,1.3,Iris-versicolor
'\'(1.111602-1.445989]\'',0.567351,6.3,2.5,Iris-virginica
'\'(0.442827-0.777215]\'',-0.816431,5.8,1.9,Iris-virginica
'\'(1.111602-1.445989]\'',-0.12454,7.1,2.1,Iris-virginica
'\'(0.777215-1.111602]\'',-0.355171,6.3,1.8,Iris-virginica
'\'(1.111602-1.445989]\'',-0.12454,6.5,2.2,Iris-virginica
'\'(1.445989-inf)\'',-0.12454,7.6,2.1,Iris-virginica
'\'(0.10844-0.442827]\'',-1.277692,4.9,1.7,Iris-virginica
'\'(1.111602-1.445989]\'',-0.355171,7.3,1.8,Iris-virginica
'\'(1.111602-1.445989]\'',-1.277692,6.7,1.8,Iris-virginica
'\'(1.111602-1.445989]\'',1.259242,7.2,2.5,Iris-virginica
'\'(0.442827-0.777215]\'',0.33672,6.5,2,Iris-virginica
'\'(0.777215-1.111602]\'',-0.816431,6.4,1.9,Iris-virginica
'\'(0.777215-1.111602]\'',-0.12454,6.8,2.1,Iris-virginica
'\'(0.442827-0.777215]\'',-1.277692,5.7,2,Iris-virginica
'\'(0.442827-0.777215]\'',-0.585801,5.8,2.4,Iris-virginica
'\'(0.777215-1.111602]\'',0.33672,6.4,2.3,Iris-virginica
'\'(0.777215-1.111602]\'',-0.12454,6.5,1.8,Iris-virginica
'\'(1.445989-inf)\'',1.720502,7.7,2.2,Iris-virginica
'\'(1.445989-inf)\'',-1.047062,7.7,2.3,Iris-virginica
'\'(0.442827-0.777215]\'',-1.969583,6,1.5,Iris-virginica
'\'(0.777215-1.111602]\'',0.33672,6.9,2.3,Iris-virginica
'\'(0.442827-0.777215]\'',-0.585801,5.6,2,Iris-virginica
'\'(1.445989-inf)\'',-0.585801,7.7,2,Iris-virginica
'\'(0.442827-0.777215]\'',-0.816431,6.3,1.8,Iris-virginica
'\'(0.777215-1.111602]\'',0.567351,6.7,2.1,Iris-virginica
'\'(1.111602-1.445989]\'',0.33672,7.2,1.8,Iris-virginica
'\'(0.442827-0.777215]\'',-0.585801,6.2,1.8,Iris-virginica
'\'(0.442827-0.777215]\'',-0.12454,6.1,1.8,Iris-virginica
'\'(0.777215-1.111602]\'',-0.585801,6.4,2.1,Iris-virginica
'\'(1.111602-1.445989]\'',-0.12454,7.2,1.6,Iris-virginica
'\'(1.111602-1.445989]\'',-0.585801,7.4,1.9,Iris-virginica
'\'(1.445989-inf)\'',1.720502,7.9,2,Iris-virginica
'\'(0.777215-1.111602]\'',-0.585801,6.4,2.2,Iris-virginica
'\'(0.442827-0.777215]\'',-0.585801,6.3,1.5,Iris-virginica
'\'(0.777215-1.111602]\'',-1.047062,6.1,1.4,Iris-virginica
'\'(1.111602-1.445989]\'',-0.12454,7.7,2.3,Iris-virginica
'\'(0.777215-1.111602]\'',0.797981,6.3,2.4,Iris-virginica
'\'(0.777215-1.111602]\'',0.10609,6.4,1.8,Iris-virginica
'\'(0.442827-0.777215]\'',-0.12454,6,1.8,Iris-virginica
'\'(0.777215-1.111602]\'',0.10609,6.9,2.1,Iris-virginica
'\'(0.777215-1.111602]\'',0.10609,6.7,2.4,Iris-virginica
'\'(0.442827-0.777215]\'',0.10609,6.9,2.3,Iris-virginica
'\'(0.442827-0.777215]\'',-0.816431,5.8,1.9,Iris-virginica
'\'(1.111602-1.445989]\'',0.33672,6.8,2.3,Iris-virginica
'\'(0.777215-1.111602]\'',0.567351,6.7,2.5,Iris-virginica
'\'(0.777215-1.111602]\'',-0.12454,6.7,2.3,Iris-virginica
'\'(0.442827-0.777215]\'',-1.277692,6.3,1.9,Iris-virginica
'\'(0.777215-1.111602]\'',-0.12454,6.5,2,Iris-virginica
'\'(0.777215-1.111602]\'',0.797981,6.2,2.3,Iris-virginica
'\'(0.442827-0.777215]\'',-0.12454,5.9,1.8,Iris-virginica
