@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-sepal width in cm' {'\'(-inf--1.880721]\'','\'(-1.880721--1.327823]\'','\'(-1.327823--0.774924]\'','\'(-0.774924--0.222025]\'','\'(-0.222025-0.330873]\'','\'(0.330873-0.883772]\'','\'(0.883772-1.436671]\'','\'(1.436671-1.989569]\'','\'(1.989569-2.542468]\'','\'(2.542468-inf)\''}
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.330873-0.883772]\'',5.2,1.4,0.2,Iris-setosa
'\'(0.330873-0.883772]\'',4.7,1.6,0.2,Iris-setosa
'\'(-0.222025-0.330873]\'',4.8,1.6,0.2,Iris-setosa
'\'(0.330873-0.883772]\'',5.4,1.5,0.4,Iris-setosa
'\'(1.989569-2.542468]\'',5.2,1.5,0.1,Iris-setosa
'\'(2.542468-inf)\'',5.5,1.4,0.2,Iris-setosa
'\'(-0.222025-0.330873]\'',4.9,1.5,0.1,Iris-setosa
'\'(0.330873-0.883772]\'',5,1.2,0.2,Iris-setosa
'\'(0.883772-1.436671]\'',5.5,1.3,0.2,Iris-setosa
'\'(-0.222025-0.330873]\'',4.9,1.5,0.1,Iris-setosa
'\'(-0.222025-0.330873]\'',4.4,1.3,0.2,Iris-setosa
'\'(0.330873-0.883772]\'',5.1,1.5,0.2,Iris-setosa
'\'(0.883772-1.436671]\'',5,1.3,0.3,Iris-setosa
'\'(-1.880721--1.327823]\'',4.5,1.3,0.3,Iris-setosa
'\'(0.330873-0.883772]\'',4.4,1.3,0.2,Iris-setosa
'\'(0.883772-1.436671]\'',5,1.6,0.6,Iris-setosa
'\'(1.436671-1.989569]\'',5.1,1.9,0.4,Iris-setosa
'\'(-0.222025-0.330873]\'',4.8,1.4,0.3,Iris-setosa
'\'(1.436671-1.989569]\'',5.1,1.6,0.2,Iris-setosa
'\'(0.330873-0.883772]\'',4.6,1.4,0.2,Iris-setosa
'\'(1.436671-1.989569]\'',5.3,1.5,0.2,Iris-setosa
'\'(0.330873-0.883772]\'',5,1.4,0.2,Iris-setosa
'\'(0.330873-0.883772]\'',7,4.7,1.4,Iris-versicolor
'\'(0.330873-0.883772]\'',6.4,4.5,1.5,Iris-versicolor
'\'(-0.222025-0.330873]\'',6.9,4.9,1.5,Iris-versicolor
'\'(-1.880721--1.327823]\'',5.5,4,1.3,Iris-versicolor
'\'(-0.774924--0.222025]\'',6.5,4.6,1.5,Iris-versicolor
'\'(-0.774924--0.222025]\'',5.7,4.5,1.3,Iris-versicolor
'\'(0.330873-0.883772]\'',6.3,4.7,1.6,Iris-versicolor
'\'(-1.880721--1.327823]\'',4.9,3.3,1,Iris-versicolor
'\'(-0.774924--0.222025]\'',6.6,4.6,1.3,Iris-versicolor
'\'(-1.327823--0.774924]\'',5.2,3.9,1.4,Iris-versicolor
'\'(-inf--1.880721]\'',5,3.5,1,Iris-versicolor
'\'(-0.222025-0.330873]\'',5.9,4.2,1.5,Iris-versicolor
'\'(-inf--1.880721]\'',6,4,1,Iris-versicolor
'\'(-0.774924--0.222025]\'',6.1,4.7,1.4,Iris-versicolor
'\'(-0.774924--0.222025]\'',5.6,3.6,1.3,Iris-versicolor
'\'(-0.222025-0.330873]\'',6.7,4.4,1.4,Iris-versicolor
'\'(-0.222025-0.330873]\'',5.6,4.5,1.5,Iris-versicolor
'\'(-1.327823--0.774924]\'',5.8,4.1,1,Iris-versicolor
'\'(-inf--1.880721]\'',6.2,4.5,1.5,Iris-versicolor
'\'(-1.327823--0.774924]\'',5.6,3.9,1.1,Iris-versicolor
'\'(0.330873-0.883772]\'',5.9,4.8,1.8,Iris-versicolor
'\'(-0.774924--0.222025]\'',6.1,4,1.3,Iris-versicolor
'\'(-1.327823--0.774924]\'',6.3,4.9,1.5,Iris-versicolor
'\'(-0.774924--0.222025]\'',6.1,4.7,1.2,Iris-versicolor
'\'(-0.774924--0.222025]\'',6.4,4.3,1.3,Iris-versicolor
'\'(-0.222025-0.330873]\'',6.6,4.4,1.4,Iris-versicolor
'\'(-0.774924--0.222025]\'',6.8,4.8,1.4,Iris-versicolor
'\'(-0.222025-0.330873]\'',6.7,5,1.7,Iris-versicolor
'\'(-0.774924--0.222025]\'',6,4.5,1.5,Iris-versicolor
'\'(-1.327823--0.774924]\'',5.7,3.5,1,Iris-versicolor
'\'(-1.880721--1.327823]\'',5.5,3.8,1.1,Iris-versicolor
'\'(-1.880721--1.327823]\'',5.5,3.7,1,Iris-versicolor
'\'(-1.327823--0.774924]\'',5.8,3.9,1.2,Iris-versicolor
'\'(-1.327823--0.774924]\'',6,5.1,1.6,Iris-versicolor
'\'(-0.222025-0.330873]\'',5.4,4.5,1.5,Iris-versicolor
'\'(0.330873-0.883772]\'',6,4.5,1.6,Iris-versicolor
'\'(-0.222025-0.330873]\'',6.7,4.7,1.5,Iris-versicolor
'\'(-1.880721--1.327823]\'',6.3,4.4,1.3,Iris-versicolor
'\'(-0.222025-0.330873]\'',5.6,4.1,1.3,Iris-versicolor
'\'(-1.327823--0.774924]\'',5.5,4,1.3,Iris-versicolor
'\'(-1.327823--0.774924]\'',5.5,4.4,1.2,Iris-versicolor
'\'(-0.222025-0.330873]\'',6.1,4.6,1.4,Iris-versicolor
'\'(-1.327823--0.774924]\'',5.8,4,1.2,Iris-versicolor
'\'(-1.880721--1.327823]\'',5,3.3,1,Iris-versicolor
'\'(-1.327823--0.774924]\'',5.6,4.2,1.3,Iris-versicolor
'\'(-0.222025-0.330873]\'',5.7,4.2,1.2,Iris-versicolor
'\'(-0.774924--0.222025]\'',5.7,4.2,1.3,Iris-versicolor
'\'(-0.774924--0.222025]\'',6.2,4.3,1.3,Iris-versicolor
'\'(-1.327823--0.774924]\'',5.1,3,1.1,Iris-versicolor
'\'(-0.774924--0.222025]\'',5.7,4.1,1.3,Iris-versicolor
'\'(0.330873-0.883772]\'',6.3,6,2.5,Iris-virginica
'\'(-1.327823--0.774924]\'',5.8,5.1,1.9,Iris-virginica
'\'(-0.222025-0.330873]\'',7.1,5.9,2.1,Iris-virginica
'\'(-0.774924--0.222025]\'',6.3,5.6,1.8,Iris-virginica
'\'(-0.222025-0.330873]\'',6.5,5.8,2.2,Iris-virginica
'\'(-0.222025-0.330873]\'',7.6,6.6,2.1,Iris-virginica
'\'(-1.327823--0.774924]\'',4.9,4.5,1.7,Iris-virginica
'\'(-0.774924--0.222025]\'',7.3,6.3,1.8,Iris-virginica
'\'(-1.327823--0.774924]\'',6.7,5.8,1.8,Iris-virginica
'\'(0.883772-1.436671]\'',7.2,6.1,2.5,Iris-virginica
'\'(0.330873-0.883772]\'',6.5,5.1,2,Iris-virginica
'\'(-1.327823--0.774924]\'',6.4,5.3,1.9,Iris-virginica
'\'(-0.222025-0.330873]\'',6.8,5.5,2.1,Iris-virginica
'\'(-1.327823--0.774924]\'',5.7,5,2,Iris-virginica
'\'(-0.774924--0.222025]\'',5.8,5.1,2.4,Iris-virginica
'\'(0.330873-0.883772]\'',6.4,5.3,2.3,Iris-virginica
'\'(-0.222025-0.330873]\'',6.5,5.5,1.8,Iris-virginica
'\'(1.436671-1.989569]\'',7.7,6.7,2.2,Iris-virginica
'\'(-1.327823--0.774924]\'',7.7,6.9,2.3,Iris-virginica
'\'(-inf--1.880721]\'',6,5,1.5,Iris-virginica
'\'(0.330873-0.883772]\'',6.9,5.7,2.3,Iris-virginica
'\'(-0.774924--0.222025]\'',5.6,4.9,2,Iris-virginica
'\'(-0.774924--0.222025]\'',7.7,6.7,2,Iris-virginica
'\'(-1.327823--0.774924]\'',6.3,4.9,1.8,Iris-virginica
'\'(0.330873-0.883772]\'',6.7,5.7,2.1,Iris-virginica
'\'(0.330873-0.883772]\'',7.2,6,1.8,Iris-virginica
'\'(-0.774924--0.222025]\'',6.2,4.8,1.8,Iris-virginica
'\'(-0.222025-0.330873]\'',6.1,4.9,1.8,Iris-virginica
'\'(-0.774924--0.222025]\'',6.4,5.6,2.1,Iris-virginica
'\'(-0.222025-0.330873]\'',7.2,5.8,1.6,Iris-virginica
'\'(-0.774924--0.222025]\'',7.4,6.1,1.9,Iris-virginica
'\'(1.436671-1.989569]\'',7.9,6.4,2,Iris-virginica
'\'(-0.774924--0.222025]\'',6.4,5.6,2.2,Iris-virginica
'\'(-0.774924--0.222025]\'',6.3,5.1,1.5,Iris-virginica
'\'(-1.327823--0.774924]\'',6.1,5.6,1.4,Iris-virginica
'\'(-0.222025-0.330873]\'',7.7,6.1,2.3,Iris-virginica
'\'(0.330873-0.883772]\'',6.3,5.6,2.4,Iris-virginica
'\'(-0.222025-0.330873]\'',6.4,5.5,1.8,Iris-virginica
'\'(-0.222025-0.330873]\'',6,4.8,1.8,Iris-virginica
'\'(-0.222025-0.330873]\'',6.9,5.4,2.1,Iris-virginica
'\'(-0.222025-0.330873]\'',6.7,5.6,2.4,Iris-virginica
'\'(-0.222025-0.330873]\'',6.9,5.1,2.3,Iris-virginica
?,5.8,5.1,?,Iris-virginica
'\'(0.330873-0.883772]\'',6.8,5.9,2.3,Iris-virginica
'\'(0.330873-0.883772]\'',6.7,5.7,2.5,Iris-virginica
'\'(-0.222025-0.330873]\'',?,5.2,2.3,Iris-virginica
'\'(-1.327823--0.774924]\'',?,5,1.9,Iris-virginica
'\'(-0.222025-0.330873]\'',6.5,5.2,2,Iris-virginica
'\'(0.330873-0.883772]\'',?,5.4,2.3,Iris-virginica
'\'(-0.222025-0.330873]\'',5.9,5.1,1.8,Iris-virginica
