@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.375,-0.259953,0.125,5,Iris-versicolor
0.5,0.250129,0.291667,5.6,Iris-versicolor
0.458333,0.250129,0.416667,5.7,Iris-versicolor
0.5,0.250129,0.375,5.7,Iris-versicolor
0.5,0.306805,0.375,6.2,Iris-versicolor
0.416667,-0.429981,0.208333,5.1,Iris-versicolor
0.5,0.193454,0.333333,5.7,Iris-versicolor
1,1.270294,0.541667,6.3,Iris-virginica
0.75,0.760212,0.291667,5.8,Iris-virginica
0.833333,1.213619,0.416667,7.1,Iris-virginica
0.708333,1.043591,0.375,6.3,Iris-virginica
0.875,1.156943,0.416667,6.5,Iris-virginica
0.833333,1.610349,0.416667,7.6,Iris-virginica
0.666667,0.420157,0.208333,4.9,Iris-virginica
0.708333,1.440322,0.375,7.3,Iris-virginica
0.708333,1.156943,0.208333,6.7,Iris-virginica
1,1.32697,0.666667,7.2,Iris-virginica
0.791667,0.760212,0.5,6.5,Iris-virginica
0.75,0.873564,0.291667,6.4,Iris-virginica
0.833333,0.986915,0.416667,6.8,Iris-virginica
0.791667,0.703536,0.208333,5.7,Iris-virginica
0.958333,0.760212,0.333333,5.8,Iris-virginica
0.916667,0.873564,0.5,6.4,Iris-virginica
0.708333,0.986915,0.416667,6.5,Iris-virginica
0.875,1.667025,0.75,7.7,Iris-virginica
0.916667,1.780377,0.25,7.7,Iris-virginica
0.583333,0.703536,0.083333,6,Iris-virginica
0.916667,1.100267,0.5,6.9,Iris-virginica
0.791667,0.64686,0.333333,5.6,Iris-virginica
0.791667,1.667025,0.333333,7.7,Iris-virginica
0.708333,0.64686,0.291667,6.3,Iris-virginica
0.833333,1.100267,0.541667,6.7,Iris-virginica
0.708333,1.270294,0.5,7.2,Iris-virginica
0.708333,0.590184,0.333333,6.2,Iris-virginica
0.708333,0.64686,0.416667,6.1,Iris-virginica
0.833333,1.043591,0.333333,6.4,Iris-virginica
0.625,1.156943,0.416667,7.2,Iris-virginica
0.75,1.32697,0.333333,7.4,Iris-virginica
0.791667,1.496998,0.75,7.9,Iris-virginica
0.875,1.043591,0.333333,6.4,Iris-virginica
0.583333,0.760212,0.333333,6.3,Iris-virginica
0.541667,1.043591,0.25,6.1,Iris-virginica
0.916667,1.32697,0.416667,7.7,Iris-virginica
0.958333,1.043591,0.583333,6.3,Iris-virginica
0.708333,0.986915,0.458333,6.4,Iris-virginica
0.708333,0.590184,0.416667,6,Iris-virginica
0.833333,0.930239,0.458333,6.9,Iris-virginica
0.958333,1.043591,0.458333,6.7,Iris-virginica
0.916667,0.760212,0.458333,6.9,Iris-virginica
0.75,0.760212,0.291667,5.8,Iris-virginica
0.916667,1.213619,0.5,6.8,Iris-virginica
1,1.100267,0.541667,6.7,Iris-virginica
0.916667,0.816888,0.416667,6.7,Iris-virginica
0.75,0.703536,0.208333,6.3,Iris-virginica
0.791667,0.816888,0.416667,6.5,Iris-virginica
0.916667,0.930239,0.583333,6.2,Iris-virginica
0.708333,0.760212,0.416667,5.9,Iris-virginica
