@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf--1.877331]\'','\'(-1.877331--1.323818]\'','\'(-1.323818--0.770305]\'','\'(-0.770305--0.216793]\'','\'(-0.216793-0.33672]\'','\'(0.33672-0.890233]\'','\'(0.890233-1.443746]\'','\'(1.443746-1.997259]\'','\'(1.997259-2.550771]\'','\'(2.550771-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-1.59]\'','\'(1.997259-2.550771]\'',5.8,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(2.550771-inf)\'',5.7,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(1.443746-1.997259]\'',5.4,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(0.890233-1.443746]\'',5.1,0.3,Iris-setosa
'\'(1.59-2.18]\'','\'(1.443746-1.997259]\'',5.7,0.3,Iris-setosa
'\'(-inf-1.59]\'','\'(1.443746-1.997259]\'',5.1,0.3,Iris-setosa
'\'(1.59-2.18]\'','\'(0.33672-0.890233]\'',5.4,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(1.443746-1.997259]\'',5.1,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(0.890233-1.443746]\'',4.6,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(0.33672-0.890233]\'',5.1,0.5,Iris-setosa
'\'(1.59-2.18]\'','\'(0.33672-0.890233]\'',4.8,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(-0.216793-0.33672]\'',5,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(0.33672-0.890233]\'',5,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(0.890233-1.443746]\'',5.2,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(0.33672-0.890233]\'',5.2,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(-0.216793-0.33672]\'',4.7,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(-0.216793-0.33672]\'',4.8,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(0.33672-0.890233]\'',5.4,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(1.997259-2.550771]\'',5.2,0.1,Iris-setosa
'\'(-inf-1.59]\'','\'(2.550771-inf)\'',5.5,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(-0.216793-0.33672]\'',4.9,0.1,Iris-setosa
'\'(-inf-1.59]\'','\'(-0.216793-0.33672]\'',5,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(0.890233-1.443746]\'',5.5,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(-0.216793-0.33672]\'',4.9,0.1,Iris-setosa
'\'(-inf-1.59]\'','\'(-0.216793-0.33672]\'',4.4,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(0.33672-0.890233]\'',5.1,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(0.890233-1.443746]\'',5,0.3,Iris-setosa
'\'(-inf-1.59]\'','\'(-1.877331--1.323818]\'',4.5,0.3,Iris-setosa
'\'(-inf-1.59]\'','\'(-0.216793-0.33672]\'',4.4,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(0.890233-1.443746]\'',5,0.6,Iris-setosa
'\'(1.59-2.18]\'','\'(1.443746-1.997259]\'',5.1,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(-0.216793-0.33672]\'',4.8,0.3,Iris-setosa
'\'(1.59-2.18]\'','\'(1.443746-1.997259]\'',5.1,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(-0.216793-0.33672]\'',4.6,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(1.443746-1.997259]\'',5.3,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(0.33672-0.890233]\'',5,0.2,Iris-setosa
'\'(4.54-5.13]\'','\'(-0.216793-0.33672]\'',7,1.4,Iris-versicolor
'\'(3.95-4.54]\'','\'(-0.216793-0.33672]\'',6.4,1.5,Iris-versicolor
'\'(4.54-5.13]\'','\'(-0.216793-0.33672]\'',6.9,1.5,Iris-versicolor
'\'(3.95-4.54]\'','\'(-1.877331--1.323818]\'',5.5,1.3,Iris-versicolor
'\'(4.54-5.13]\'','\'(-0.770305--0.216793]\'',6.5,1.5,Iris-versicolor
'\'(3.95-4.54]\'','\'(-0.770305--0.216793]\'',5.7,1.3,Iris-versicolor
'\'(4.54-5.13]\'','\'(0.33672-0.890233]\'',6.3,1.6,Iris-versicolor
'\'(2.77-3.36]\'','\'(-1.877331--1.323818]\'',4.9,1,Iris-versicolor
'\'(4.54-5.13]\'','\'(-0.770305--0.216793]\'',6.6,1.3,Iris-versicolor
'\'(3.36-3.95]\'','\'(-1.323818--0.770305]\'',5.2,1.4,Iris-versicolor
'\'(3.36-3.95]\'','\'(-inf--1.877331]\'',5,1,Iris-versicolor
'\'(3.95-4.54]\'','\'(-0.216793-0.33672]\'',5.9,1.5,Iris-versicolor
'\'(3.95-4.54]\'','\'(-inf--1.877331]\'',6,1,Iris-versicolor
'\'(4.54-5.13]\'','\'(-0.770305--0.216793]\'',6.1,1.4,Iris-versicolor
'\'(3.36-3.95]\'','\'(-0.770305--0.216793]\'',5.6,1.3,Iris-versicolor
'\'(3.95-4.54]\'','\'(-0.216793-0.33672]\'',6.7,1.4,Iris-versicolor
'\'(3.95-4.54]\'','\'(-0.216793-0.33672]\'',5.6,1.5,Iris-versicolor
'\'(3.95-4.54]\'','\'(-1.323818--0.770305]\'',5.8,1,Iris-versicolor
'\'(3.95-4.54]\'','\'(-inf--1.877331]\'',6.2,1.5,Iris-versicolor
'\'(3.36-3.95]\'','\'(-1.323818--0.770305]\'',5.6,1.1,Iris-versicolor
'\'(4.54-5.13]\'','\'(-0.216793-0.33672]\'',5.9,1.8,Iris-versicolor
'\'(3.95-4.54]\'','\'(-0.770305--0.216793]\'',6.1,1.3,Iris-versicolor
'\'(4.54-5.13]\'','\'(-1.323818--0.770305]\'',6.3,1.5,Iris-versicolor
'\'(4.54-5.13]\'','\'(-0.770305--0.216793]\'',6.1,1.2,Iris-versicolor
'\'(3.95-4.54]\'','\'(-0.770305--0.216793]\'',6.4,1.3,Iris-versicolor
'\'(3.95-4.54]\'','\'(-0.216793-0.33672]\'',6.6,1.4,Iris-versicolor
'\'(4.54-5.13]\'','\'(-0.770305--0.216793]\'',6.8,1.4,Iris-versicolor
'\'(4.54-5.13]\'','\'(-0.216793-0.33672]\'',6.7,1.7,Iris-versicolor
'\'(3.95-4.54]\'','\'(-0.770305--0.216793]\'',6,1.5,Iris-versicolor
'\'(3.36-3.95]\'','\'(-1.323818--0.770305]\'',5.7,1,Iris-versicolor
'\'(3.36-3.95]\'','\'(-1.877331--1.323818]\'',5.5,1.1,Iris-versicolor
'\'(3.36-3.95]\'','\'(-1.877331--1.323818]\'',5.5,1,Iris-versicolor
'\'(3.36-3.95]\'','\'(-1.323818--0.770305]\'',5.8,1.2,Iris-versicolor
'\'(4.54-5.13]\'','\'(-1.323818--0.770305]\'',6,1.6,Iris-versicolor
'\'(3.95-4.54]\'','\'(-0.216793-0.33672]\'',5.4,1.5,Iris-versicolor
'\'(3.95-4.54]\'','\'(0.33672-0.890233]\'',6,1.6,Iris-versicolor
'\'(4.54-5.13]\'','\'(-0.216793-0.33672]\'',6.7,1.5,Iris-versicolor
'\'(3.95-4.54]\'','\'(-1.877331--1.323818]\'',6.3,1.3,Iris-versicolor
'\'(3.95-4.54]\'','\'(-0.216793-0.33672]\'',5.6,1.3,Iris-versicolor
'\'(3.95-4.54]\'','\'(-1.323818--0.770305]\'',5.5,1.3,Iris-versicolor
'\'(3.95-4.54]\'','\'(-1.323818--0.770305]\'',5.5,1.2,Iris-versicolor
'\'(4.54-5.13]\'','\'(-0.216793-0.33672]\'',6.1,1.4,Iris-versicolor
'\'(3.95-4.54]\'','\'(-1.323818--0.770305]\'',5.8,1.2,Iris-versicolor
'\'(2.77-3.36]\'','\'(-1.877331--1.323818]\'',5,1,Iris-versicolor
'\'(3.95-4.54]\'','\'(-1.323818--0.770305]\'',5.6,1.3,Iris-versicolor
'\'(3.95-4.54]\'','\'(-0.216793-0.33672]\'',5.7,1.2,Iris-versicolor
'\'(3.95-4.54]\'','\'(-0.770305--0.216793]\'',5.7,1.3,Iris-versicolor
'\'(3.95-4.54]\'','\'(-0.770305--0.216793]\'',6.2,1.3,Iris-versicolor
'\'(2.77-3.36]\'','\'(-1.323818--0.770305]\'',5.1,1.1,Iris-versicolor
'\'(3.95-4.54]\'','\'(-0.770305--0.216793]\'',5.7,1.3,Iris-versicolor
'\'(5.72-6.31]\'','\'(0.33672-0.890233]\'',6.3,2.5,Iris-virginica
'\'(4.54-5.13]\'','\'(-1.323818--0.770305]\'',5.8,1.9,Iris-virginica
'\'(5.72-6.31]\'','\'(-0.216793-0.33672]\'',7.1,2.1,Iris-virginica
'\'(5.13-5.72]\'','\'(-0.770305--0.216793]\'',6.3,1.8,Iris-virginica
'\'(5.72-6.31]\'','\'(-0.216793-0.33672]\'',6.5,2.2,Iris-virginica
'\'(6.31-inf)\'','\'(-0.216793-0.33672]\'',7.6,2.1,Iris-virginica
'\'(3.95-4.54]\'','\'(-1.323818--0.770305]\'',4.9,1.7,Iris-virginica
'\'(5.72-6.31]\'','\'(-0.770305--0.216793]\'',7.3,1.8,Iris-virginica
'\'(5.72-6.31]\'','\'(-1.323818--0.770305]\'',6.7,1.8,Iris-virginica
'\'(5.72-6.31]\'','\'(0.890233-1.443746]\'',7.2,2.5,Iris-virginica
'\'(4.54-5.13]\'','\'(-0.216793-0.33672]\'',6.5,2,Iris-virginica
'\'(5.13-5.72]\'','\'(-1.323818--0.770305]\'',6.4,1.9,Iris-virginica
'\'(5.13-5.72]\'','\'(-0.216793-0.33672]\'',6.8,2.1,Iris-virginica
'\'(4.54-5.13]\'','\'(-1.323818--0.770305]\'',5.7,2,Iris-virginica
'\'(4.54-5.13]\'','\'(-0.770305--0.216793]\'',5.8,2.4,Iris-virginica
'\'(5.13-5.72]\'','\'(-0.216793-0.33672]\'',6.4,2.3,Iris-virginica
'\'(5.13-5.72]\'','\'(-0.216793-0.33672]\'',6.5,1.8,Iris-virginica
'\'(6.31-inf)\'','\'(1.443746-1.997259]\'',7.7,2.2,Iris-virginica
'\'(6.31-inf)\'','\'(-1.323818--0.770305]\'',7.7,2.3,Iris-virginica
'\'(4.54-5.13]\'','\'(-inf--1.877331]\'',6,1.5,Iris-virginica
'\'(5.13-5.72]\'','\'(-0.216793-0.33672]\'',6.9,2.3,Iris-virginica
'\'(4.54-5.13]\'','\'(-0.770305--0.216793]\'',5.6,2,Iris-virginica
'\'(6.31-inf)\'','\'(-0.770305--0.216793]\'',7.7,2,Iris-virginica
'\'(4.54-5.13]\'','\'(-1.323818--0.770305]\'',6.3,1.8,Iris-virginica
'\'(5.13-5.72]\'','\'(0.33672-0.890233]\'',6.7,2.1,Iris-virginica
'\'(5.72-6.31]\'','\'(-0.216793-0.33672]\'',7.2,1.8,Iris-virginica
'\'(4.54-5.13]\'','\'(-0.770305--0.216793]\'',6.2,1.8,Iris-virginica
'\'(4.54-5.13]\'','\'(-0.216793-0.33672]\'',6.1,1.8,Iris-virginica
'\'(5.13-5.72]\'','\'(-0.770305--0.216793]\'',6.4,2.1,Iris-virginica
'\'(5.72-6.31]\'','\'(-0.216793-0.33672]\'',7.2,1.6,Iris-virginica
'\'(5.72-6.31]\'','\'(-0.770305--0.216793]\'',7.4,1.9,Iris-virginica
'\'(6.31-inf)\'','\'(1.443746-1.997259]\'',7.9,2,Iris-virginica
'\'(5.13-5.72]\'','\'(-0.770305--0.216793]\'',6.4,2.2,Iris-virginica
'\'(4.54-5.13]\'','\'(-0.770305--0.216793]\'',6.3,1.5,Iris-virginica
'\'(5.13-5.72]\'','\'(-1.323818--0.770305]\'',6.1,1.4,Iris-virginica
'\'(5.72-6.31]\'','\'(-0.216793-0.33672]\'',7.7,2.3,Iris-virginica
'\'(5.13-5.72]\'','\'(0.33672-0.890233]\'',6.3,2.4,Iris-virginica
'\'(5.13-5.72]\'','\'(-0.216793-0.33672]\'',6.4,1.8,Iris-virginica
'\'(4.54-5.13]\'','\'(-0.216793-0.33672]\'',6,1.8,Iris-virginica
'\'(5.13-5.72]\'','\'(-0.216793-0.33672]\'',6.9,2.1,Iris-virginica
'\'(5.13-5.72]\'','\'(-0.216793-0.33672]\'',6.7,2.4,Iris-virginica
'\'(4.54-5.13]\'','\'(-0.216793-0.33672]\'',6.9,2.3,Iris-virginica
'\'(4.54-5.13]\'','\'(-1.323818--0.770305]\'',5.8,1.9,Iris-virginica
'\'(5.72-6.31]\'','\'(-0.216793-0.33672]\'',6.8,2.3,Iris-virginica
'\'(5.13-5.72]\'','\'(0.33672-0.890233]\'',6.7,2.5,Iris-virginica
'\'(5.13-5.72]\'','\'(-0.216793-0.33672]\'',6.7,2.3,Iris-virginica
'\'(4.54-5.13]\'','\'(-1.323818--0.770305]\'',6.3,1.9,Iris-virginica
'\'(5.13-5.72]\'','\'(-0.216793-0.33672]\'',6.5,2,Iris-virginica
'\'(5.13-5.72]\'','\'(0.33672-0.890233]\'',6.2,2.3,Iris-virginica
'\'(4.54-5.13]\'','\'(-0.216793-0.33672]\'',5.9,1.8,Iris-virginica
