@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.375,'\'(1.35-1.55]\'',6.1,4.7,Iris-versicolor
0.375,'\'(1.25-1.35]\'',5.6,3.6,Iris-versicolor
0.458333,'\'(1.35-1.55]\'',6.7,4.4,Iris-versicolor
0.416667,'\'(1.35-1.55]\'',5.6,4.5,Iris-versicolor
0.291667,'\'(0.55-1.25]\'',5.8,4.1,Iris-versicolor
0.083333,'\'(1.35-1.55]\'',6.2,4.5,Iris-versicolor
0.208333,'\'(0.55-1.25]\'',5.6,3.9,Iris-versicolor
0.5,'\'(1.55-1.85]\'',5.9,4.8,Iris-versicolor
0.333333,'\'(1.25-1.35]\'',6.1,4,Iris-versicolor
0.208333,'\'(1.35-1.55]\'',6.3,4.9,Iris-versicolor
0.333333,'\'(0.55-1.25]\'',6.1,4.7,Iris-versicolor
0.375,'\'(1.25-1.35]\'',6.4,4.3,Iris-versicolor
0.416667,'\'(1.35-1.55]\'',6.6,4.4,Iris-versicolor
0.333333,'\'(1.35-1.55]\'',6.8,4.8,Iris-versicolor
0.416667,'\'(1.55-1.85]\'',6.7,5,Iris-versicolor
0.375,'\'(1.35-1.55]\'',6,4.5,Iris-versicolor
0.25,'\'(0.55-1.25]\'',5.7,3.5,Iris-versicolor
0.166667,'\'(0.55-1.25]\'',5.5,3.8,Iris-versicolor
0.166667,'\'(0.55-1.25]\'',5.5,3.7,Iris-versicolor
0.291667,'\'(0.55-1.25]\'',5.8,3.9,Iris-versicolor
0.291667,'\'(1.55-1.85]\'',6,5.1,Iris-versicolor
0.416667,'\'(1.35-1.55]\'',5.4,4.5,Iris-versicolor
0.583333,'\'(1.55-1.85]\'',6,4.5,Iris-versicolor
0.458333,'\'(1.35-1.55]\'',6.7,4.7,Iris-versicolor
0.125,'\'(1.25-1.35]\'',6.3,4.4,Iris-versicolor
0.416667,'\'(1.25-1.35]\'',5.6,4.1,Iris-versicolor
0.208333,'\'(1.25-1.35]\'',5.5,4,Iris-versicolor
0.25,'\'(0.55-1.25]\'',5.5,4.4,Iris-versicolor
0.416667,'\'(1.35-1.55]\'',6.1,4.6,Iris-versicolor
0.25,'\'(0.55-1.25]\'',5.8,4,Iris-versicolor
0.125,'\'(0.55-1.25]\'',5,3.3,Iris-versicolor
0.291667,'\'(1.25-1.35]\'',5.6,4.2,Iris-versicolor
0.416667,'\'(0.55-1.25]\'',5.7,4.2,Iris-versicolor
0.375,'\'(1.25-1.35]\'',5.7,4.2,Iris-versicolor
0.375,'\'(1.25-1.35]\'',6.2,4.3,Iris-versicolor
0.208333,'\'(0.55-1.25]\'',5.1,3,Iris-versicolor
0.333333,'\'(1.25-1.35]\'',5.7,4.1,Iris-versicolor
0.541667,'\'(2.25-inf)\'',6.3,6,Iris-virginica
0.291667,'\'(1.85-2.05]\'',5.8,5.1,Iris-virginica
0.416667,'\'(2.05-2.25]\'',7.1,5.9,Iris-virginica
0.375,'\'(1.55-1.85]\'',6.3,5.6,Iris-virginica
0.416667,'\'(2.05-2.25]\'',6.5,5.8,Iris-virginica
0.416667,'\'(2.05-2.25]\'',7.6,6.6,Iris-virginica
0.208333,'\'(1.55-1.85]\'',4.9,4.5,Iris-virginica
0.375,'\'(1.55-1.85]\'',7.3,6.3,Iris-virginica
0.208333,'\'(1.55-1.85]\'',6.7,5.8,Iris-virginica
0.666667,'\'(2.25-inf)\'',7.2,6.1,Iris-virginica
0.5,'\'(1.85-2.05]\'',6.5,5.1,Iris-virginica
0.291667,'\'(1.85-2.05]\'',6.4,5.3,Iris-virginica
0.416667,'\'(2.05-2.25]\'',6.8,5.5,Iris-virginica
0.208333,'\'(1.85-2.05]\'',5.7,5,Iris-virginica
0.333333,'\'(2.25-inf)\'',5.8,5.1,Iris-virginica
0.5,'\'(2.25-inf)\'',6.4,5.3,Iris-virginica
0.416667,'\'(1.55-1.85]\'',6.5,5.5,Iris-virginica
0.75,'\'(2.05-2.25]\'',7.7,6.7,Iris-virginica
0.25,'\'(2.25-inf)\'',7.7,6.9,Iris-virginica
0.083333,'\'(1.35-1.55]\'',6,5,Iris-virginica
0.5,'\'(2.25-inf)\'',6.9,5.7,Iris-virginica
0.333333,'\'(1.85-2.05]\'',5.6,4.9,Iris-virginica
0.333333,'\'(1.85-2.05]\'',7.7,6.7,Iris-virginica
0.291667,'\'(1.55-1.85]\'',6.3,4.9,Iris-virginica
0.541667,'\'(2.05-2.25]\'',6.7,5.7,Iris-virginica
0.5,'\'(1.55-1.85]\'',7.2,6,Iris-virginica
0.333333,'\'(1.55-1.85]\'',6.2,4.8,Iris-virginica
0.416667,'\'(1.55-1.85]\'',6.1,4.9,Iris-virginica
0.333333,'\'(2.05-2.25]\'',6.4,5.6,Iris-virginica
0.416667,'\'(1.55-1.85]\'',7.2,5.8,Iris-virginica
0.333333,'\'(1.85-2.05]\'',7.4,6.1,Iris-virginica
0.75,'\'(1.85-2.05]\'',7.9,6.4,Iris-virginica
0.333333,'\'(2.05-2.25]\'',6.4,5.6,Iris-virginica
0.333333,'\'(1.35-1.55]\'',6.3,5.1,Iris-virginica
0.25,'\'(1.35-1.55]\'',6.1,5.6,Iris-virginica
0.416667,'\'(2.25-inf)\'',7.7,6.1,Iris-virginica
0.583333,'\'(2.25-inf)\'',6.3,5.6,Iris-virginica
0.458333,'\'(1.55-1.85]\'',6.4,5.5,Iris-virginica
0.416667,'\'(1.55-1.85]\'',6,4.8,Iris-virginica
0.458333,'\'(2.05-2.25]\'',6.9,5.4,Iris-virginica
0.458333,'\'(2.25-inf)\'',6.7,5.6,Iris-virginica
0.458333,'\'(2.25-inf)\'',6.9,5.1,Iris-virginica
0.291667,'\'(1.85-2.05]\'',5.8,5.1,Iris-virginica
0.5,'\'(2.25-inf)\'',6.8,5.9,Iris-virginica
0.541667,'\'(2.25-inf)\'',6.7,5.7,Iris-virginica
0.416667,'\'(2.25-inf)\'',6.7,5.2,Iris-virginica
0.208333,'\'(1.85-2.05]\'',6.3,5,Iris-virginica
0.416667,'\'(1.85-2.05]\'',6.5,5.2,Iris-virginica
0.583333,'\'(2.25-inf)\'',6.2,5.4,Iris-virginica
0.416667,'\'(1.55-1.85]\'',5.9,5.1,Iris-virginica
