@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-filtered-0-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(5.72-6.31]\'',0.861111,2.8,1.9,Iris-virginica
'\'(6.31-inf)\'',1,3.8,2,Iris-virginica
'\'(5.13-5.72]\'',0.583333,2.8,2.2,Iris-virginica
'\'(4.54-5.13]\'',0.555556,2.8,1.5,Iris-virginica
'\'(5.13-5.72]\'',0.5,2.6,1.4,Iris-virginica
'\'(5.72-6.31]\'',0.944444,3,2.3,Iris-virginica
'\'(5.13-5.72]\'',0.555556,3.4,2.4,Iris-virginica
'\'(5.13-5.72]\'',0.583333,3.1,1.8,Iris-virginica
'\'(4.54-5.13]\'',0.472222,3,1.8,Iris-virginica
'\'(5.13-5.72]\'',0.722222,3.1,2.1,Iris-virginica
'\'(5.13-5.72]\'',0.666667,3.1,2.4,Iris-virginica
'\'(4.54-5.13]\'',0.722222,3.1,2.3,Iris-virginica
'\'(4.54-5.13]\'',0.416667,2.7,1.9,Iris-virginica
'\'(5.72-6.31]\'',0.694444,3.2,2.3,Iris-virginica
'\'(5.13-5.72]\'',0.666667,3.3,2.5,Iris-virginica
'\'(5.13-5.72]\'',0.666667,3,2.3,Iris-virginica
'\'(4.54-5.13]\'',0.555556,2.5,1.9,Iris-virginica
'\'(5.13-5.72]\'',0.611111,3,2,Iris-virginica
'\'(5.13-5.72]\'',0.527778,3.4,2.3,Iris-virginica
'\'(4.54-5.13]\'',0.444444,3,1.8,Iris-virginica
