@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.25-0.55]\'',0.050847,'\'(3.44-3.68]\'',5,Iris-setosa
'\'(0.25-0.55]\'',0.050847,'\'(2.24-2.48]\'',4.5,Iris-setosa
'\'(0.15-0.25]\'',0.050847,'\'(2.96-3.2]\'',4.4,Iris-setosa
'\'(0.55-1.25]\'',0.101695,'\'(3.44-3.68]\'',5,Iris-setosa
'\'(0.25-0.55]\'',0.152542,'\'(3.68-3.92]\'',5.1,Iris-setosa
'\'(0.25-0.55]\'',0.067797,'\'(2.96-3.2]\'',4.8,Iris-setosa
'\'(0.15-0.25]\'',0.101695,'\'(3.68-3.92]\'',5.1,Iris-setosa
'\'(0.15-0.25]\'',0.067797,'\'(2.96-3.2]\'',4.6,Iris-setosa
'\'(0.15-0.25]\'',0.084746,'\'(3.68-3.92]\'',5.3,Iris-setosa
'\'(0.15-0.25]\'',0.067797,'\'(3.2-3.44]\'',5,Iris-setosa
'\'(1.35-1.55]\'',0.627119,'\'(2.96-3.2]\'',7,Iris-versicolor
'\'(1.35-1.55]\'',0.59322,'\'(2.96-3.2]\'',6.4,Iris-versicolor
'\'(1.35-1.55]\'',0.661017,'\'(2.96-3.2]\'',6.9,Iris-versicolor
'\'(1.25-1.35]\'',0.508475,'\'(2.24-2.48]\'',5.5,Iris-versicolor
'\'(1.35-1.55]\'',0.610169,'\'(2.72-2.96]\'',6.5,Iris-versicolor
'\'(1.25-1.35]\'',0.59322,'\'(2.72-2.96]\'',5.7,Iris-versicolor
'\'(1.55-1.85]\'',0.627119,'\'(3.2-3.44]\'',6.3,Iris-versicolor
'\'(0.55-1.25]\'',0.389831,'\'(2.24-2.48]\'',4.9,Iris-versicolor
'\'(1.25-1.35]\'',0.610169,'\'(2.72-2.96]\'',6.6,Iris-versicolor
'\'(1.35-1.55]\'',0.491525,'\'(2.48-2.72]\'',5.2,Iris-versicolor
'\'(0.55-1.25]\'',0.423729,'\'(-inf-2.24]\'',5,Iris-versicolor
'\'(1.35-1.55]\'',0.542373,'\'(2.96-3.2]\'',5.9,Iris-versicolor
'\'(0.55-1.25]\'',0.508475,'\'(-inf-2.24]\'',6,Iris-versicolor
'\'(1.35-1.55]\'',0.627119,'\'(2.72-2.96]\'',6.1,Iris-versicolor
'\'(1.25-1.35]\'',0.440678,'\'(2.72-2.96]\'',5.6,Iris-versicolor
'\'(1.35-1.55]\'',0.576271,'\'(2.96-3.2]\'',6.7,Iris-versicolor
'\'(1.35-1.55]\'',0.59322,'\'(2.96-3.2]\'',5.6,Iris-versicolor
'\'(0.55-1.25]\'',0.525424,'\'(2.48-2.72]\'',5.8,Iris-versicolor
'\'(1.35-1.55]\'',0.59322,'\'(-inf-2.24]\'',6.2,Iris-versicolor
'\'(0.55-1.25]\'',0.491525,'\'(2.48-2.72]\'',5.6,Iris-versicolor
'\'(1.55-1.85]\'',0.644068,'\'(2.96-3.2]\'',5.9,Iris-versicolor
'\'(1.25-1.35]\'',0.508475,'\'(2.72-2.96]\'',6.1,Iris-versicolor
'\'(1.35-1.55]\'',0.661017,'\'(2.48-2.72]\'',6.3,Iris-versicolor
'\'(0.55-1.25]\'',0.627119,'\'(2.72-2.96]\'',6.1,Iris-versicolor
'\'(1.25-1.35]\'',0.559322,'\'(2.72-2.96]\'',6.4,Iris-versicolor
'\'(1.35-1.55]\'',0.576271,'\'(2.96-3.2]\'',6.6,Iris-versicolor
'\'(1.35-1.55]\'',0.644068,'\'(2.72-2.96]\'',6.8,Iris-versicolor
'\'(1.55-1.85]\'',0.677966,'\'(2.96-3.2]\'',6.7,Iris-versicolor
'\'(1.35-1.55]\'',0.59322,'\'(2.72-2.96]\'',6,Iris-versicolor
'\'(0.55-1.25]\'',0.423729,'\'(2.48-2.72]\'',5.7,Iris-versicolor
'\'(0.55-1.25]\'',0.474576,'\'(2.24-2.48]\'',5.5,Iris-versicolor
'\'(0.55-1.25]\'',0.457627,'\'(2.24-2.48]\'',5.5,Iris-versicolor
'\'(0.55-1.25]\'',0.491525,'\'(2.48-2.72]\'',5.8,Iris-versicolor
'\'(1.55-1.85]\'',0.694915,'\'(2.48-2.72]\'',6,Iris-versicolor
'\'(1.35-1.55]\'',0.59322,'\'(2.96-3.2]\'',5.4,Iris-versicolor
'\'(1.55-1.85]\'',0.59322,'\'(3.2-3.44]\'',6,Iris-versicolor
'\'(1.35-1.55]\'',0.627119,'\'(2.96-3.2]\'',6.7,Iris-versicolor
'\'(1.25-1.35]\'',0.576271,'\'(2.24-2.48]\'',6.3,Iris-versicolor
'\'(1.25-1.35]\'',0.525424,'\'(2.96-3.2]\'',5.6,Iris-versicolor
'\'(1.25-1.35]\'',0.508475,'\'(2.48-2.72]\'',5.5,Iris-versicolor
'\'(0.55-1.25]\'',0.576271,'\'(2.48-2.72]\'',5.5,Iris-versicolor
'\'(1.35-1.55]\'',0.610169,'\'(2.96-3.2]\'',6.1,Iris-versicolor
'\'(0.55-1.25]\'',0.508475,'\'(2.48-2.72]\'',5.8,Iris-versicolor
'\'(0.55-1.25]\'',0.389831,'\'(2.24-2.48]\'',5,Iris-versicolor
'\'(1.25-1.35]\'',0.542373,'\'(2.48-2.72]\'',5.6,Iris-versicolor
'\'(0.55-1.25]\'',0.542373,'\'(2.96-3.2]\'',5.7,Iris-versicolor
'\'(1.25-1.35]\'',0.542373,'\'(2.72-2.96]\'',5.7,Iris-versicolor
'\'(1.25-1.35]\'',0.559322,'\'(2.72-2.96]\'',6.2,Iris-versicolor
'\'(0.55-1.25]\'',0.338983,'\'(2.48-2.72]\'',5.1,Iris-versicolor
'\'(1.25-1.35]\'',0.525424,'\'(2.72-2.96]\'',5.7,Iris-versicolor
'\'(2.25-inf)\'',0.847458,'\'(3.2-3.44]\'',6.3,Iris-virginica
'\'(1.85-2.05]\'',0.694915,'\'(2.48-2.72]\'',5.8,Iris-virginica
'\'(2.05-2.25]\'',0.830508,'\'(2.96-3.2]\'',7.1,Iris-virginica
'\'(1.55-1.85]\'',0.779661,'\'(2.72-2.96]\'',6.3,Iris-virginica
'\'(2.05-2.25]\'',0.813559,'\'(2.96-3.2]\'',6.5,Iris-virginica
'\'(2.05-2.25]\'',0.949153,'\'(2.96-3.2]\'',7.6,Iris-virginica
'\'(1.55-1.85]\'',0.59322,'\'(2.48-2.72]\'',4.9,Iris-virginica
'\'(1.55-1.85]\'',0.898305,'\'(2.72-2.96]\'',7.3,Iris-virginica
'\'(1.55-1.85]\'',0.813559,'\'(2.48-2.72]\'',6.7,Iris-virginica
'\'(2.25-inf)\'',0.864407,'\'(3.44-3.68]\'',7.2,Iris-virginica
'\'(1.85-2.05]\'',0.694915,'\'(2.96-3.2]\'',6.5,Iris-virginica
'\'(1.85-2.05]\'',0.728814,'\'(2.48-2.72]\'',6.4,Iris-virginica
'\'(2.05-2.25]\'',0.762712,'\'(2.96-3.2]\'',6.8,Iris-virginica
'\'(1.85-2.05]\'',0.677966,'\'(2.48-2.72]\'',5.7,Iris-virginica
'\'(2.25-inf)\'',0.694915,'\'(2.72-2.96]\'',5.8,Iris-virginica
'\'(2.25-inf)\'',0.728814,'\'(2.96-3.2]\'',6.4,Iris-virginica
'\'(1.55-1.85]\'',0.762712,'\'(2.96-3.2]\'',6.5,Iris-virginica
'\'(2.05-2.25]\'',0.966102,'\'(3.68-3.92]\'',7.7,Iris-virginica
'\'(2.25-inf)\'',1,'\'(2.48-2.72]\'',7.7,Iris-virginica
'\'(1.35-1.55]\'',0.677966,'\'(-inf-2.24]\'',6,Iris-virginica
'\'(2.25-inf)\'',0.79661,'\'(2.96-3.2]\'',6.9,Iris-virginica
'\'(1.85-2.05]\'',0.661017,'\'(2.72-2.96]\'',5.6,Iris-virginica
'\'(1.85-2.05]\'',0.966102,'\'(2.72-2.96]\'',7.7,Iris-virginica
'\'(1.55-1.85]\'',0.661017,'\'(2.48-2.72]\'',6.3,Iris-virginica
'\'(2.05-2.25]\'',0.79661,'\'(3.2-3.44]\'',6.7,Iris-virginica
'\'(1.55-1.85]\'',0.847458,'\'(2.96-3.2]\'',7.2,Iris-virginica
'\'(1.55-1.85]\'',0.644068,'\'(2.72-2.96]\'',6.2,Iris-virginica
'\'(1.55-1.85]\'',0.661017,'\'(2.96-3.2]\'',6.1,Iris-virginica
'\'(2.05-2.25]\'',0.779661,'\'(2.72-2.96]\'',6.4,Iris-virginica
'\'(1.55-1.85]\'',0.813559,'\'(2.96-3.2]\'',7.2,Iris-virginica
'\'(1.85-2.05]\'',0.864407,'\'(2.72-2.96]\'',7.4,Iris-virginica
'\'(1.85-2.05]\'',0.915254,'\'(3.68-3.92]\'',7.9,Iris-virginica
'\'(2.05-2.25]\'',0.779661,'\'(2.72-2.96]\'',6.4,Iris-virginica
'\'(1.35-1.55]\'',0.694915,'\'(2.72-2.96]\'',6.3,Iris-virginica
'\'(1.35-1.55]\'',0.779661,'\'(2.48-2.72]\'',6.1,Iris-virginica
'\'(2.25-inf)\'',0.864407,'\'(2.96-3.2]\'',7.7,Iris-virginica
'\'(2.25-inf)\'',0.779661,'\'(3.2-3.44]\'',6.3,Iris-virginica
'\'(1.55-1.85]\'',0.762712,'\'(2.96-3.2]\'',6.4,Iris-virginica
'\'(1.55-1.85]\'',0.644068,'\'(2.96-3.2]\'',6,Iris-virginica
'\'(2.05-2.25]\'',0.745763,'\'(2.96-3.2]\'',6.9,Iris-virginica
'\'(2.25-inf)\'',0.779661,'\'(2.96-3.2]\'',6.7,Iris-virginica
'\'(2.25-inf)\'',0.694915,'\'(2.96-3.2]\'',6.9,Iris-virginica
'\'(1.85-2.05]\'',0.694915,'\'(2.48-2.72]\'',5.8,Iris-virginica
'\'(2.25-inf)\'',0.830508,'\'(2.96-3.2]\'',6.8,Iris-virginica
'\'(2.25-inf)\'',0.79661,'\'(3.2-3.44]\'',6.7,Iris-virginica
'\'(2.25-inf)\'',0.711864,'\'(2.96-3.2]\'',6.7,Iris-virginica
'\'(1.85-2.05]\'',0.677966,'\'(2.48-2.72]\'',6.3,Iris-virginica
'\'(1.85-2.05]\'',0.711864,'\'(2.96-3.2]\'',6.5,Iris-virginica
'\'(2.25-inf)\'',0.745763,'\'(3.2-3.44]\'',6.2,Iris-virginica
'\'(1.55-1.85]\'',0.694915,'\'(2.96-3.2]\'',5.9,Iris-virginica
