@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf--1.162377]\'','\'(-1.162377--0.701116]\'','\'(-0.701116--0.470486]\'','\'(-0.470486--0.239856]\'','\'(-0.239856--0.009225]\'','\'(-0.009225-0.221405]\'','\'(0.221405-0.452035]\'','\'(0.452035-0.913296]\'','\'(0.913296-1.605187]\'','\'(1.605187-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.728814,'\'(-1.162377--0.701116]\'',6.4,1.9,Iris-virginica
0.762712,'\'(-0.239856--0.009225]\'',6.8,2.1,Iris-virginica
0.677966,'\'(-inf--1.162377]\'',5.7,2,Iris-virginica
0.694915,'\'(-0.701116--0.470486]\'',5.8,2.4,Iris-virginica
0.728814,'\'(0.221405-0.452035]\'',6.4,2.3,Iris-virginica
0.762712,'\'(-0.239856--0.009225]\'',6.5,1.8,Iris-virginica
0.966102,'\'(1.605187-inf)\'',7.7,2.2,Iris-virginica
1,'\'(-1.162377--0.701116]\'',7.7,2.3,Iris-virginica
0.677966,'\'(-inf--1.162377]\'',6,1.5,Iris-virginica
0.79661,'\'(0.221405-0.452035]\'',6.9,2.3,Iris-virginica
0.661017,'\'(-0.701116--0.470486]\'',5.6,2,Iris-virginica
0.966102,'\'(-0.701116--0.470486]\'',7.7,2,Iris-virginica
0.661017,'\'(-1.162377--0.701116]\'',6.3,1.8,Iris-virginica
0.79661,'\'(0.452035-0.913296]\'',6.7,2.1,Iris-virginica
0.847458,'\'(0.221405-0.452035]\'',7.2,1.8,Iris-virginica
0.644068,'\'(-0.701116--0.470486]\'',6.2,1.8,Iris-virginica
0.661017,'\'(-0.239856--0.009225]\'',6.1,1.8,Iris-virginica
0.779661,'\'(-0.701116--0.470486]\'',6.4,2.1,Iris-virginica
0.813559,'\'(-0.239856--0.009225]\'',7.2,1.6,Iris-virginica
0.864407,'\'(-0.701116--0.470486]\'',7.4,1.9,Iris-virginica
0.915254,'\'(1.605187-inf)\'',7.9,2,Iris-virginica
0.779661,'\'(-0.701116--0.470486]\'',6.4,2.2,Iris-virginica
0.694915,'\'(-0.701116--0.470486]\'',6.3,1.5,Iris-virginica
0.779661,'\'(-1.162377--0.701116]\'',6.1,1.4,Iris-virginica
0.864407,'\'(-0.239856--0.009225]\'',7.7,2.3,Iris-virginica
0.779661,'\'(0.452035-0.913296]\'',6.3,2.4,Iris-virginica
0.762712,'\'(-0.009225-0.221405]\'',6.4,1.8,Iris-virginica
0.644068,'\'(-0.239856--0.009225]\'',6,1.8,Iris-virginica
0.745763,'\'(-0.009225-0.221405]\'',6.9,2.1,Iris-virginica
0.779661,'\'(-0.009225-0.221405]\'',6.7,2.4,Iris-virginica
0.694915,'\'(-0.009225-0.221405]\'',6.9,2.3,Iris-virginica
0.694915,'\'(-1.162377--0.701116]\'',5.8,1.9,Iris-virginica
0.830508,'\'(0.221405-0.452035]\'',6.8,2.3,Iris-virginica
0.79661,'\'(0.452035-0.913296]\'',6.7,2.5,Iris-virginica
0.711864,'\'(-0.239856--0.009225]\'',6.7,2.3,Iris-virginica
0.677966,'\'(-inf--1.162377]\'',6.3,1.9,Iris-virginica
0.711864,'\'(-0.239856--0.009225]\'',6.5,2,Iris-virginica
0.745763,'\'(0.452035-0.913296]\'',6.2,2.3,Iris-virginica
0.694915,'\'(-0.239856--0.009225]\'',5.9,1.8,Iris-virginica
