@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.585801,'\'(1.85-2.05]\'',7.7,6.7,Iris-virginica
-0.816431,'\'(1.55-1.85]\'',6.3,4.9,Iris-virginica
0.567351,'\'(2.05-2.25]\'',6.7,5.7,Iris-virginica
0.33672,'\'(1.55-1.85]\'',7.2,6,Iris-virginica
-0.585801,'\'(1.55-1.85]\'',6.2,4.8,Iris-virginica
-0.12454,'\'(1.55-1.85]\'',6.1,4.9,Iris-virginica
-0.585801,'\'(2.05-2.25]\'',6.4,5.6,Iris-virginica
-0.12454,'\'(1.55-1.85]\'',7.2,5.8,Iris-virginica
-0.585801,'\'(1.85-2.05]\'',7.4,6.1,Iris-virginica
1.720502,'\'(1.85-2.05]\'',7.9,6.4,Iris-virginica
-0.585801,'\'(2.05-2.25]\'',6.4,5.6,Iris-virginica
-0.585801,'\'(1.35-1.55]\'',6.3,5.1,Iris-virginica
-1.047062,'\'(1.35-1.55]\'',6.1,5.6,Iris-virginica
-0.12454,'\'(2.25-inf)\'',7.7,6.1,Iris-virginica
0.797981,'\'(2.25-inf)\'',6.3,5.6,Iris-virginica
0.10609,'\'(1.55-1.85]\'',6.4,5.5,Iris-virginica
-0.12454,'\'(1.55-1.85]\'',6,4.8,Iris-virginica
0.10609,'\'(2.05-2.25]\'',6.9,5.4,Iris-virginica
0.10609,'\'(2.25-inf)\'',6.7,5.6,Iris-virginica
0.10609,'\'(2.25-inf)\'',6.9,5.1,Iris-virginica
-0.816431,'\'(1.85-2.05]\'',5.8,5.1,Iris-virginica
0.33672,'\'(2.25-inf)\'',6.8,5.9,Iris-virginica
0.567351,'\'(2.25-inf)\'',6.7,5.7,Iris-virginica
-0.12454,'\'(2.25-inf)\'',6.7,5.2,Iris-virginica
-1.277692,'\'(1.85-2.05]\'',6.3,5,Iris-virginica
-0.12454,'\'(1.85-2.05]\'',6.5,5.2,Iris-virginica
0.797981,'\'(2.25-inf)\'',6.2,5.4,Iris-virginica
-0.12454,'\'(1.55-1.85]\'',5.9,5.1,Iris-virginica
